source_id,source_class,age,source_measure,survival_probability,source_unit,transformation,included_weight,weight_year,nrcan_ceud_class
eia_nems_hd_truck_scrappage,Cls 4-6,24,annual_scrappage_rate,0.5198818946228754,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,25,annual_scrappage_rate,0.4932509893617117,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,26,annual_scrappage_rate,0.46769581753598394,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,27,annual_scrappage_rate,0.44323316778024113,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,28,annual_scrappage_rate,0.4198646606227696,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,29,annual_scrappage_rate,0.39758004503506855,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,30,annual_scrappage_rate,0.3763599610115509,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,31,annual_scrappage_rate,0.3561782212171122,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,32,annual_scrappage_rate,0.3370036718692316,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,33,annual_scrappage_rate,0.31880169338348835,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 4-6,34,annual_scrappage_rate,0.3015353977292188,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,0,annual_scrappage_rate,1.0,dimensionless,age0_equals_1,,,
eia_nems_hd_truck_scrappage,Cls 7-8,1,annual_scrappage_rate,1.0,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,2,annual_scrappage_rate,1.0,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,3,annual_scrappage_rate,0.999999995941518,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,4,annual_scrappage_rate,0.9999700728369543,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,5,annual_scrappage_rate,0.9983779931046731,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,6,annual_scrappage_rate,0.9890130905434781,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,7,annual_scrappage_rate,0.9685423900564533,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,8,annual_scrappage_rate,0.9400034020099425,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,9,annual_scrappage_rate,0.9075768530522869,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,10,annual_scrappage_rate,0.8739874900910558,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,11,annual_scrappage_rate,0.8406098617782117,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,12,annual_scrappage_rate,0.808054082192045,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,13,annual_scrappage_rate,0.7765629117117403,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,14,annual_scrappage_rate,0.746214462485,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,15,annual_scrappage_rate,0.7170157193879408,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,16,annual_scrappage_rate,0.6889439080874773,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,17,annual_scrappage_rate,0.6619644458217556,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,18,annual_scrappage_rate,0.6360386476261648,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
eia_nems_hd_truck_scrappage,Cls 7-8,19,annual_scrappage_rate,0.6111270019015715,dimensionless,cumulative_product_of_one_minus_annual_scrappage_rate,,,
