source_id,year,report,raw_file,cached_zip,VEHICLE_CLASS,AGE,VALUE,NATIVE_COUNT,AGE_DIST
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,12,2010,62927,0.03863057209491062
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,13,2009,44428,0.027274128069551852
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,14,2008,52251,0.03207662883231641
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,15,2007,51299,0.03149220077068381
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,16,2006,41165,0.025270988610405644
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,17,2005,34828,0.02138073585140794
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,18,2004,28602,0.017558625439932522
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,19,2003,25825,0.01585383896182985
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,20,2002,17313,0.010628364528408913
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,21,2001,13701,0.008410975706332266
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,22,2000,12721,0.007809358584063408
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,23,1999,9952,0.006109483266142523
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,24,1998,9384,0.005760790893235675
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,25,1997,6643,0.0040781046359510435
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,26,1996,5109,0.0031363896710934636
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,27,1995,5545,0.003404047901000833
ontario_ministry_transport_vehicle_population,2022,Report 5,2022/2022_Reg_Veh_Report5_Class&Status&Descriptors.TXT,C:\Users\rashi\ESM_databases\canoe-transportation\inputs\cache\ontario_vehicle_population\2022_vehicle_population_data.zip,COMMERCIAL,28,1994,3797,0.002330959401280462
