source_id,report_year,VEHICLE_CLASS,MAKE,MODEL,MODEL_YEAR,FIT_ACTIVE,FIT_INACTIVE,UNFIT,WRECKED,OUT_OF_PROV,SOLD,SUSPENDED,TEMPORARY,TOTAL,entry_type,mto_make_code,mto_model_code,model_year_from,model_year_to,canonical_make,canonical_model,vehicle_scope,nrcan_vehicle_class,nlr_atb_class,nrcan_ceud_class,match_method,mapping_status,evidence_source,supporting_rating_rows,review_notes,mapping_outcome,mapping_accepted
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1971,12,1805,315,409,63,55,0,5,2664,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1971,147,2492,763,945,127,87,0,14,4575,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1972,7,3151,511,662,155,94,1,1,4582,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1972,127,4364,1249,1781,212,155,0,19,7907,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1973,6,2068,359,350,129,49,2,0,2963,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1973,189,4170,1000,1719,281,136,0,24,7519,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1974,9,2565,444,365,159,74,2,3,3621,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1974,188,5418,1116,2678,392,185,0,35,10012,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1975,12,1955,311,298,131,47,0,4,2758,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1975,230,7482,1037,3638,597,288,0,56,13328,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1976,11,2339,337,363,165,58,0,3,3276,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1976,174,7950,948,3685,764,226,0,65,13812,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1977,19,2208,295,324,182,70,2,1,3101,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1977,155,6193,712,2444,685,210,0,75,10474,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1978,28,2673,336,389,244,88,1,6,3765,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1978,148,4600,507,1564,674,121,0,77,7691,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1979,12,2777,405,324,224,135,0,9,3886,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1979,164,6792,784,3227,833,171,1,85,12057,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1980,15,2705,402,343,307,67,0,4,3843,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1980,124,5733,594,2554,823,156,0,53,10037,,,,,,,,,,,,,unmatched,,,,out_of_scope,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1981,44,3999,515,743,410,106,0,11,5828,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1981,138,6053,570,2589,881,167,0,35,10433,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1982,17,3209,328,684,432,113,0,6,4789,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1982,79,4764,458,2191,822,124,0,15,8453,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1983,14,1345,116,228,178,35,0,2,1918,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1983,107,3134,324,1195,650,96,0,17,5523,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1984,22,4350,472,1043,672,158,0,10,6727,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1984,103,6963,585,3652,1222,249,0,30,12804,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1985,38,987,177,120,132,26,0,15,1495,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1985,170,19439,1378,12505,2433,724,0,26,36675,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1986,36,1803,245,376,232,57,0,13,2762,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1986,191,5969,537,3401,827,226,0,45,11196,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1987,34,1537,187,456,217,69,0,10,2510,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1987,163,1781,224,559,289,69,0,52,3137,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1988,51,2439,309,618,387,72,0,23,3899,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1988,147,7186,652,3814,1340,293,0,83,13515,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1989,39,1025,215,160,193,30,0,26,1688,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1989,159,3770,430,1982,727,152,2,72,7294,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1990,65,1131,248,236,249,34,0,26,1989,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1990,141,4219,558,2155,867,181,1,85,8207,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1991,74,916,140,207,136,26,0,20,1519,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1991,170,5400,615,2776,1126,240,13,65,10405,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1992,56,806,170,122,94,25,0,17,1290,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1992,228,8803,1113,4874,2022,459,0,143,17642,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1993,55,885,227,135,112,30,0,16,1460,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1993,167,5558,679,3348,1235,295,0,93,11375,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1994,61,902,210,106,110,24,0,15,1428,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,PASSENGER,****,***,1994,152,4045,513,2367,827,187,0,86,8177,,,,,,,,,,,,,unmatched,,,,unmapped,False
ontario_ministry_transport_vehicle_population,2025,COMMERCIAL,****,***,1995,69,1115,280,118,158,33,0,20,1793,,,,,,,,,,,,,unmatched,,,,unmapped,False
