report_year,weight_basis,model_year,vintage,nrcan_ceud_class,nrcan_vehicle_class,fit_active_stock,aggregation_weight
2025,five_year_vintage,,2020,Car,Full-size,14473,0.030123340645800467
2025,five_year_vintage,,2020,Car,Mid-size,245176,0.5102964254940078
2025,five_year_vintage,,2020,Car,Minicompact,2421,0.00503894200949927
2025,five_year_vintage,,2020,Car,Station wagon: Mid-size,20892,0.04348350948470001
2025,five_year_vintage,,2020,Car,Station wagon: Small,49793,0.10363653014415412
2025,five_year_vintage,,2020,Car,Subcompact,30424,0.06332291272077892
2025,five_year_vintage,,2020,Car,Two-seater,5225,0.010875040065937085
2025,five_year_vintage,,2020,Light Truck,Minivan,214189,0.14145254525294032
2025,five_year_vintage,,2020,Light Truck,Pickup truck: Small,24689,0.01630486107946647
2025,five_year_vintage,,2020,Light Truck,Pickup truck: Standard,245296,0.16199591734573318
2025,five_year_vintage,,2020,Light Truck,Sport utility vehicle: Small,878924,0.5804501486252577
2025,five_year_vintage,,2020,Light Truck,Sport utility vehicle: Standard,109641,0.07240800654598335
2025,five_year_vintage,,2020,Light Truck,Van: Cargo,2234,0.0014753558123669686
2025,five_year_vintage,,2020,Light Truck,Van: Passenger,39238,0.025913165338252067
2025,five_year_vintage,,2025,Car,Compact,111451,0.3174057545474481
2025,five_year_vintage,,2025,Car,Full-size,18918,0.053877327834910616
2025,five_year_vintage,,2025,Car,Mid-size,80788,0.23007937208620144
2025,five_year_vintage,,2025,Car,Minicompact,2616,0.007450210889952753
2025,five_year_vintage,,2025,Car,Station wagon: Mid-size,6187,0.01762020442512908
2025,five_year_vintage,,2025,Car,Station wagon: Small,55561,0.15823439115315935
2025,five_year_vintage,,2025,Car,Subcompact,67772,0.1930105857927668
2025,five_year_vintage,,2025,Car,Two-seater,7838,0.022322153270431834
2025,five_year_vintage,,2025,Light Truck,Minivan,131024,0.09182095250642804
2025,five_year_vintage,,2025,Light Truck,Pickup truck: Small,23855,0.016717462617847425
2025,five_year_vintage,,2025,Light Truck,Pickup truck: Standard,260626,0.18264537464846375
2025,five_year_vintage,,2025,Light Truck,Sport utility vehicle: Small,823464,0.5770793811420294
2025,five_year_vintage,,2025,Light Truck,Sport utility vehicle: Standard,154854,0.10852089525148376
2025,five_year_vintage,,2025,Light Truck,Van: Cargo,701,0.0004912572330794821
2025,five_year_vintage,,2025,Light Truck,Van: Passenger,32427,0.02272467660066814
2025,five_year_vintage,,2030,Car,Compact,3143,0.1907275926937314
2025,five_year_vintage,,2030,Car,Full-size,646,0.03920140785241823
2025,five_year_vintage,,2030,Car,Mid-size,3171,0.1924267249226288
2025,five_year_vintage,,2030,Car,Minicompact,742,0.04502700406578069
2025,five_year_vintage,,2030,Car,Station wagon: Mid-size,368,0.02233145215122277
2025,five_year_vintage,,2030,Car,Station wagon: Small,5386,0.3268402208871898
2025,five_year_vintage,,2030,Car,Subcompact,1989,0.1206990715456035
2025,five_year_vintage,,2030,Car,Two-seater,1034,0.06274652588142485
2025,five_year_vintage,,2030,Light Truck,Minivan,13433,0.21593338584449195
2025,five_year_vintage,,2030,Light Truck,Pickup truck: Small,24,0.0003857962674211127
2025,five_year_vintage,,2030,Light Truck,Pickup truck: Standard,11056,0.1777234805253259
2025,five_year_vintage,,2030,Light Truck,Sport utility vehicle: Small,31688,0.5093796717516758
2025,five_year_vintage,,2030,Light Truck,Sport utility vehicle: Standard,5572,0.08956903341960167
2025,five_year_vintage,,2030,Light Truck,Van: Passenger,436,0.007008632191483548
2025,model_year,1981,,Car,Compact,48,0.038929440389294405
2025,model_year,1981,,Car,Full-size,52,0.042173560421735604
2025,model_year,1981,,Car,Mid-size,220,0.17842660178426603
2025,model_year,1981,,Car,Minicompact,36,0.029197080291970802
2025,model_year,1981,,Car,Station wagon: Mid-size,7,0.0056772100567721
2025,model_year,1981,,Car,Subcompact,840,0.681265206812652
2025,model_year,1981,,Car,Two-seater,30,0.024330900243309004
2025,model_year,1981,,Light Truck,Minivan,0,0.0
2025,model_year,1981,,Light Truck,Pickup truck: Standard,513,0.9790076335877863
2025,model_year,1981,,Light Truck,Sport utility vehicle: Small,11,0.02099236641221374
2025,model_year,1981,,Light Truck,Sport utility vehicle: Standard,0,0.0
2025,model_year,1981,,Light Truck,Van: Cargo,0,0.0
2025,model_year,1981,,Light Truck,Van: Passenger,0,0.0
2025,model_year,1982,,Car,Compact,45,0.07908611599297012
2025,model_year,1982,,Car,Full-size,10,0.01757469244288225
2025,model_year,1982,,Car,Mid-size,93,0.1634446397188049
2025,model_year,1982,,Car,Minicompact,35,0.061511423550087874
2025,model_year,1982,,Car,Station wagon: Mid-size,9,0.015817223198594025
2025,model_year,1982,,Car,Subcompact,340,0.5975395430579965
2025,model_year,1982,,Car,Two-seater,37,0.06502636203866433
2025,model_year,1982,,Light Truck,Minivan,0,0.0
2025,model_year,1982,,Light Truck,Pickup truck: Standard,289,0.7831978319783198
2025,model_year,1982,,Light Truck,Sport utility vehicle: Small,3,0.008130081300813009
2025,model_year,1982,,Light Truck,Sport utility vehicle: Standard,1,0.0027100271002710027
2025,model_year,1982,,Light Truck,Van: Cargo,12,0.032520325203252036
2025,model_year,1982,,Light Truck,Van: Passenger,64,0.17344173441734417
2025,model_year,1983,,Car,Compact,19,0.019832985386221295
2025,model_year,1983,,Car,Full-size,30,0.031315240083507306
2025,model_year,1983,,Car,Mid-size,166,0.1732776617954071
2025,model_year,1983,,Car,Minicompact,77,0.08037578288100208
2025,model_year,1983,,Car,Station wagon: Mid-size,5,0.005219206680584551
2025,model_year,1983,,Car,Subcompact,507,0.5292275574112735
2025,model_year,1983,,Car,Two-seater,154,0.16075156576200417
2025,model_year,1983,,Light Truck,Minivan,0,0.0
2025,model_year,1983,,Light Truck,Pickup truck: Small,13,0.03299492385786802
2025,model_year,1983,,Light Truck,Pickup truck: Standard,299,0.7588832487309645
2025,model_year,1983,,Light Truck,Sport utility vehicle: Small,10,0.025380710659898477
2025,model_year,1983,,Light Truck,Sport utility vehicle: Standard,0,0.0
2025,model_year,1983,,Light Truck,Van: Cargo,26,0.06598984771573604
2025,model_year,1983,,Light Truck,Van: Passenger,46,0.116751269035533
2025,model_year,1984,,Car,Compact,28,0.019760056457304165
2025,model_year,1984,,Car,Full-size,38,0.026817219477769938
2025,model_year,1984,,Car,Mid-size,160,0.11291460832745237
2025,model_year,1984,,Car,Minicompact,112,0.07904022582921666
2025,model_year,1984,,Car,Station wagon: Mid-size,2,0.0014114326040931546
2025,model_year,1984,,Car,Subcompact,901,0.6358503881439661
2025,model_year,1984,,Car,Two-seater,176,0.12420606916019761
2025,model_year,1984,,Light Truck,Minivan,1,0.0011402508551881414
2025,model_year,1984,,Light Truck,Pickup truck: Small,20,0.02280501710376283
2025,model_year,1984,,Light Truck,Pickup truck: Standard,612,0.6978335233751425
2025,model_year,1984,,Light Truck,Sport utility vehicle: Small,6,0.0068415051311288486
2025,model_year,1984,,Light Truck,Sport utility vehicle: Standard,2,0.002280501710376283
2025,model_year,1984,,Light Truck,Van: Cargo,64,0.07297605473204105
2025,model_year,1984,,Light Truck,Van: Passenger,172,0.1961231470923603
2025,model_year,1985,,Car,Compact,55,0.031828703703703706
2025,model_year,1985,,Car,Full-size,17,0.009837962962962963
2025,model_year,1985,,Car,Mid-size,176,0.10185185185185185
2025,model_year,1985,,Car,Minicompact,132,0.0763888888888889
2025,model_year,1985,,Car,Station wagon: Mid-size,2,0.0011574074074074073
2025,model_year,1985,,Car,Subcompact,1174,0.6793981481481481
