report_year,weight_basis,model_year,vintage,nrcan_ceud_class,nlr_atb_class,fit_active_stock,aggregation_weight
2025,model_year,1999,,Car,Midsize,1859,0.36782746339533046
2025,model_year,1999,,Light Truck,Midsize SUV,1037,0.1663992297817715
2025,model_year,1999,,Light Truck,Pickup,4586,0.7358793324775353
2025,model_year,1999,,Light Truck,Small SUV,609,0.0977214377406932
2025,model_year,2000,,Car,Compact,5098,0.6883607885498245
2025,model_year,2000,,Car,Midsize,2308,0.31163921145017554
2025,model_year,2000,,Light Truck,Midsize SUV,1837,0.21599059376837154
2025,model_year,2000,,Light Truck,Pickup,5804,0.6824221046443268
2025,model_year,2000,,Light Truck,Small SUV,864,0.10158730158730159
2025,model_year,2001,,Car,Compact,5646,0.6555968416163492
2025,model_year,2001,,Car,Midsize,2966,0.3444031583836507
2025,model_year,2001,,Light Truck,Midsize SUV,1464,0.14334671497111526
2025,model_year,2001,,Light Truck,Pickup,7518,0.7361206305688828
2025,model_year,2001,,Light Truck,Small SUV,1231,0.12053265446000196
2025,model_year,2002,,Car,Compact,5528,0.5089302154299392
2025,model_year,2002,,Car,Midsize,5334,0.4910697845700608
2025,model_year,2002,,Light Truck,Midsize SUV,2043,0.14650412334169954
2025,model_year,2002,,Light Truck,Pickup,9486,0.6802438149874507
2025,model_year,2002,,Light Truck,Small SUV,2416,0.17325206167084978
2025,model_year,2003,,Car,Compact,9109,0.5635362534026231
2025,model_year,2003,,Car,Midsize,7055,0.4364637465973769
2025,model_year,2003,,Light Truck,Midsize SUV,3228,0.15541646605681272
2025,model_year,2003,,Light Truck,Pickup,13802,0.6645161290322581
2025,model_year,2003,,Light Truck,Small SUV,3740,0.18006740491092924
2025,model_year,2004,,Car,Compact,9995,0.610568112400733
2025,model_year,2004,,Car,Midsize,6375,0.38943188759926695
2025,model_year,2004,,Light Truck,Midsize SUV,5673,0.22614207127481464
2025,model_year,2004,,Light Truck,Pickup,15045,0.5997369050466396
2025,model_year,2004,,Light Truck,Small SUV,4368,0.1741210236785458
2025,model_year,2005,,Car,Compact,13450,0.5723404255319149
2025,model_year,2005,,Car,Midsize,10050,0.4276595744680851
2025,model_year,2005,,Light Truck,Midsize SUV,8694,0.2551206056693468
2025,model_year,2005,,Light Truck,Pickup,17567,0.5154938670109748
2025,model_year,2005,,Light Truck,Small SUV,7817,0.22938552731967837
2025,model_year,2006,,Car,Compact,21005,0.6488431717789516
2025,model_year,2006,,Car,Midsize,11368,0.3511568282210484
2025,model_year,2006,,Light Truck,Midsize SUV,10678,0.25083392060136245
2025,model_year,2006,,Light Truck,Pickup,19325,0.4539581865163261
2025,model_year,2006,,Light Truck,Small SUV,12567,0.2952078928823115
2025,model_year,2007,,Car,Compact,20437,0.5585405848592512
2025,model_year,2007,,Car,Midsize,16153,0.4414594151407488
2025,model_year,2007,,Light Truck,Midsize SUV,12673,0.20323299709735876
2025,model_year,2007,,Light Truck,Pickup,26310,0.4219253652356592
2025,model_year,2007,,Light Truck,Small SUV,23374,0.37484163766698203
2025,model_year,2008,,Car,Compact,26732,0.6105705541089945
2025,model_year,2008,,Car,Midsize,17050,0.3894294458910054
2025,model_year,2008,,Light Truck,Midsize SUV,14609,0.18208445508026722
2025,model_year,2008,,Light Truck,Pickup,30663,0.38217918037690696
2025,model_year,2008,,Light Truck,Small SUV,34960,0.4357363645428258
2025,model_year,2009,,Car,Compact,26713,0.6260957202456289
2025,model_year,2009,,Car,Midsize,15953,0.3739042797543712
2025,model_year,2009,,Light Truck,Midsize SUV,13052,0.16043661573635884
2025,model_year,2009,,Light Truck,Pickup,26260,0.3227908005851044
2025,model_year,2009,,Light Truck,Small SUV,42041,0.5167725836785367
2025,model_year,2010,,Car,Compact,28289,0.5845076242819951
2025,model_year,2010,,Car,Midsize,20109,0.4154923757180049
2025,model_year,2010,,Light Truck,Midsize SUV,26794,0.19888510328753498
2025,model_year,2010,,Light Truck,Pickup,36048,0.26757521099160486
2025,model_year,2010,,Light Truck,Small SUV,71879,0.5335396857208602
2025,model_year,2011,,Car,Compact,25102,0.6492008482904877
2025,model_year,2011,,Car,Midsize,13564,0.35079915170951226
2025,model_year,2011,,Light Truck,Midsize SUV,32391,0.20699240816952533
2025,model_year,2011,,Light Truck,Pickup,43305,0.2767375578333887
2025,model_year,2011,,Light Truck,Small SUV,80788,0.5162700339970859
2025,model_year,2012,,Car,Compact,61162,0.7431682037448815
2025,model_year,2012,,Car,Midsize,21137,0.25683179625511854
2025,model_year,2012,,Light Truck,Midsize SUV,32415,0.22769898636545635
2025,model_year,2012,,Light Truck,Pickup,33317,0.2340350803250936
2025,model_year,2012,,Light Truck,Small SUV,76627,0.53826593330945
2025,model_year,2013,,Car,Compact,36371,0.6064663509637831
2025,model_year,2013,,Car,Midsize,23601,0.3935336490362169
2025,model_year,2013,,Light Truck,Midsize SUV,33213,0.18849816683503787
2025,model_year,2013,,Light Truck,Pickup,32330,0.183486759214066
2025,model_year,2013,,Light Truck,Small SUV,110655,0.6280150739508962
2025,model_year,2014,,Car,Compact,45537,0.5079080039261176
2025,model_year,2014,,Car,Midsize,44119,0.4920919960738824
2025,model_year,2014,,Light Truck,Midsize SUV,42099,0.20117458163294563
2025,model_year,2014,,Light Truck,Pickup,41581,0.1986992631387803
2025,model_year,2014,,Light Truck,Small SUV,125586,0.6001261552282741
2025,model_year,2015,,Car,Compact,64445,0.5822431426403093
2025,model_year,2015,,Car,Midsize,46239,0.41775685735969065
2025,model_year,2015,,Light Truck,Midsize SUV,44228,0.17744575683656438
2025,model_year,2015,,Light Truck,Pickup,50291,0.20177092694826038
2025,model_year,2015,,Light Truck,Small SUV,154729,0.6207833162151752
2025,model_year,2016,,Car,Compact,33658,0.3929576313730984
2025,model_year,2016,,Car,Midsize,51995,0.6070423686269015
2025,model_year,2016,,Light Truck,Midsize SUV,52167,0.1865592378418393
2025,model_year,2016,,Light Truck,Pickup,55198,0.19739867752398732
2025,model_year,2016,,Light Truck,Small SUV,172262,0.6160420846341734
2025,model_year,2017,,Car,Compact,24479,0.2496914430266124
2025,model_year,2017,,Car,Midsize,73558,0.7503085569733876
2025,model_year,2017,,Light Truck,Midsize SUV,72839,0.21863331292247476
2025,model_year,2017,,Light Truck,Pickup,78922,0.23689202655812894
2025,model_year,2017,,Light Truck,Small SUV,181395,0.5444746605193963
2025,model_year,2018,,Car,Compact,44201,0.37279344168276163
2025,model_year,2018,,Car,Midsize,74366,0.6272065583172384
2025,model_year,2018,,Light Truck,Midsize SUV,64013,0.1980876050192632
2025,model_year,2018,,Light Truck,Pickup,70363,0.2177376181708468
2025,model_year,2018,,Light Truck,Small SUV,188779,0.5841747768098899
2025,model_year,2019,,Car,Compact,23072,0.23641524320890245
2025,model_year,2019,,Car,Midsize,74519,0.7635847567910975
2025,model_year,2019,,Light Truck,Midsize SUV,75328,0.23121429864975612
2025,model_year,2019,,Light Truck,Pickup,62351,0.19138225805956544
