report_year,vehicle_class,model_year,age,nrcan_vehicle_class,nlr_atb_class,nrcan_ceud_class,fit_active_stock,share_of_mapped_fleet,share_within_vehicle_class_age,age_share_within_nrcan_class,age_share_within_nlr_class,age_share_within_ceud_class
2025,COMMERCIAL,2024,1,Van: Cargo,Pickup,Light Truck,3,5.027800384258024e-07,4.03801114491076e-05,0.00021969974368363237,3.0477862404642388e-06,2.9976887819491173e-06
2025,COMMERCIAL,2024,1,Van: Passenger,Pickup,Light Truck,4870,0.0008161795957112193,0.06555038091905134,0.06823690958259188,0.004947572997020281,0.0048662481226974
2025,COMMERCIAL,2023,2,Pickup truck: Small,Pickup,Light Truck,5827,0.0009765664279690503,0.10573782390941425,0.06801363307421154,0.005919816807728373,0.005822510844139169
2025,COMMERCIAL,2023,2,Pickup truck: Standard,Pickup,Light Truck,42181,0.007069254933612924,0.765424257821006,0.05184342133887562,0.04285289046967402,0.04214850350379857
2025,COMMERCIAL,2023,2,Sport utility vehicle: Small,Small SUV,Light Truck,323,5.4132650803844724e-05,0.005861217971982289,0.06612077789150461,0.06612077789150461,0.0003227511588565216
2025,COMMERCIAL,2023,2,Sport utility vehicle: Standard,Midsize SUV,Light Truck,880,0.00014748214460490205,0.01596864339115918,0.09513513513513513,0.07609165585819282,0.0008793220427050744
2025,COMMERCIAL,2023,2,Subcompact,Compact,Car,76,1.2737094306786994e-05,0.0013791101110546564,0.0853932584269663,0.0405982905982906,0.0195573854863613
2025,COMMERCIAL,2023,2,Van: Cargo,Pickup,Light Truck,1,1.6759334614193413e-07,1.8146185671771793e-05,7.323324789454412e-05,1.015928746821413e-06,9.992295939830391e-07
2025,COMMERCIAL,2023,2,Van: Passenger,Pickup,Light Truck,5820,0.0009753932745460566,0.10561080060971184,0.08154801104120837,0.005912705306500623,0.005815516236981288
2025,COMMERCIAL,2022,3,Compact,Compact,Car,110,1.8435268075612756e-05,0.0019102196752626551,0.1421188630490956,0.05876068376068376,0.028306742151312403
2025,COMMERCIAL,2022,3,Minicompact,Compact,Car,208,3.48594159975223e-05,0.0036120517495875663,1.0,0.1111111111111111,0.05352547606793618
2025,COMMERCIAL,2022,3,Minivan,Midsize SUV,Light Truck,12,2.0111201537032096e-06,0.0002083876009377442,0.005183585313174946,0.0010376134889753567,1.199075512779647e-05
2025,COMMERCIAL,2022,3,Pickup truck: Small,Pickup,Light Truck,4857,0.0008140008822113741,0.08434488147955196,0.056691645073184395,0.004934365923311603,0.0048532581379756206
2025,COMMERCIAL,2022,3,Pickup truck: Standard,Pickup,Light Truck,47963,0.008038279661005588,0.8329078753147521,0.05894990677500513,0.048726990483795425,0.047926049016208505
2025,COMMERCIAL,2022,3,Sport utility vehicle: Small,Small SUV,Light Truck,515,8.631057326309608e-05,0.008943301206911522,0.10542476970317298,0.10542476970317298,0.0005146032409012652
2025,COMMERCIAL,2022,3,Sport utility vehicle: Standard,Midsize SUV,Light Truck,1113,0.00018653139425597268,0.019327949986975776,0.12032432432432433,0.09623865110246434,0.0011121425381031226
