calendar_year_cert_co2e_megagrams,cert_offset,compliance_id,manufacturer_vehicle_cost_dollars,model_year,model_year_cert_co2e_megagrams,strategic_offset,target_co2e_megagrams
-766.9453247046512,-36624.47075909962,Lucid,156875627.57087094,2034,-766.9453247046512,-36624.47075909962,35857.52543439497
-768.7945794856375,-36712.77950220128,Lucid,155866665.2597089,2035,-768.7945794856375,-36712.77950220128,35943.984922715645
-768.1187080433479,-36680.50414556541,Lucid,155063698.4345648,2036,-768.1187080433479,-36680.50414556541,35912.38543752207
-773.5593587046126,-36940.31530111383,Lucid,155511545.82183152,2037,-773.5593587046126,-36940.31530111383,36166.75594240922
-775.1556390201093,-37016.54357952566,Lucid,155199064.85997942,2038,-775.1556390201093,-37016.54357952566,36241.387940505556
-772.9375131137759,-36910.61987834424,Lucid,154140296.15742972,2039,-772.9375131137759,-36910.61987834424,36137.68236523046
-777.1262220549884,-37110.64619468549,Lucid,154373378.28341994,2040,-777.1262220549884,-37110.64619468549,36333.5199726305
-774.274751275556,-36974.47793755194,Lucid,153221560.73379728,2041,-774.274751275556,-36974.47793755194,36200.20318627638
-768.7394223350431,-36710.14554462435,Lucid,151558610.2436087,2042,-768.7394223350431,-36710.14554462435,35941.40612228931
-764.6289998244036,-36513.85769437058,Lucid,150196487.682072,2043,-764.6289998244036,-36513.85769437058,35749.228694546175
-756.7453354335332,-36137.383613810554,Lucid,148113814.4019128,2044,-756.7453354335332,-36137.383613810554,35380.638278377024
-758.8776179910645,-36239.207978159495,Lucid,148006977.5596816,2045,-758.8776179910645,-36239.207978159495,35480.33036016843
-752.362210746944,-35928.07322785926,Lucid,146227355.05159763,2046,-752.362210746944,-35928.07322785926,35175.71101711232
-765.8775098979954,-36573.47865978987,Lucid,148346610.03194955,2047,-765.8775098979954,-36573.47865978987,35807.601149891874
-761.4378182654208,-36361.46699332685,Lucid,146992056.11222008,2048,-761.4378182654208,-36361.46699332685,35600.029175061434
-761.3256528972327,-36356.110682889775,Lucid,146485469.58544773,2049,-761.3256528972327,-36356.110682889775,35594.78502999254
-764.1389596506235,-36490.456466881114,Lucid,146549324.76323277,2050,-764.1389596506235,-36490.456466881114,35726.31750723049
-766.2437362888559,-36590.96732203374,Lucid,146483193.41026044,2051,-766.2437362888559,-36590.96732203374,35824.72358574489
-768.227438876961,-36685.6964442965,Lucid,146400097.46006098,2052,-768.227438876961,-36685.6964442965,35917.469005419545
-770.0652733890576,-36773.45982739591,Lucid,146295328.46908087,2053,-770.0652733890576,-36773.45982739591,36003.39455400685
-771.6115247100862,-36847.299036618606,Lucid,146141342.79094297,2054,-771.6115247100862,-36847.299036618606,36075.687511908516
-773.850453710103,-36954.21616232687,Lucid,146124305.81763148,2055,-773.850453710103,-36954.21616232687,36180.365708616766
11113032.526947726,87198.27908788435,Mazda,7587683834.470145,2023,11113032.526947726,69758.62327030748,11025834.247859841
10130449.88602997,-1372423.1594696138,Mazda,8280035483.667231,2024,10130449.88602997,-1372423.1594696138,11502873.045499584
10482231.846492771,574685.8239923995,Mazda,8225710398.888738,2025,10482231.846492771,459748.6591939196,9907546.022500372
9595717.336054001,532491.3183220644,Mazda,8495685574.252762,2026,9595717.336054001,425993.0546576515,9063226.017731937
9463928.5493833,96316.80998528749,Mazda,8627931169.728584,2027,9463928.5493833,77053.44798823,9367611.739398012
8473994.310862519,188456.1334129041,Mazda,8654057587.51208,2028,8473994.310862519,150764.9067303233,8285538.177449615
7491430.044298255,94805.6459269179,Mazda,8878838421.984428,2029,7491430.044298255,75844.51674153433,7396624.398371337
6601739.100706221,141068.6115878392,Mazda,8984331555.452038,2030,6601739.100706221,112854.88927027136,6460670.489118381
5770025.753078374,338149.49301136937,Mazda,9073927936.01138,2031,5770025.753078374,270519.59440909553,5431876.260067005
5160231.937553344,675088.5831697192,Mazda,9193277846.2919,2032,5160231.937553344,540070.8665357754,4485143.354383625
