19-Sep-24 01:33:12 | main | INFO | *** STARTING TEMOA ***
19-Sep-24 01:52:07 | morris_evaluate | INFO | Finished MM evaluation # 1 with OBJ value: 1823176.95 
19-Sep-24 01:52:07 | morris_evaluate | INFO | Finished MM evaluation # 1 with OBJ value: 1823176.95 
19-Sep-24 01:52:09 | morris_evaluate | INFO | Finished MM evaluation # 5 with OBJ value: 1816254.94 
19-Sep-24 01:52:09 | morris_evaluate | INFO | Finished MM evaluation # 5 with OBJ value: 1816254.94 
19-Sep-24 01:52:09 | morris_evaluate | INFO | Finished MM evaluation # 4 with OBJ value: 1816968.83 
19-Sep-24 01:52:09 | morris_evaluate | INFO | Finished MM evaluation # 4 with OBJ value: 1816968.83 
19-Sep-24 01:56:17 | morris_evaluate | INFO | Starting MM evaluation # 7
19-Sep-24 01:56:17 | morris_evaluate | INFO | Starting MM evaluation # 7
19-Sep-24 01:56:24 | morris_evaluate | INFO | Starting MM evaluation # 8
19-Sep-24 01:56:24 | morris_evaluate | INFO | Starting MM evaluation # 8
19-Sep-24 01:56:45 | morris_evaluate | INFO | Starting MM evaluation # 9
19-Sep-24 01:56:45 | morris_evaluate | INFO | Starting MM evaluation # 9
19-Sep-24 01:56:48 | morris_evaluate | INFO | Starting MM evaluation # 10
19-Sep-24 01:56:48 | morris_evaluate | INFO | Starting MM evaluation # 10
19-Sep-24 01:56:48 | morris_evaluate | INFO | Starting MM evaluation # 11
19-Sep-24 01:56:48 | morris_evaluate | INFO | Starting MM evaluation # 11
19-Sep-24 01:56:49 | morris_evaluate | INFO | Starting MM evaluation # 12
19-Sep-24 01:56:49 | morris_evaluate | INFO | Starting MM evaluation # 12
19-Sep-24 02:07:17 | morris_evaluate | INFO | Finished MM evaluation # 7 with OBJ value: 1810558.46 
19-Sep-24 02:07:17 | morris_evaluate | INFO | Finished MM evaluation # 7 with OBJ value: 1810558.46 
19-Sep-24 02:07:59 | morris_evaluate | INFO | Finished MM evaluation # 8 with OBJ value: 1815620.30 
19-Sep-24 02:07:59 | morris_evaluate | INFO | Finished MM evaluation # 8 with OBJ value: 1815620.30 
19-Sep-24 02:07:59 | morris_evaluate | INFO | Starting MM evaluation # 13
19-Sep-24 02:07:59 | morris_evaluate | INFO | Starting MM evaluation # 13
19-Sep-24 02:10:52 | morris_evaluate | INFO | Starting MM evaluation # 14
19-Sep-24 02:10:52 | morris_evaluate | INFO | Starting MM evaluation # 14
19-Sep-24 02:11:03 | morris_evaluate | INFO | Finished MM evaluation # 9 with OBJ value: 1823431.10 
19-Sep-24 02:11:03 | morris_evaluate | INFO | Finished MM evaluation # 9 with OBJ value: 1823431.10 
19-Sep-24 02:11:28 | morris_evaluate | INFO | Finished MM evaluation # 11 with OBJ value: 1820737.63 
19-Sep-24 02:11:28 | morris_evaluate | INFO | Finished MM evaluation # 11 with OBJ value: 1820737.63 
19-Sep-24 02:11:39 | morris_evaluate | INFO | Finished MM evaluation # 12 with OBJ value: 1815439.95 
19-Sep-24 02:11:39 | morris_evaluate | INFO | Finished MM evaluation # 12 with OBJ value: 1815439.95 
19-Sep-24 02:11:58 | morris_evaluate | INFO | Finished MM evaluation # 10 with OBJ value: 1820827.19 
19-Sep-24 02:11:58 | morris_evaluate | INFO | Finished MM evaluation # 10 with OBJ value: 1820827.19 
19-Sep-24 02:12:17 | morris_evaluate | INFO | Starting MM evaluation # 15
19-Sep-24 02:12:17 | morris_evaluate | INFO | Starting MM evaluation # 15
19-Sep-24 02:14:33 | morris_evaluate | INFO | Starting MM evaluation # 16
19-Sep-24 02:14:33 | morris_evaluate | INFO | Starting MM evaluation # 16
19-Sep-24 02:14:58 | morris_evaluate | INFO | Starting MM evaluation # 17
19-Sep-24 02:14:58 | morris_evaluate | INFO | Starting MM evaluation # 17
19-Sep-24 02:14:59 | morris_evaluate | INFO | Starting MM evaluation # 18
19-Sep-24 02:14:59 | morris_evaluate | INFO | Starting MM evaluation # 18
19-Sep-24 02:18:56 | morris_evaluate | INFO | Finished MM evaluation # 13 with OBJ value: 1820078.61 
19-Sep-24 02:18:56 | morris_evaluate | INFO | Finished MM evaluation # 13 with OBJ value: 1820078.61 
19-Sep-24 02:20:40 | morris_evaluate | INFO | Starting MM evaluation # 19
19-Sep-24 02:20:40 | morris_evaluate | INFO | Starting MM evaluation # 19
19-Sep-24 02:21:49 | morris_evaluate | INFO | Finished MM evaluation # 14 with OBJ value: 1820887.69 
19-Sep-24 02:21:49 | morris_evaluate | INFO | Finished MM evaluation # 14 with OBJ value: 1820887.69 
19-Sep-24 02:23:24 | morris_evaluate | INFO | Starting MM evaluation # 20
19-Sep-24 02:23:24 | morris_evaluate | INFO | Starting MM evaluation # 20
19-Sep-24 02:23:33 | morris_evaluate | INFO | Finished MM evaluation # 15 with OBJ value: 1830098.06 
19-Sep-24 02:23:33 | morris_evaluate | INFO | Finished MM evaluation # 15 with OBJ value: 1830098.06 
19-Sep-24 02:24:43 | morris_evaluate | INFO | Starting MM evaluation # 21
19-Sep-24 02:24:43 | morris_evaluate | INFO | Starting MM evaluation # 21
19-Sep-24 02:26:31 | morris_evaluate | INFO | Finished MM evaluation # 16 with OBJ value: 1832253.21 
19-Sep-24 02:26:31 | morris_evaluate | INFO | Finished MM evaluation # 16 with OBJ value: 1832253.21 
19-Sep-24 02:27:35 | morris_evaluate | INFO | Starting MM evaluation # 22
19-Sep-24 02:27:35 | morris_evaluate | INFO | Starting MM evaluation # 22
19-Sep-24 02:27:44 | morris_evaluate | INFO | Finished MM evaluation # 17 with OBJ value: 1829590.85 
19-Sep-24 02:27:44 | morris_evaluate | INFO | Finished MM evaluation # 17 with OBJ value: 1829590.85 
19-Sep-24 02:28:07 | morris_evaluate | INFO | Finished MM evaluation # 18 with OBJ value: 1829958.56 
19-Sep-24 02:28:07 | morris_evaluate | INFO | Finished MM evaluation # 18 with OBJ value: 1829958.56 
19-Sep-24 02:28:28 | morris_evaluate | INFO | Starting MM evaluation # 23
19-Sep-24 02:28:28 | morris_evaluate | INFO | Starting MM evaluation # 23
19-Sep-24 02:28:52 | morris_evaluate | INFO | Starting MM evaluation # 24
19-Sep-24 02:28:52 | morris_evaluate | INFO | Starting MM evaluation # 24
19-Sep-24 02:31:34 | morris_evaluate | INFO | Finished MM evaluation # 19 with OBJ value: 1829828.77 
19-Sep-24 02:31:34 | morris_evaluate | INFO | Finished MM evaluation # 19 with OBJ value: 1829828.77 
19-Sep-24 02:32:27 | morris_evaluate | INFO | Starting MM evaluation # 25
19-Sep-24 02:32:27 | morris_evaluate | INFO | Starting MM evaluation # 25
19-Sep-24 02:35:30 | morris_evaluate | INFO | Finished MM evaluation # 21 with OBJ value: 1793084.42 
19-Sep-24 02:35:30 | morris_evaluate | INFO | Finished MM evaluation # 21 with OBJ value: 1793084.42 
19-Sep-24 02:35:31 | morris_evaluate | INFO | Finished MM evaluation # 20 with OBJ value: 1802926.97 
19-Sep-24 02:35:31 | morris_evaluate | INFO | Finished MM evaluation # 20 with OBJ value: 1802926.97 
19-Sep-24 02:37:51 | morris_evaluate | INFO | Starting MM evaluation # 26
19-Sep-24 02:37:51 | morris_evaluate | INFO | Starting MM evaluation # 26
19-Sep-24 02:38:16 | morris_evaluate | INFO | Starting MM evaluation # 27
19-Sep-24 02:38:16 | morris_evaluate | INFO | Starting MM evaluation # 27
19-Sep-24 02:39:47 | morris_evaluate | INFO | Finished MM evaluation # 22 with OBJ value: 1816559.37 
