id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,technology
63686,on,2020,netzero,low,high,ref,low,yes,high,1.166106556,other
63735,on,2020,netzero,high,high,ref,low,yes,high,1.166039226,other
63784,on,2020,netzero,ref,high,low,low,yes,high,1.166068351,other
63833,on,2020,netzero,low,high,low,low,yes,high,1.166106556,other
63882,on,2020,netzero,high,high,low,low,yes,high,1.166039226,other
63931,on,2020,netzero,ref,high,high,low,yes,high,1.166068351,other
63980,on,2020,netzero,low,high,high,low,yes,high,1.166106556,other
64029,on,2020,netzero,high,high,high,low,yes,high,1.166039226,other
64078,on,2020,netzero,high,ref,ref,ref,yes,high,1.166044894,other
64127,on,2020,netzero,ref,ref,low,ref,yes,high,1.166074193,other
64176,on,2020,netzero,low,ref,low,ref,yes,high,1.166112437,other
64225,on,2020,netzero,high,ref,low,ref,yes,high,1.166044894,other
64274,on,2020,netzero,ref,ref,high,ref,yes,high,1.166074193,other
64323,on,2020,netzero,low,ref,high,ref,yes,high,1.166112437,other
64372,on,2020,netzero,high,ref,high,ref,yes,high,1.166044894,other
64421,on,2020,netzero,ref,low,ref,ref,no,high,1.166079848,other
64470,on,2020,netzero,low,low,ref,ref,no,high,1.166120246,other
64519,on,2020,netzero,high,ref,ref,ref,no,high,1.166044923,other
64568,on,2020,netzero,high,low,ref,ref,no,high,1.166051981,other
64617,on,2020,netzero,ref,low,low,ref,no,high,1.166079848,other
64666,on,2020,netzero,low,low,low,ref,no,high,1.166120246,other
64715,on,2020,netzero,high,low,low,ref,no,high,1.166051981,other
64764,on,2020,netzero,ref,low,high,ref,no,high,1.166079848,other
64813,on,2020,netzero,low,low,high,ref,no,high,1.166120246,other
64862,on,2020,netzero,high,low,high,ref,no,high,1.166051981,other
64911,on,2020,netzero,ref,low,ref,ref,yes,high,1.166079848,other
64960,on,2020,netzero,low,low,ref,ref,yes,high,1.166120246,other
65009,on,2020,netzero,high,low,ref,ref,yes,high,1.166051981,other
65058,on,2020,netzero,ref,ref,low,ref,no,high,1.166074193,other
65107,on,2020,netzero,ref,low,low,ref,yes,high,1.166079848,other
65156,on,2020,netzero,low,low,low,ref,yes,high,1.166120246,other
65205,on,2020,netzero,high,low,low,ref,yes,high,1.166051981,other
65254,on,2020,netzero,ref,low,high,ref,yes,high,1.166079848,other
65303,on,2020,netzero,low,low,high,ref,yes,high,1.166120246,other
65352,on,2020,netzero,high,low,high,ref,yes,high,1.166051981,other
65401,on,2020,netzero,ref,high,ref,ref,no,high,1.166068351,other
65450,on,2020,netzero,low,high,ref,ref,no,high,1.166106556,other
65499,on,2020,netzero,high,high,ref,ref,no,high,1.166039226,other
65548,on,2020,netzero,ref,high,low,ref,no,high,1.166068351,other
65597,on,2020,netzero,low,ref,low,ref,no,high,1.166112437,other
65646,on,2020,netzero,low,high,low,ref,no,high,1.166106556,other
65695,on,2020,netzero,high,high,low,ref,no,high,1.166039226,other
65744,on,2020,netzero,ref,high,high,ref,no,high,1.166068351,other
65793,on,2020,netzero,low,high,high,ref,no,high,1.166106556,other
65842,on,2020,netzero,high,high,high,ref,no,high,1.166039226,other
65891,on,2020,netzero,ref,high,ref,ref,yes,high,1.166068351,other
65940,on,2020,netzero,low,high,ref,ref,yes,high,1.166106556,other
65989,on,2020,netzero,high,high,ref,ref,yes,high,1.166039226,other
66038,on,2020,netzero,ref,high,low,ref,yes,high,1.166068351,other
66087,on,2020,netzero,low,high,low,ref,yes,high,1.166106556,other
66136,on,2020,netzero,high,ref,low,ref,no,high,1.166044894,other
66185,on,2020,netzero,high,high,low,ref,yes,high,1.166039226,other
66234,on,2020,netzero,ref,high,high,ref,yes,high,1.166068351,other
66283,on,2020,netzero,low,high,high,ref,yes,high,1.166106556,other
66332,on,2020,netzero,high,high,high,ref,yes,high,1.166039226,other
66381,on,2020,netzero,ref,ref,ref,low,no,high,1.166074193,other
66430,on,2020,netzero,low,ref,ref,low,no,high,1.166112437,other
66479,on,2020,netzero,high,ref,ref,low,no,high,1.166044894,other
66528,on,2020,netzero,ref,ref,low,low,no,high,1.166074193,other
66577,on,2020,netzero,low,ref,low,low,no,high,1.166112437,other
66626,on,2020,netzero,high,ref,low,low,no,high,1.166044894,other
66675,on,2020,netzero,ref,ref,high,ref,no,high,1.166074193,other
66724,on,2020,netzero,ref,ref,high,low,no,high,1.166074193,other
66773,on,2020,netzero,low,ref,high,low,no,high,1.166112437,other
66822,on,2020,netzero,high,ref,high,low,no,high,1.166044894,other
66871,on,2020,netzero,ref,ref,ref,low,yes,high,1.166074193,other
66920,on,2020,netzero,low,ref,ref,low,yes,high,1.166112437,other
66969,on,2020,netzero,high,ref,ref,low,yes,high,1.166044894,other
67018,on,2020,netzero,ref,ref,low,low,yes,high,1.166074193,other
67067,on,2020,netzero,low,ref,low,low,yes,high,1.166112437,other
67116,on,2020,netzero,high,ref,low,low,yes,high,1.166044894,other
67165,on,2020,netzero,ref,ref,high,low,yes,high,1.166074193,other
67214,on,2020,netzero,low,ref,high,ref,no,high,1.166112437,other
67263,on,2020,netzero,low,ref,high,low,yes,high,1.166112437,other
67312,on,2020,netzero,high,ref,high,low,yes,high,1.166044894,other
67361,on,2020,netzero,ref,low,ref,low,no,high,1.166079848,other
67410,on,2020,netzero,low,low,ref,low,no,high,1.166120246,other
67459,on,2020,netzero,high,low,ref,low,no,high,1.166051981,other
67508,on,2020,netzero,ref,low,low,low,no,high,1.166079848,other
67557,on,2020,netzero,low,low,low,low,no,high,1.166120246,other
67606,on,2020,netzero,high,low,low,low,no,high,1.166051981,other
67655,on,2020,netzero,ref,low,high,low,no,high,1.166079848,other
67704,on,2020,netzero,low,low,high,low,no,high,1.166120246,other
67753,on,2020,netzero,high,ref,high,ref,no,high,1.166044894,other
67802,on,2020,netzero,high,low,high,low,no,high,1.166051981,other
67851,on,2020,netzero,ref,low,ref,low,yes,high,1.166079848,other
67900,on,2020,netzero,low,low,ref,low,yes,high,1.166120246,other
67949,on,2020,netzero,high,low,ref,low,yes,high,1.166051981,other
67998,on,2020,netzero,ref,low,low,low,yes,high,1.166079848,other
68047,on,2020,netzero,low,low,low,low,yes,high,1.166120246,other
68096,on,2020,netzero,high,low,low,low,yes,high,1.166051981,other
68145,on,2020,netzero,ref,low,high,low,yes,high,1.166079848,other
68194,on,2020,netzero,low,low,high,low,yes,high,1.166120246,other
68243,on,2020,netzero,high,low,high,low,yes,high,1.166051981,other
68292,on,2020,netzero,ref,ref,ref,ref,yes,high,1.166074193,other
68341,on,2020,netzero,ref,high,ref,low,no,high,1.166068351,other
68390,on,2020,netzero,low,high,ref,low,no,high,1.166106556,other
68439,on,2020,netzero,high,high,ref,low,no,high,1.166039226,other
68488,on,2020,netzero,ref,high,low,low,no,high,1.166068351,other
68537,on,2020,netzero,low,high,low,low,no,high,1.166106556,other
68586,on,2020,netzero,high,high,low,low,no,high,1.166039226,other
68635,on,2020,netzero,ref,high,high,low,no,high,1.166068351,other
68684,on,2020,netzero,low,high,high,low,no,high,1.166106556,other
68733,on,2020,netzero,high,high,high,low,no,high,1.166039226,other
68782,on,2020,netzero,ref,high,ref,low,yes,high,1.166068351,other
105875,on,2020,netzero,ref,ref,ref,ref,no,low,1.166074299,other
105924,on,2020,netzero,low,ref,ref,ref,no,low,1.166112437,other
105973,on,2020,netzero,low,ref,ref,ref,yes,low,1.166112437,other
106022,on,2020,netzero,low,high,ref,low,yes,low,1.166106556,other
106071,on,2020,netzero,high,high,ref,low,yes,low,1.166039226,other
106120,on,2020,netzero,ref,high,low,low,yes,low,1.166068351,other
106169,on,2020,netzero,low,high,low,low,yes,low,1.166106556,other
106218,on,2020,netzero,high,high,low,low,yes,low,1.166039226,other
106267,on,2020,netzero,ref,high,high,low,yes,low,1.166068351,other
106316,on,2020,netzero,low,high,high,low,yes,low,1.166106556,other
106365,on,2020,netzero,high,high,high,low,yes,low,1.166039226,other
106414,on,2020,netzero,high,ref,ref,ref,yes,low,1.166044894,other
106463,on,2020,netzero,ref,ref,low,ref,yes,low,1.166074193,other
106512,on,2020,netzero,low,ref,low,ref,yes,low,1.166112437,other
106561,on,2020,netzero,high,ref,low,ref,yes,low,1.166044894,other
106610,on,2020,netzero,ref,ref,high,ref,yes,low,1.166074193,other
106659,on,2020,netzero,low,ref,high,ref,yes,low,1.166112437,other
106708,on,2020,netzero,high,ref,high,ref,yes,low,1.166044894,other
106757,on,2020,netzero,ref,low,ref,ref,no,low,1.166079848,other
106806,on,2020,netzero,low,low,ref,ref,no,low,1.166120246,other
106855,on,2020,netzero,high,ref,ref,ref,no,low,1.166044894,other
106904,on,2020,netzero,high,low,ref,ref,no,low,1.166051981,other
106953,on,2020,netzero,ref,low,low,ref,no,low,1.166079848,other
107002,on,2020,netzero,low,low,low,ref,no,low,1.166120246,other
107051,on,2020,netzero,high,low,low,ref,no,low,1.166051981,other
107100,on,2020,netzero,ref,low,high,ref,no,low,1.166079848,other
107149,on,2020,netzero,low,low,high,ref,no,low,1.166120246,other
107198,on,2020,netzero,high,low,high,ref,no,low,1.166051981,other
107247,on,2020,netzero,ref,low,ref,ref,yes,low,1.166079848,other
107296,on,2020,netzero,low,low,ref,ref,yes,low,1.166120246,other
107345,on,2020,netzero,high,low,ref,ref,yes,low,1.166051981,other
107394,on,2020,netzero,ref,ref,low,ref,no,low,1.166074193,other
107443,on,2020,netzero,ref,low,low,ref,yes,low,1.166079848,other
107492,on,2020,netzero,low,low,low,ref,yes,low,1.166120246,other
107541,on,2020,netzero,high,low,low,ref,yes,low,1.166051981,other
107590,on,2020,netzero,ref,low,high,ref,yes,low,1.166079848,other
107639,on,2020,netzero,low,low,high,ref,yes,low,1.166120246,other
107688,on,2020,netzero,high,low,high,ref,yes,low,1.166051981,other
107737,on,2020,netzero,ref,high,ref,ref,no,low,1.166068351,other
107786,on,2020,netzero,low,high,ref,ref,no,low,1.166106556,other
107835,on,2020,netzero,high,high,ref,ref,no,low,1.166039226,other
107884,on,2020,netzero,ref,high,low,ref,no,low,1.166068351,other
107933,on,2020,netzero,low,ref,low,ref,no,low,1.166112437,other
107982,on,2020,netzero,low,high,low,ref,no,low,1.166106556,other
108031,on,2020,netzero,high,high,low,ref,no,low,1.166040115,other
108080,on,2020,netzero,ref,high,high,ref,no,low,1.166068351,other
108129,on,2020,netzero,low,high,high,ref,no,low,1.166106556,other
108178,on,2020,netzero,high,high,high,ref,no,low,1.166039226,other
108227,on,2020,netzero,ref,high,ref,ref,yes,low,1.166068351,other
108276,on,2020,netzero,low,high,ref,ref,yes,low,1.166106556,other
108325,on,2020,netzero,high,high,ref,ref,yes,low,1.166039226,other
108374,on,2020,netzero,ref,high,low,ref,yes,low,1.166068351,other
108423,on,2020,netzero,low,high,low,ref,yes,low,1.166106556,other
108472,on,2020,netzero,high,ref,low,ref,no,low,1.166044894,other
108521,on,2020,netzero,high,high,low,ref,yes,low,1.166039226,other
108570,on,2020,netzero,ref,high,high,ref,yes,low,1.166068351,other
108619,on,2020,netzero,low,high,high,ref,yes,low,1.166106556,other
108668,on,2020,netzero,high,high,high,ref,yes,low,1.166039226,other
108717,on,2020,netzero,ref,ref,ref,low,no,low,1.166074193,other
108766,on,2020,netzero,low,ref,ref,low,no,low,1.166112437,other
108815,on,2020,netzero,high,ref,ref,low,no,low,1.166044894,other
108864,on,2020,netzero,ref,ref,low,low,no,low,1.166074193,other
108913,on,2020,netzero,low,ref,low,low,no,low,1.166112437,other
108962,on,2020,netzero,high,ref,low,low,no,low,1.166044894,other
109011,on,2020,netzero,ref,ref,high,ref,no,low,1.166074193,other
109060,on,2020,netzero,ref,ref,high,low,no,low,1.166074193,other
109109,on,2020,netzero,low,ref,high,low,no,low,1.166112437,other
109158,on,2020,netzero,high,ref,high,low,no,low,1.166044894,other
109207,on,2020,netzero,ref,ref,ref,low,yes,low,1.166074193,other
109256,on,2020,netzero,low,ref,ref,low,yes,low,1.166112437,other
109305,on,2020,netzero,high,ref,ref,low,yes,low,1.166044894,other
109354,on,2020,netzero,ref,ref,low,low,yes,low,1.166074193,other
109403,on,2020,netzero,low,ref,low,low,yes,low,1.166112437,other
109452,on,2020,netzero,high,ref,low,low,yes,low,1.166044894,other
109501,on,2020,netzero,ref,ref,high,low,yes,low,1.166074193,other
109550,on,2020,netzero,low,ref,high,ref,no,low,1.166112437,other
109599,on,2020,netzero,low,ref,high,low,yes,low,1.166112437,other
109648,on,2020,netzero,high,ref,high,low,yes,low,1.166044894,other
109697,on,2020,netzero,ref,low,ref,low,no,low,1.166079848,other
109746,on,2020,netzero,low,low,ref,low,no,low,1.166120246,other
109795,on,2020,netzero,high,low,ref,low,no,low,1.166051981,other
109844,on,2020,netzero,ref,low,low,low,no,low,1.166079848,other
109893,on,2020,netzero,low,low,low,low,no,low,1.166120246,other
109942,on,2020,netzero,high,low,low,low,no,low,1.166051981,other
109991,on,2020,netzero,ref,low,high,low,no,low,1.166079848,other
110040,on,2020,netzero,low,low,high,low,no,low,1.166120246,other
110089,on,2020,netzero,high,ref,high,ref,no,low,1.166044894,other
110138,on,2020,netzero,high,low,high,low,no,low,1.166051981,other
110187,on,2020,netzero,ref,low,ref,low,yes,low,1.166079848,other
