id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,green_energy
5464,on,2030,netzero,high,ref,ref,low,yes,high,73.92890381,fossil fuel
5468,on,2030,netzero,ref,ref,low,low,yes,high,74.32251052,fossil fuel
5472,on,2030,netzero,low,ref,low,low,yes,high,73.7592784,fossil fuel
5476,on,2030,netzero,high,ref,low,low,yes,high,74.00429395,fossil fuel
5480,on,2030,netzero,ref,ref,high,low,yes,high,74.29967723,fossil fuel
5484,on,2030,netzero,low,ref,high,ref,no,high,67.49578973,fossil fuel
5488,on,2030,netzero,low,ref,high,low,yes,high,73.76486484,fossil fuel
5492,on,2030,netzero,high,ref,high,low,yes,high,73.87139551,fossil fuel
5496,on,2030,netzero,ref,low,ref,low,no,high,74.82145929,fossil fuel
5500,on,2030,netzero,low,low,ref,low,no,high,73.94490817,fossil fuel
5504,on,2030,netzero,high,low,ref,low,no,high,75.58673887,fossil fuel
5508,on,2030,netzero,ref,low,low,low,no,high,74.81069152,fossil fuel
5512,on,2030,netzero,low,low,low,low,no,high,73.94026379,fossil fuel
5516,on,2030,netzero,high,low,low,low,no,high,75.5695789,fossil fuel
5520,on,2030,netzero,ref,low,high,low,no,high,74.82759993,fossil fuel
5524,on,2030,netzero,low,low,high,low,no,high,73.95708,fossil fuel
5528,on,2030,netzero,high,ref,high,ref,no,high,65.20445851,fossil fuel
5532,on,2030,netzero,high,low,high,low,no,high,75.58881196,fossil fuel
5536,on,2030,netzero,ref,low,ref,low,yes,high,74.81951494,fossil fuel
5540,on,2030,netzero,low,low,ref,low,yes,high,73.95138838,fossil fuel
5544,on,2030,netzero,high,low,ref,low,yes,high,75.59127272,fossil fuel
5548,on,2030,netzero,ref,low,low,low,yes,high,74.80997614,fossil fuel
5552,on,2030,netzero,low,low,low,low,yes,high,73.94083937,fossil fuel
5556,on,2030,netzero,high,low,low,low,yes,high,75.56935846,fossil fuel
5560,on,2030,netzero,ref,low,high,low,yes,high,74.81625879,fossil fuel
5564,on,2030,netzero,low,low,high,low,yes,high,73.94205445,fossil fuel
5568,on,2030,netzero,high,low,high,low,yes,high,75.58386989,fossil fuel
5572,on,2030,netzero,ref,ref,ref,ref,yes,high,65.37416467,fossil fuel
5576,on,2030,netzero,ref,high,ref,low,no,high,74.21647973,fossil fuel
5580,on,2030,netzero,low,high,ref,low,no,high,73.6136307,fossil fuel
5584,on,2030,netzero,high,high,ref,low,no,high,73.67239199,fossil fuel
5588,on,2030,netzero,ref,high,low,low,no,high,74.20121745,fossil fuel
5592,on,2030,netzero,low,high,low,low,no,high,73.59365679,fossil fuel
5596,on,2030,netzero,high,high,low,low,no,high,73.75123694,fossil fuel
5600,on,2030,netzero,ref,high,high,low,no,high,74.1933891,fossil fuel
5604,on,2030,netzero,low,high,high,low,no,high,73.61331536,fossil fuel
5608,on,2030,netzero,high,high,high,low,no,high,73.6579142,fossil fuel
