id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
77910,on,2025,netzero,low,ref,ref,ref,yes,high,0.051286163,medium & heavy-duty transport
77970,on,2025,netzero,low,high,ref,low,yes,high,0.041878214,medium & heavy-duty transport
78030,on,2025,netzero,high,high,ref,low,yes,high,0.044506382,medium & heavy-duty transport
78090,on,2025,netzero,ref,high,low,low,yes,high,0.047203666,medium & heavy-duty transport
78150,on,2025,netzero,low,high,low,low,yes,high,0.045204419,medium & heavy-duty transport
78210,on,2025,netzero,high,high,low,low,yes,high,0.048109833,medium & heavy-duty transport
78270,on,2025,netzero,ref,high,high,low,yes,high,0.040653472,medium & heavy-duty transport
78330,on,2025,netzero,low,high,high,low,yes,high,0.038958289,medium & heavy-duty transport
78390,on,2025,netzero,high,high,high,low,yes,high,0.041443501,medium & heavy-duty transport
78450,on,2025,netzero,high,ref,ref,ref,yes,high,0.053801199,medium & heavy-duty transport
78510,on,2025,netzero,ref,ref,low,ref,yes,high,0.057578663,medium & heavy-duty transport
78570,on,2025,netzero,low,ref,low,ref,yes,high,0.054941056,medium & heavy-duty transport
78630,on,2025,netzero,high,ref,low,ref,yes,high,0.057724052,medium & heavy-duty transport
78690,on,2025,netzero,ref,ref,high,ref,yes,high,0.049787029,medium & heavy-duty transport
78750,on,2025,netzero,low,ref,high,ref,yes,high,0.047520782,medium & heavy-duty transport
78810,on,2025,netzero,high,ref,high,ref,yes,high,0.049915732,medium & heavy-duty transport
78870,on,2025,netzero,ref,low,ref,ref,no,high,0.053709649,medium & heavy-duty transport
78930,on,2025,netzero,low,low,ref,ref,no,high,0.05131309,medium & heavy-duty transport
78990,on,2025,netzero,high,ref,ref,ref,no,high,0.053801396,medium & heavy-duty transport
79050,on,2025,netzero,high,low,ref,ref,no,high,0.053825132,medium & heavy-duty transport
79110,on,2025,netzero,ref,low,low,ref,no,high,0.057608232,medium & heavy-duty transport
79170,on,2025,netzero,low,low,low,ref,no,high,0.054966493,medium & heavy-duty transport
79230,on,2025,netzero,high,low,low,ref,no,high,0.057749132,medium & heavy-duty transport
79290,on,2025,netzero,ref,low,high,ref,no,high,0.049812764,medium & heavy-duty transport
79350,on,2025,netzero,low,low,high,ref,no,high,0.047558258,medium & heavy-duty transport
79410,on,2025,netzero,high,low,high,ref,no,high,0.049934035,medium & heavy-duty transport
79470,on,2025,netzero,ref,low,ref,ref,yes,high,0.053709649,medium & heavy-duty transport
79530,on,2025,netzero,low,low,ref,ref,yes,high,0.05131309,medium & heavy-duty transport
79590,on,2025,netzero,high,low,ref,ref,yes,high,0.053825132,medium & heavy-duty transport
79650,on,2025,netzero,ref,ref,low,ref,no,high,0.057578663,medium & heavy-duty transport
79710,on,2025,netzero,ref,low,low,ref,yes,high,0.057608232,medium & heavy-duty transport
79770,on,2025,netzero,low,low,low,ref,yes,high,0.054966493,medium & heavy-duty transport
79830,on,2025,netzero,high,low,low,ref,yes,high,0.057749132,medium & heavy-duty transport
79890,on,2025,netzero,ref,low,high,ref,yes,high,0.049812764,medium & heavy-duty transport
79950,on,2025,netzero,low,low,high,ref,yes,high,0.047558258,medium & heavy-duty transport
80010,on,2025,netzero,high,low,high,ref,yes,high,0.049934035,medium & heavy-duty transport
80070,on,2025,netzero,ref,high,ref,ref,no,high,0.053325394,medium & heavy-duty transport
80130,on,2025,netzero,low,high,ref,ref,no,high,0.05113617,medium & heavy-duty transport
80190,on,2025,netzero,high,high,ref,ref,no,high,0.053639487,medium & heavy-duty transport
80250,on,2025,netzero,ref,high,low,ref,no,high,0.057212731,medium & heavy-duty transport
80310,on,2025,netzero,low,ref,low,ref,no,high,0.054941056,medium & heavy-duty transport
80370,on,2025,netzero,low,high,low,ref,no,high,0.054766557,medium & heavy-duty transport
80430,on,2025,netzero,high,high,low,ref,no,high,0.057555164,medium & heavy-duty transport
80490,on,2025,netzero,ref,high,high,ref,no,high,0.049469594,medium & heavy-duty transport
80550,on,2025,netzero,low,high,high,ref,no,high,0.04738376,medium & heavy-duty transport
80610,on,2025,netzero,high,high,high,ref,no,high,0.049767328,medium & heavy-duty transport
80670,on,2025,netzero,ref,high,ref,ref,yes,high,0.053325394,medium & heavy-duty transport
80730,on,2025,netzero,low,high,ref,ref,yes,high,0.05113617,medium & heavy-duty transport
80790,on,2025,netzero,high,high,ref,ref,yes,high,0.053639487,medium & heavy-duty transport
80850,on,2025,netzero,ref,high,low,ref,yes,high,0.057212731,medium & heavy-duty transport
80910,on,2025,netzero,low,high,low,ref,yes,high,0.054766557,medium & heavy-duty transport
80970,on,2025,netzero,high,ref,low,ref,no,high,0.057724052,medium & heavy-duty transport
81030,on,2025,netzero,high,high,low,ref,yes,high,0.057555164,medium & heavy-duty transport
81090,on,2025,netzero,ref,high,high,ref,yes,high,0.049469594,medium & heavy-duty transport
81150,on,2025,netzero,low,high,high,ref,yes,high,0.04738376,medium & heavy-duty transport
81210,on,2025,netzero,high,high,high,ref,yes,high,0.049767328,medium & heavy-duty transport
81270,on,2025,netzero,ref,ref,ref,low,no,high,0.04367119,medium & heavy-duty transport
81330,on,2025,netzero,low,ref,ref,low,no,high,0.041897983,medium & heavy-duty transport
81390,on,2025,netzero,high,ref,ref,low,no,high,0.044528431,medium & heavy-duty transport
81450,on,2025,netzero,ref,ref,low,low,no,high,0.047224764,medium & heavy-duty transport
81510,on,2025,netzero,low,ref,low,low,no,high,0.045225094,medium & heavy-duty transport
81570,on,2025,netzero,high,ref,low,low,no,high,0.048131172,medium & heavy-duty transport
81630,on,2025,netzero,ref,ref,high,ref,no,high,0.049787029,medium & heavy-duty transport
