id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,eu_name,technology
22064,on,2020,legislated,high,low,low,low,yes,high,100.0,heavy-duty,ice
22106,on,2020,legislated,ref,low,high,low,yes,high,100.0,heavy-duty,ice
22148,on,2020,legislated,low,low,high,low,yes,high,100.0,heavy-duty,ice
22190,on,2020,legislated,high,low,high,low,yes,high,100.0,heavy-duty,ice
22232,on,2020,legislated,ref,ref,ref,ref,yes,high,100.0,heavy-duty,ice
22274,on,2020,legislated,ref,high,ref,low,no,high,100.0,heavy-duty,ice
22316,on,2020,legislated,low,high,ref,low,no,high,100.0,heavy-duty,ice
22358,on,2020,legislated,high,high,ref,low,no,high,100.0,heavy-duty,ice
22400,on,2020,legislated,ref,high,low,low,no,high,100.0,heavy-duty,ice
22442,on,2020,legislated,low,high,low,low,no,high,100.0,heavy-duty,ice
22484,on,2020,legislated,high,high,low,low,no,high,100.0,heavy-duty,ice
22526,on,2020,legislated,ref,high,high,low,no,high,100.0,heavy-duty,ice
22568,on,2020,legislated,low,high,high,low,no,high,100.0,heavy-duty,ice
22610,on,2020,legislated,high,high,high,low,no,high,100.0,heavy-duty,ice
22652,on,2020,legislated,ref,high,ref,low,yes,high,100.0,heavy-duty,ice
54446,on,2020,netzero,ref,ref,ref,ref,no,high,100.0,heavy-duty,ice
54488,on,2020,netzero,low,ref,ref,ref,no,high,100.0,heavy-duty,ice
54530,on,2020,netzero,low,ref,ref,ref,yes,high,100.0,heavy-duty,ice
54572,on,2020,netzero,low,high,ref,low,yes,high,100.0,heavy-duty,ice
54614,on,2020,netzero,high,high,ref,low,yes,high,100.0,heavy-duty,ice
54656,on,2020,netzero,ref,high,low,low,yes,high,100.0,heavy-duty,ice
54698,on,2020,netzero,low,high,low,low,yes,high,100.0,heavy-duty,ice
54740,on,2020,netzero,high,high,low,low,yes,high,100.0,heavy-duty,ice
54782,on,2020,netzero,ref,high,high,low,yes,high,100.0,heavy-duty,ice
54824,on,2020,netzero,low,high,high,low,yes,high,100.0,heavy-duty,ice
54866,on,2020,netzero,high,high,high,low,yes,high,100.0,heavy-duty,ice
54908,on,2020,netzero,high,ref,ref,ref,yes,high,100.0,heavy-duty,ice
54950,on,2020,netzero,ref,ref,low,ref,yes,high,100.0,heavy-duty,ice
54992,on,2020,netzero,low,ref,low,ref,yes,high,100.0,heavy-duty,ice
55034,on,2020,netzero,high,ref,low,ref,yes,high,100.0,heavy-duty,ice
55076,on,2020,netzero,ref,ref,high,ref,yes,high,100.0,heavy-duty,ice
55118,on,2020,netzero,low,ref,high,ref,yes,high,100.0,heavy-duty,ice
55160,on,2020,netzero,high,ref,high,ref,yes,high,100.0,heavy-duty,ice
55202,on,2020,netzero,ref,low,ref,ref,no,high,100.0,heavy-duty,ice
55244,on,2020,netzero,low,low,ref,ref,no,high,100.0,heavy-duty,ice
55286,on,2020,netzero,high,ref,ref,ref,no,high,100.0,heavy-duty,ice
55328,on,2020,netzero,high,low,ref,ref,no,high,100.0,heavy-duty,ice
55370,on,2020,netzero,ref,low,low,ref,no,high,100.0,heavy-duty,ice
55412,on,2020,netzero,low,low,low,ref,no,high,100.0,heavy-duty,ice
55454,on,2020,netzero,high,low,low,ref,no,high,100.0,heavy-duty,ice
55496,on,2020,netzero,ref,low,high,ref,no,high,100.0,heavy-duty,ice
55538,on,2020,netzero,low,low,high,ref,no,high,100.0,heavy-duty,ice
55580,on,2020,netzero,high,low,high,ref,no,high,100.0,heavy-duty,ice
55622,on,2020,netzero,ref,low,ref,ref,yes,high,100.0,heavy-duty,ice
55664,on,2020,netzero,low,low,ref,ref,yes,high,100.0,heavy-duty,ice
55706,on,2020,netzero,high,low,ref,ref,yes,high,100.0,heavy-duty,ice
55748,on,2020,netzero,ref,ref,low,ref,no,high,100.0,heavy-duty,ice
55790,on,2020,netzero,ref,low,low,ref,yes,high,100.0,heavy-duty,ice
55832,on,2020,netzero,low,low,low,ref,yes,high,100.0,heavy-duty,ice
55874,on,2020,netzero,high,low,low,ref,yes,high,100.0,heavy-duty,ice
55916,on,2020,netzero,ref,low,high,ref,yes,high,100.0,heavy-duty,ice
55958,on,2020,netzero,low,low,high,ref,yes,high,100.0,heavy-duty,ice
56000,on,2020,netzero,high,low,high,ref,yes,high,100.0,heavy-duty,ice
56042,on,2020,netzero,ref,high,ref,ref,no,high,100.0,heavy-duty,ice
56084,on,2020,netzero,low,high,ref,ref,no,high,100.0,heavy-duty,ice
56126,on,2020,netzero,high,high,ref,ref,no,high,100.0,heavy-duty,ice
56168,on,2020,netzero,ref,high,low,ref,no,high,100.0,heavy-duty,ice
56210,on,2020,netzero,low,ref,low,ref,no,high,100.0,heavy-duty,ice
56252,on,2020,netzero,low,high,low,ref,no,high,100.0,heavy-duty,ice
56294,on,2020,netzero,high,high,low,ref,no,high,100.0,heavy-duty,ice
56336,on,2020,netzero,ref,high,high,ref,no,high,100.0,heavy-duty,ice
56378,on,2020,netzero,low,high,high,ref,no,high,100.0,heavy-duty,ice
56420,on,2020,netzero,high,high,high,ref,no,high,100.0,heavy-duty,ice
56462,on,2020,netzero,ref,high,ref,ref,yes,high,100.0,heavy-duty,ice
56504,on,2020,netzero,low,high,ref,ref,yes,high,100.0,heavy-duty,ice
56546,on,2020,netzero,high,high,ref,ref,yes,high,100.0,heavy-duty,ice
56588,on,2020,netzero,ref,high,low,ref,yes,high,100.0,heavy-duty,ice
56630,on,2020,netzero,low,high,low,ref,yes,high,100.0,heavy-duty,ice
56672,on,2020,netzero,high,ref,low,ref,no,high,100.0,heavy-duty,ice
56714,on,2020,netzero,high,high,low,ref,yes,high,100.0,heavy-duty,ice
56756,on,2020,netzero,ref,high,high,ref,yes,high,100.0,heavy-duty,ice
56798,on,2020,netzero,low,high,high,ref,yes,high,100.0,heavy-duty,ice
56840,on,2020,netzero,high,high,high,ref,yes,high,100.0,heavy-duty,ice
56882,on,2020,netzero,ref,ref,ref,low,no,high,100.0,heavy-duty,ice
56924,on,2020,netzero,low,ref,ref,low,no,high,100.0,heavy-duty,ice
56966,on,2020,netzero,high,ref,ref,low,no,high,100.0,heavy-duty,ice
57008,on,2020,netzero,ref,ref,low,low,no,high,100.0,heavy-duty,ice
57050,on,2020,netzero,low,ref,low,low,no,high,100.0,heavy-duty,ice
57092,on,2020,netzero,high,ref,low,low,no,high,100.0,heavy-duty,ice
57134,on,2020,netzero,ref,ref,high,ref,no,high,100.0,heavy-duty,ice
57176,on,2020,netzero,ref,ref,high,low,no,high,100.0,heavy-duty,ice
57218,on,2020,netzero,low,ref,high,low,no,high,100.0,heavy-duty,ice
57260,on,2020,netzero,high,ref,high,low,no,high,100.0,heavy-duty,ice
57302,on,2020,netzero,ref,ref,ref,low,yes,high,100.0,heavy-duty,ice
57344,on,2020,netzero,low,ref,ref,low,yes,high,100.0,heavy-duty,ice
57386,on,2020,netzero,high,ref,ref,low,yes,high,100.0,heavy-duty,ice
57428,on,2020,netzero,ref,ref,low,low,yes,high,100.0,heavy-duty,ice
57470,on,2020,netzero,low,ref,low,low,yes,high,100.0,heavy-duty,ice
57512,on,2020,netzero,high,ref,low,low,yes,high,100.0,heavy-duty,ice
57554,on,2020,netzero,ref,ref,high,low,yes,high,100.0,heavy-duty,ice
57596,on,2020,netzero,low,ref,high,ref,no,high,100.0,heavy-duty,ice
57638,on,2020,netzero,low,ref,high,low,yes,high,100.0,heavy-duty,ice
57680,on,2020,netzero,high,ref,high,low,yes,high,100.0,heavy-duty,ice
57722,on,2020,netzero,ref,low,ref,low,no,high,100.0,heavy-duty,ice
57764,on,2020,netzero,low,low,ref,low,no,high,100.0,heavy-duty,ice
57806,on,2020,netzero,high,low,ref,low,no,high,100.0,heavy-duty,ice
57848,on,2020,netzero,ref,low,low,low,no,high,100.0,heavy-duty,ice
57890,on,2020,netzero,low,low,low,low,no,high,100.0,heavy-duty,ice
57932,on,2020,netzero,high,low,low,low,no,high,100.0,heavy-duty,ice
57974,on,2020,netzero,ref,low,high,low,no,high,100.0,heavy-duty,ice
58016,on,2020,netzero,low,low,high,low,no,high,100.0,heavy-duty,ice
58058,on,2020,netzero,high,ref,high,ref,no,high,100.0,heavy-duty,ice
58100,on,2020,netzero,high,low,high,low,no,high,100.0,heavy-duty,ice
58142,on,2020,netzero,ref,low,ref,low,yes,high,100.0,heavy-duty,ice
58184,on,2020,netzero,low,low,ref,low,yes,high,100.0,heavy-duty,ice
58226,on,2020,netzero,high,low,ref,low,yes,high,100.0,heavy-duty,ice
58268,on,2020,netzero,ref,low,low,low,yes,high,100.0,heavy-duty,ice
58310,on,2020,netzero,low,low,low,low,yes,high,100.0,heavy-duty,ice
58352,on,2020,netzero,high,low,low,low,yes,high,100.0,heavy-duty,ice
58394,on,2020,netzero,ref,low,high,low,yes,high,100.0,heavy-duty,ice
