id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,type
153013,on,2020,netzero,ref,low,high,ref,no,low,5435.82,wind
153083,on,2020,netzero,low,low,high,ref,no,low,5435.82,wind
153153,on,2020,netzero,high,low,high,ref,no,low,5435.82,wind
153223,on,2020,netzero,ref,low,ref,ref,yes,low,5435.82,wind
153293,on,2020,netzero,low,low,ref,ref,yes,low,5435.82,wind
153363,on,2020,netzero,high,low,ref,ref,yes,low,5435.82,wind
153433,on,2020,netzero,ref,ref,low,ref,no,low,5435.82,wind
153503,on,2020,netzero,ref,low,low,ref,yes,low,5435.82,wind
153573,on,2020,netzero,low,low,low,ref,yes,low,5435.82,wind
153643,on,2020,netzero,high,low,low,ref,yes,low,5435.82,wind
153713,on,2020,netzero,ref,low,high,ref,yes,low,5435.82,wind
153783,on,2020,netzero,low,low,high,ref,yes,low,5435.82,wind
153853,on,2020,netzero,high,low,high,ref,yes,low,5435.82,wind
153923,on,2020,netzero,ref,high,ref,ref,no,low,5435.82,wind
153993,on,2020,netzero,low,high,ref,ref,no,low,5435.82,wind
154063,on,2020,netzero,high,high,ref,ref,no,low,5435.82,wind
154133,on,2020,netzero,ref,high,low,ref,no,low,5435.82,wind
154203,on,2020,netzero,low,ref,low,ref,no,low,5435.82,wind
154273,on,2020,netzero,low,high,low,ref,no,low,5435.82,wind
154343,on,2020,netzero,high,high,low,ref,no,low,5435.82,wind
154413,on,2020,netzero,ref,high,high,ref,no,low,5435.82,wind
154483,on,2020,netzero,low,high,high,ref,no,low,5435.82,wind
154553,on,2020,netzero,high,high,high,ref,no,low,5435.82,wind
154623,on,2020,netzero,ref,high,ref,ref,yes,low,5435.82,wind
154693,on,2020,netzero,low,high,ref,ref,yes,low,5435.82,wind
154763,on,2020,netzero,high,high,ref,ref,yes,low,5435.82,wind
154833,on,2020,netzero,ref,high,low,ref,yes,low,5435.82,wind
154903,on,2020,netzero,low,high,low,ref,yes,low,5435.82,wind
154973,on,2020,netzero,high,ref,low,ref,no,low,5435.82,wind
155043,on,2020,netzero,high,high,low,ref,yes,low,5435.82,wind
155113,on,2020,netzero,ref,high,high,ref,yes,low,5435.82,wind
155183,on,2020,netzero,low,high,high,ref,yes,low,5435.82,wind
155253,on,2020,netzero,high,high,high,ref,yes,low,5435.82,wind
155323,on,2020,netzero,ref,ref,ref,low,no,low,5435.82,wind
155393,on,2020,netzero,low,ref,ref,low,no,low,5435.82,wind
155463,on,2020,netzero,high,ref,ref,low,no,low,5435.82,wind
155533,on,2020,netzero,ref,ref,low,low,no,low,5435.82,wind
155603,on,2020,netzero,low,ref,low,low,no,low,5435.82,wind
155673,on,2020,netzero,high,ref,low,low,no,low,5435.82,wind
155743,on,2020,netzero,ref,ref,high,ref,no,low,5435.82,wind
155813,on,2020,netzero,ref,ref,high,low,no,low,5435.82,wind
155883,on,2020,netzero,low,ref,high,low,no,low,5435.82,wind
155953,on,2020,netzero,high,ref,high,low,no,low,5435.82,wind
156023,on,2020,netzero,ref,ref,ref,low,yes,low,5435.82,wind
156093,on,2020,netzero,low,ref,ref,low,yes,low,5435.82,wind
156163,on,2020,netzero,high,ref,ref,low,yes,low,5435.82,wind
156233,on,2020,netzero,ref,ref,low,low,yes,low,5435.82,wind
156303,on,2020,netzero,low,ref,low,low,yes,low,5435.82,wind
156373,on,2020,netzero,high,ref,low,low,yes,low,5435.82,wind
156443,on,2020,netzero,ref,ref,high,low,yes,low,5435.82,wind
156513,on,2020,netzero,low,ref,high,ref,no,low,5435.82,wind
156583,on,2020,netzero,low,ref,high,low,yes,low,5435.82,wind
156653,on,2020,netzero,high,ref,high,low,yes,low,5435.82,wind
156723,on,2020,netzero,ref,low,ref,low,no,low,5435.82,wind
156793,on,2020,netzero,low,low,ref,low,no,low,5435.82,wind
156863,on,2020,netzero,high,low,ref,low,no,low,5435.82,wind
156933,on,2020,netzero,ref,low,low,low,no,low,5435.82,wind
157003,on,2020,netzero,low,low,low,low,no,low,5435.82,wind
157073,on,2020,netzero,high,low,low,low,no,low,5435.82,wind
157143,on,2020,netzero,ref,low,high,low,no,low,5435.82,wind
157213,on,2020,netzero,low,low,high,low,no,low,5435.82,wind
157283,on,2020,netzero,high,ref,high,ref,no,low,5435.82,wind
157353,on,2020,netzero,high,low,high,low,no,low,5435.82,wind
157423,on,2020,netzero,ref,low,ref,low,yes,low,5435.82,wind
157493,on,2020,netzero,low,low,ref,low,yes,low,5435.82,wind
157563,on,2020,netzero,high,low,ref,low,yes,low,5435.82,wind
157633,on,2020,netzero,ref,low,low,low,yes,low,5435.82,wind
157703,on,2020,netzero,low,low,low,low,yes,low,5435.82,wind
157773,on,2020,netzero,high,low,low,low,yes,low,5435.82,wind
157843,on,2020,netzero,ref,low,high,low,yes,low,5435.82,wind
157913,on,2020,netzero,low,low,high,low,yes,low,5435.82,wind
157983,on,2020,netzero,high,low,high,low,yes,low,5435.82,wind
158053,on,2020,netzero,ref,ref,ref,ref,yes,low,5435.82,wind
158123,on,2020,netzero,ref,high,ref,low,no,low,5435.82,wind
158193,on,2020,netzero,low,high,ref,low,no,low,5435.82,wind
158263,on,2020,netzero,high,high,ref,low,no,low,5435.82,wind
158333,on,2020,netzero,ref,high,low,low,no,low,5435.82,wind
158403,on,2020,netzero,low,high,low,low,no,low,5435.82,wind
158473,on,2020,netzero,high,high,low,low,no,low,5435.82,wind
158543,on,2020,netzero,ref,high,high,low,no,low,5435.82,wind
158613,on,2020,netzero,low,high,high,low,no,low,5435.82,wind
158683,on,2020,netzero,high,high,high,low,no,low,5435.82,wind
158753,on,2020,netzero,ref,high,ref,low,yes,low,5435.82,wind
30304,on,2025,legislated,ref,ref,ref,ref,no,high,5435.82,wind
30374,on,2025,legislated,low,ref,ref,ref,no,high,5435.82,wind
30444,on,2025,legislated,low,ref,ref,ref,yes,high,5435.82,wind
30514,on,2025,legislated,low,high,ref,low,yes,high,5435.82,wind
30584,on,2025,legislated,high,high,ref,low,yes,high,5435.82,wind
30654,on,2025,legislated,ref,high,low,low,yes,high,5435.82,wind
30724,on,2025,legislated,low,high,low,low,yes,high,5435.82,wind
