id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
1329,on,2050,netzero,low,low,low,ref,yes,high,1.957164614
1330,on,2050,netzero,high,low,low,ref,yes,high,1.868602668
1331,on,2050,netzero,ref,low,high,ref,yes,high,1.905774109
1332,on,2050,netzero,low,low,high,ref,yes,high,1.961861019
1333,on,2050,netzero,high,low,high,ref,yes,high,1.865827414
1334,on,2050,netzero,ref,high,ref,ref,no,high,1.58142542
1335,on,2050,netzero,low,high,ref,ref,no,high,1.676453836
1336,on,2050,netzero,high,high,ref,ref,no,high,1.377912841
1337,on,2050,netzero,ref,high,low,ref,no,high,1.588475465
1338,on,2050,netzero,low,ref,low,ref,no,high,1.682339317
1339,on,2050,netzero,low,high,low,ref,no,high,1.663268798
1340,on,2050,netzero,high,high,low,ref,no,high,1.386576821
1341,on,2050,netzero,ref,high,high,ref,no,high,1.581562586
1342,on,2050,netzero,low,high,high,ref,no,high,1.660797403
1343,on,2050,netzero,high,high,high,ref,no,high,1.364227792
1344,on,2050,netzero,ref,high,ref,ref,yes,high,1.914809536
1345,on,2050,netzero,low,high,ref,ref,yes,high,1.965940616
1346,on,2050,netzero,high,high,ref,ref,yes,high,1.869597078
1347,on,2050,netzero,ref,high,low,ref,yes,high,1.910567346
1348,on,2050,netzero,low,high,low,ref,yes,high,1.964628046
1349,on,2050,netzero,high,ref,low,ref,no,high,1.404594238
1350,on,2050,netzero,high,high,low,ref,yes,high,1.870938496
1351,on,2050,netzero,ref,high,high,ref,yes,high,1.916442654
1352,on,2050,netzero,low,high,high,ref,yes,high,1.965929531
1353,on,2050,netzero,high,high,high,ref,yes,high,1.86902444
1354,on,2050,netzero,ref,ref,ref,low,no,high,1.57528192
1355,on,2050,netzero,low,ref,ref,low,no,high,1.674836355
1356,on,2050,netzero,high,ref,ref,low,no,high,1.371626508
1357,on,2050,netzero,ref,ref,low,low,no,high,1.569224314
1358,on,2050,netzero,low,ref,low,low,no,high,1.678517712
1359,on,2050,netzero,high,ref,low,low,no,high,1.373328498
1360,on,2050,netzero,ref,ref,high,ref,no,high,1.583335468
1361,on,2050,netzero,ref,ref,high,low,no,high,1.568951237
1362,on,2050,netzero,low,ref,high,low,no,high,1.674096349
1363,on,2050,netzero,high,ref,high,low,no,high,1.351052044
1364,on,2050,netzero,ref,ref,ref,low,yes,high,1.910938858
1365,on,2050,netzero,low,ref,ref,low,yes,high,1.953879796
1366,on,2050,netzero,high,ref,ref,low,yes,high,1.882382834
1367,on,2050,netzero,ref,ref,low,low,yes,high,1.909874287
1368,on,2050,netzero,low,ref,low,low,yes,high,1.951053722
1369,on,2050,netzero,high,ref,low,low,yes,high,1.881171766
1370,on,2050,netzero,ref,ref,high,low,yes,high,1.911309532
1371,on,2050,netzero,low,ref,high,ref,no,high,1.678451215
1372,on,2050,netzero,low,ref,high,low,yes,high,1.953375523
1373,on,2050,netzero,high,ref,high,low,yes,high,1.88185674
1374,on,2050,netzero,ref,low,ref,low,no,high,1.592206204
1375,on,2050,netzero,low,low,ref,low,no,high,1.700002882
1376,on,2050,netzero,high,low,ref,low,no,high,1.398916732
1377,on,2050,netzero,ref,low,low,low,no,high,1.58883972
1378,on,2050,netzero,low,low,low,low,no,high,1.702459973
1379,on,2050,netzero,high,low,low,low,no,high,1.412107968
1380,on,2050,netzero,ref,low,high,low,no,high,1.588502613
1381,on,2050,netzero,low,low,high,low,no,high,1.695149356
1382,on,2050,netzero,high,ref,high,ref,no,high,1.373648594
1383,on,2050,netzero,high,low,high,low,no,high,1.386578302
