id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
154406,on,2020,netzero,ref,high,high,ref,no,low,502.3970931,residential buildings
154476,on,2020,netzero,low,high,high,ref,no,low,502.3930567,residential buildings
154546,on,2020,netzero,high,high,high,ref,no,low,502.3960535,residential buildings
154616,on,2020,netzero,ref,high,ref,ref,yes,low,502.3970931,residential buildings
154686,on,2020,netzero,low,high,ref,ref,yes,low,502.3930567,residential buildings
154756,on,2020,netzero,high,high,ref,ref,yes,low,502.3960535,residential buildings
154826,on,2020,netzero,ref,high,low,ref,yes,low,502.3970931,residential buildings
154896,on,2020,netzero,low,high,low,ref,yes,low,502.3930567,residential buildings
154966,on,2020,netzero,high,ref,low,ref,no,low,502.3912777,residential buildings
155036,on,2020,netzero,high,high,low,ref,yes,low,502.3960535,residential buildings
155106,on,2020,netzero,ref,high,high,ref,yes,low,502.3970931,residential buildings
155176,on,2020,netzero,low,high,high,ref,yes,low,502.3930567,residential buildings
155246,on,2020,netzero,high,high,high,ref,yes,low,502.3960535,residential buildings
155316,on,2020,netzero,ref,ref,ref,low,no,low,502.3921117,residential buildings
155386,on,2020,netzero,low,ref,ref,low,no,low,502.3881945,residential buildings
155456,on,2020,netzero,high,ref,ref,low,no,low,502.3912777,residential buildings
155526,on,2020,netzero,ref,ref,low,low,no,low,502.3921117,residential buildings
155596,on,2020,netzero,low,ref,low,low,no,low,502.3881945,residential buildings
155666,on,2020,netzero,high,ref,low,low,no,low,502.3912777,residential buildings
155736,on,2020,netzero,ref,ref,high,ref,no,low,502.3921117,residential buildings
155806,on,2020,netzero,ref,ref,high,low,no,low,502.3921117,residential buildings
155876,on,2020,netzero,low,ref,high,low,no,low,502.3881945,residential buildings
155946,on,2020,netzero,high,ref,high,low,no,low,502.3912777,residential buildings
156016,on,2020,netzero,ref,ref,ref,low,yes,low,502.3921117,residential buildings
156086,on,2020,netzero,low,ref,ref,low,yes,low,502.3881945,residential buildings
156156,on,2020,netzero,high,ref,ref,low,yes,low,502.3912777,residential buildings
156226,on,2020,netzero,ref,ref,low,low,yes,low,502.3921117,residential buildings
156296,on,2020,netzero,low,ref,low,low,yes,low,502.3881945,residential buildings
156366,on,2020,netzero,high,ref,low,low,yes,low,502.3912777,residential buildings
156436,on,2020,netzero,ref,ref,high,low,yes,low,502.3921117,residential buildings
156506,on,2020,netzero,low,ref,high,ref,no,low,502.3881945,residential buildings
156576,on,2020,netzero,low,ref,high,low,yes,low,502.3881945,residential buildings
156646,on,2020,netzero,high,ref,high,low,yes,low,502.3912777,residential buildings
156716,on,2020,netzero,ref,low,ref,low,no,low,502.3866723,residential buildings
156786,on,2020,netzero,low,low,ref,low,no,low,502.3823037,residential buildings
156856,on,2020,netzero,high,low,ref,low,no,low,502.3852898,residential buildings
156926,on,2020,netzero,ref,low,low,low,no,low,502.3866723,residential buildings
156996,on,2020,netzero,low,low,low,low,no,low,502.3823037,residential buildings
157066,on,2020,netzero,high,low,low,low,no,low,502.3852898,residential buildings
157136,on,2020,netzero,ref,low,high,low,no,low,502.3866723,residential buildings
157206,on,2020,netzero,low,low,high,low,no,low,502.3823037,residential buildings
157276,on,2020,netzero,high,ref,high,ref,no,low,502.3912777,residential buildings
