id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
1348,on,2050,netzero,low,high,low,ref,yes,high,6.366310972
1349,on,2050,netzero,high,ref,low,ref,no,high,6.81040765
1350,on,2050,netzero,high,high,low,ref,yes,high,5.100745326
1351,on,2050,netzero,ref,high,high,ref,yes,high,5.919802089
1352,on,2050,netzero,low,high,high,ref,yes,high,6.355877071
1353,on,2050,netzero,high,high,high,ref,yes,high,4.962977029
1354,on,2050,netzero,ref,ref,ref,low,no,high,7.05513047
1355,on,2050,netzero,low,ref,ref,low,no,high,7.212929965
1356,on,2050,netzero,high,ref,ref,low,no,high,6.616370683
1357,on,2050,netzero,ref,ref,low,low,no,high,7.009360306
1358,on,2050,netzero,low,ref,low,low,no,high,7.211334736
1359,on,2050,netzero,high,ref,low,low,no,high,6.646026595
1360,on,2050,netzero,ref,ref,high,ref,no,high,7.073790984
1361,on,2050,netzero,ref,ref,high,low,no,high,7.060084077
1362,on,2050,netzero,low,ref,high,low,no,high,7.215848516
1363,on,2050,netzero,high,ref,high,low,no,high,6.589827551
1364,on,2050,netzero,ref,ref,ref,low,yes,high,5.658492792
1365,on,2050,netzero,low,ref,ref,low,yes,high,6.046465607
1366,on,2050,netzero,high,ref,ref,low,yes,high,4.661945729
1367,on,2050,netzero,ref,ref,low,low,yes,high,5.711194063
1368,on,2050,netzero,low,ref,low,low,yes,high,6.056745482
1369,on,2050,netzero,high,ref,low,low,yes,high,4.755375184
1370,on,2050,netzero,ref,ref,high,low,yes,high,5.651719226
1371,on,2050,netzero,low,ref,high,ref,no,high,7.288617242
1372,on,2050,netzero,low,ref,high,low,yes,high,6.044632259
1373,on,2050,netzero,high,ref,high,low,yes,high,4.644035441
1374,on,2050,netzero,ref,low,ref,low,no,high,6.999631717
1375,on,2050,netzero,low,low,ref,low,no,high,7.213937054
1376,on,2050,netzero,high,low,ref,low,no,high,6.554873033
1377,on,2050,netzero,ref,low,low,low,no,high,6.994406339
1378,on,2050,netzero,low,low,low,low,no,high,7.204893973
1379,on,2050,netzero,high,low,low,low,no,high,6.599940396
1380,on,2050,netzero,ref,low,high,low,no,high,7.035574988
1381,on,2050,netzero,low,low,high,low,no,high,7.206880148
1382,on,2050,netzero,high,ref,high,ref,no,high,6.726107829
1383,on,2050,netzero,high,low,high,low,no,high,6.545843839
1384,on,2050,netzero,ref,low,ref,low,yes,high,5.595124692
1385,on,2050,netzero,low,low,ref,low,yes,high,6.024416002
1386,on,2050,netzero,high,low,ref,low,yes,high,4.554021789
1387,on,2050,netzero,ref,low,low,low,yes,high,5.716972725
1388,on,2050,netzero,low,low,low,low,yes,high,6.036708841
1389,on,2050,netzero,high,low,low,low,yes,high,4.657838568
1390,on,2050,netzero,ref,low,high,low,yes,high,5.579604742
1391,on,2050,netzero,low,low,high,low,yes,high,6.020768328
1392,on,2050,netzero,high,low,high,low,yes,high,4.537193569
1393,on,2050,netzero,ref,ref,ref,ref,yes,high,5.947070476
1394,on,2050,netzero,ref,high,ref,low,no,high,7.05384314
1395,on,2050,netzero,low,high,ref,low,no,high,7.214029165
1396,on,2050,netzero,high,high,ref,low,no,high,6.633374853
1397,on,2050,netzero,ref,high,low,low,no,high,7.016202428
1398,on,2050,netzero,low,high,low,low,no,high,7.213863807
1399,on,2050,netzero,high,high,low,low,no,high,6.658849785
1400,on,2050,netzero,ref,high,high,low,no,high,7.05801903
1401,on,2050,netzero,low,high,high,low,no,high,7.213329379
1402,on,2050,netzero,high,high,high,low,no,high,6.616865288
1403,on,2050,netzero,ref,high,ref,low,yes,high,5.648689692
2160,on,2050,netzero,ref,ref,ref,ref,no,low,7.231198421
2161,on,2050,netzero,low,ref,ref,ref,no,low,7.423161896
2162,on,2050,netzero,low,ref,ref,ref,yes,low,6.377483004
2163,on,2050,netzero,low,high,ref,low,yes,low,6.02252004
2164,on,2050,netzero,high,high,ref,low,yes,low,4.639399851
2165,on,2050,netzero,ref,high,low,low,yes,low,5.668331058
2166,on,2050,netzero,low,high,low,low,yes,low,6.029295278
2167,on,2050,netzero,high,high,low,low,yes,low,4.711631139
2168,on,2050,netzero,ref,high,high,low,yes,low,5.628243673
2169,on,2050,netzero,low,high,high,low,yes,low,6.021743614
2170,on,2050,netzero,high,high,high,low,yes,low,4.622768591
2171,on,2050,netzero,high,ref,ref,ref,yes,low,5.00802126
2172,on,2050,netzero,ref,ref,low,ref,yes,low,5.96596907
2173,on,2050,netzero,low,ref,low,ref,yes,low,6.383465073
2174,on,2050,netzero,high,ref,low,ref,yes,low,5.118572239
2175,on,2050,netzero,ref,ref,high,ref,yes,low,5.928161645
2176,on,2050,netzero,low,ref,high,ref,yes,low,6.376299719
