id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_name
33915,on,2020,legislated,high,high,high,low,no,high,516.5500893,electricity
33978,on,2020,legislated,ref,high,ref,low,yes,high,516.6050993,electricity
81669,on,2020,netzero,ref,ref,ref,ref,no,high,516.6082088,electricity
81732,on,2020,netzero,low,ref,ref,ref,no,high,516.6951154,electricity
81795,on,2020,netzero,low,ref,ref,ref,yes,high,516.6951154,electricity
81858,on,2020,netzero,low,high,ref,low,yes,high,516.6922652,electricity
81921,on,2020,netzero,high,high,ref,low,yes,high,516.5500893,electricity
81984,on,2020,netzero,ref,high,low,low,yes,high,516.6050993,electricity
82047,on,2020,netzero,low,high,low,low,yes,high,516.6922652,electricity
82110,on,2020,netzero,high,high,low,low,yes,high,516.5500893,electricity
82173,on,2020,netzero,ref,high,high,low,yes,high,516.6050993,electricity
82236,on,2020,netzero,low,high,high,low,yes,high,516.6922652,electricity
82299,on,2020,netzero,high,high,high,low,yes,high,516.5500893,electricity
82362,on,2020,netzero,high,ref,ref,ref,yes,high,516.5531385,electricity
82425,on,2020,netzero,ref,ref,low,ref,yes,high,516.6085162,electricity
82488,on,2020,netzero,low,ref,low,ref,yes,high,516.6951154,electricity
82551,on,2020,netzero,high,ref,low,ref,yes,high,516.5531385,electricity
82614,on,2020,netzero,ref,ref,high,ref,yes,high,516.6085162,electricity
82677,on,2020,netzero,low,ref,high,ref,yes,high,516.6951154,electricity
82740,on,2020,netzero,high,ref,high,ref,yes,high,516.5531385,electricity
82803,on,2020,netzero,ref,low,ref,ref,no,high,516.6120327,electricity
82866,on,2020,netzero,low,low,ref,ref,no,high,516.6893103,electricity
82929,on,2020,netzero,high,ref,ref,ref,no,high,516.5529268,electricity
82992,on,2020,netzero,high,low,ref,ref,no,high,516.551999,electricity
83055,on,2020,netzero,ref,low,low,ref,no,high,516.6120327,electricity
83118,on,2020,netzero,low,low,low,ref,no,high,516.6893103,electricity
83181,on,2020,netzero,high,low,low,ref,no,high,516.551999,electricity
83244,on,2020,netzero,ref,low,high,ref,no,high,516.6120327,electricity
83307,on,2020,netzero,low,low,high,ref,no,high,516.6893103,electricity
83370,on,2020,netzero,high,low,high,ref,no,high,516.551999,electricity
83433,on,2020,netzero,ref,low,ref,ref,yes,high,516.6120327,electricity
83496,on,2020,netzero,low,low,ref,ref,yes,high,516.6893103,electricity
83559,on,2020,netzero,high,low,ref,ref,yes,high,516.551999,electricity
83622,on,2020,netzero,ref,ref,low,ref,no,high,516.6085162,electricity
83685,on,2020,netzero,ref,low,low,ref,yes,high,516.6120327,electricity
83748,on,2020,netzero,low,low,low,ref,yes,high,516.6893103,electricity
83811,on,2020,netzero,high,low,low,ref,yes,high,516.551999,electricity
83874,on,2020,netzero,ref,low,high,ref,yes,high,516.6120327,electricity
83937,on,2020,netzero,low,low,high,ref,yes,high,516.6893103,electricity
84000,on,2020,netzero,high,low,high,ref,yes,high,516.551999,electricity
84063,on,2020,netzero,ref,high,ref,ref,no,high,516.6050993,electricity
84126,on,2020,netzero,low,high,ref,ref,no,high,516.6922652,electricity
84189,on,2020,netzero,high,high,ref,ref,no,high,516.5500893,electricity
84252,on,2020,netzero,ref,high,low,ref,no,high,516.6050993,electricity
84315,on,2020,netzero,low,ref,low,ref,no,high,516.6951154,electricity
84378,on,2020,netzero,low,high,low,ref,no,high,516.6922652,electricity
84441,on,2020,netzero,high,high,low,ref,no,high,516.5500893,electricity
84504,on,2020,netzero,ref,high,high,ref,no,high,516.6050993,electricity
