id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_type,fuel_phase
15036,on,2020,legislated,low,high,high,low,no,high,0.0,biofuel,gas
15064,on,2020,legislated,high,high,high,low,no,high,0.0,biofuel,gas
15092,on,2020,legislated,ref,high,ref,low,yes,high,0.0,biofuel,gas
36288,on,2020,netzero,ref,ref,ref,ref,no,high,0.0,biofuel,gas
36316,on,2020,netzero,low,ref,ref,ref,no,high,0.0,biofuel,gas
36344,on,2020,netzero,low,ref,ref,ref,yes,high,0.0,biofuel,gas
36372,on,2020,netzero,low,high,ref,low,yes,high,0.0,biofuel,gas
36400,on,2020,netzero,high,high,ref,low,yes,high,0.0,biofuel,gas
36428,on,2020,netzero,ref,high,low,low,yes,high,0.0,biofuel,gas
36456,on,2020,netzero,low,high,low,low,yes,high,0.0,biofuel,gas
36484,on,2020,netzero,high,high,low,low,yes,high,0.0,biofuel,gas
36512,on,2020,netzero,ref,high,high,low,yes,high,0.0,biofuel,gas
36540,on,2020,netzero,low,high,high,low,yes,high,0.0,biofuel,gas
36568,on,2020,netzero,high,high,high,low,yes,high,0.0,biofuel,gas
36596,on,2020,netzero,high,ref,ref,ref,yes,high,0.0,biofuel,gas
36624,on,2020,netzero,ref,ref,low,ref,yes,high,0.0,biofuel,gas
36652,on,2020,netzero,low,ref,low,ref,yes,high,0.0,biofuel,gas
36680,on,2020,netzero,high,ref,low,ref,yes,high,0.0,biofuel,gas
36708,on,2020,netzero,ref,ref,high,ref,yes,high,0.0,biofuel,gas
36736,on,2020,netzero,low,ref,high,ref,yes,high,0.0,biofuel,gas
36764,on,2020,netzero,high,ref,high,ref,yes,high,0.0,biofuel,gas
36792,on,2020,netzero,ref,low,ref,ref,no,high,0.0,biofuel,gas
36820,on,2020,netzero,low,low,ref,ref,no,high,0.0,biofuel,gas
36848,on,2020,netzero,high,ref,ref,ref,no,high,0.0,biofuel,gas
36876,on,2020,netzero,high,low,ref,ref,no,high,0.0,biofuel,gas
36904,on,2020,netzero,ref,low,low,ref,no,high,0.0,biofuel,gas
36932,on,2020,netzero,low,low,low,ref,no,high,0.0,biofuel,gas
36960,on,2020,netzero,high,low,low,ref,no,high,0.0,biofuel,gas
36988,on,2020,netzero,ref,low,high,ref,no,high,0.0,biofuel,gas
37016,on,2020,netzero,low,low,high,ref,no,high,0.0,biofuel,gas
