id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value
9331,on,2020,netzero,high,low,high,ref,yes,high,54.40059557
9338,on,2020,netzero,ref,high,ref,ref,no,high,54.44908654
9345,on,2020,netzero,low,high,ref,ref,no,high,54.48749623
9352,on,2020,netzero,high,high,ref,ref,no,high,54.39779122
9359,on,2020,netzero,ref,high,low,ref,no,high,54.44908654
9366,on,2020,netzero,low,ref,low,ref,no,high,54.48881251
9373,on,2020,netzero,low,high,low,ref,no,high,54.48749623
9380,on,2020,netzero,high,high,low,ref,no,high,54.39779122
9387,on,2020,netzero,ref,high,high,ref,no,high,54.44908654
9394,on,2020,netzero,low,high,high,ref,no,high,54.48749623
9401,on,2020,netzero,high,high,high,ref,no,high,54.39779122
9408,on,2020,netzero,ref,high,ref,ref,yes,high,54.44908654
9415,on,2020,netzero,low,high,ref,ref,yes,high,54.48749623
9422,on,2020,netzero,high,high,ref,ref,yes,high,54.39779122
9429,on,2020,netzero,ref,high,low,ref,yes,high,54.44908654
9436,on,2020,netzero,low,high,low,ref,yes,high,54.48749623
9443,on,2020,netzero,high,ref,low,ref,no,high,54.39902951
9450,on,2020,netzero,high,high,low,ref,yes,high,54.39779122
9457,on,2020,netzero,ref,high,high,ref,yes,high,54.44908654
9464,on,2020,netzero,low,high,high,ref,yes,high,54.48749623
9471,on,2020,netzero,high,high,high,ref,yes,high,54.39779122
9478,on,2020,netzero,ref,ref,ref,low,no,high,54.450238
9485,on,2020,netzero,low,ref,ref,low,no,high,54.48881251
9492,on,2020,netzero,high,ref,ref,low,no,high,54.39902951
9499,on,2020,netzero,ref,ref,low,low,no,high,54.450238
9506,on,2020,netzero,low,ref,low,low,no,high,54.48881251
9513,on,2020,netzero,high,ref,low,low,no,high,54.39902951
9520,on,2020,netzero,ref,ref,high,ref,no,high,54.450238
9527,on,2020,netzero,ref,ref,high,low,no,high,54.450238
9534,on,2020,netzero,low,ref,high,low,no,high,54.48881251
9541,on,2020,netzero,high,ref,high,low,no,high,54.39902951
9548,on,2020,netzero,ref,ref,ref,low,yes,high,54.450238
9555,on,2020,netzero,low,ref,ref,low,yes,high,54.48881251
9562,on,2020,netzero,high,ref,ref,low,yes,high,54.39902951
9569,on,2020,netzero,ref,ref,low,low,yes,high,54.450238
9576,on,2020,netzero,low,ref,low,low,yes,high,54.48881251
9583,on,2020,netzero,high,ref,low,low,yes,high,54.39902951
9590,on,2020,netzero,ref,ref,high,low,yes,high,54.450238
9597,on,2020,netzero,low,ref,high,ref,no,high,54.48881251
9604,on,2020,netzero,low,ref,high,low,yes,high,54.48881251
9611,on,2020,netzero,high,ref,high,low,yes,high,54.39902951
9618,on,2020,netzero,ref,low,ref,low,no,high,54.44323956
9625,on,2020,netzero,low,low,ref,low,no,high,54.49895627
9632,on,2020,netzero,high,low,ref,low,no,high,54.40059557
9639,on,2020,netzero,ref,low,low,low,no,high,54.44323956
9646,on,2020,netzero,low,low,low,low,no,high,54.49895627
9653,on,2020,netzero,high,low,low,low,no,high,54.40059557
9660,on,2020,netzero,ref,low,high,low,no,high,54.44323956
9667,on,2020,netzero,low,low,high,low,no,high,54.49895627
9674,on,2020,netzero,high,ref,high,ref,no,high,54.39902951
9681,on,2020,netzero,high,low,high,low,no,high,54.40059557
9688,on,2020,netzero,ref,low,ref,low,yes,high,54.44323956
9695,on,2020,netzero,low,low,ref,low,yes,high,54.49895627
9702,on,2020,netzero,high,low,ref,low,yes,high,54.40059557
9709,on,2020,netzero,ref,low,low,low,yes,high,54.44323956
9716,on,2020,netzero,low,low,low,low,yes,high,54.49895627
9723,on,2020,netzero,high,low,low,low,yes,high,54.40059557
9730,on,2020,netzero,ref,low,high,low,yes,high,54.44323956
9737,on,2020,netzero,low,low,high,low,yes,high,54.49895627
9744,on,2020,netzero,high,low,high,low,yes,high,54.40059557
9751,on,2020,netzero,ref,ref,ref,ref,yes,high,54.450238
9758,on,2020,netzero,ref,high,ref,low,no,high,54.44908654
9765,on,2020,netzero,low,high,ref,low,no,high,54.48749623
9772,on,2020,netzero,high,high,ref,low,no,high,54.39779122
9779,on,2020,netzero,ref,high,low,low,no,high,54.44908654
9786,on,2020,netzero,low,high,low,low,no,high,54.48749623
9793,on,2020,netzero,high,high,low,low,no,high,54.39779122
9800,on,2020,netzero,ref,high,high,low,no,high,54.44908654
9807,on,2020,netzero,low,high,high,low,no,high,54.48749623
9814,on,2020,netzero,high,high,high,low,no,high,54.39779122
9821,on,2020,netzero,ref,high,ref,low,yes,high,54.44908654
15120,on,2020,netzero,ref,ref,ref,ref,no,low,54.45032788
15127,on,2020,netzero,low,ref,ref,ref,no,low,54.48881251
15134,on,2020,netzero,low,ref,ref,ref,yes,low,54.48881251
15141,on,2020,netzero,low,high,ref,low,yes,low,54.48749623
15148,on,2020,netzero,high,high,ref,low,yes,low,54.39779122
15155,on,2020,netzero,ref,high,low,low,yes,low,54.44908654
15162,on,2020,netzero,low,high,low,low,yes,low,54.48749623
15169,on,2020,netzero,high,high,low,low,yes,low,54.39779122
15176,on,2020,netzero,ref,high,high,low,yes,low,54.44908654
15183,on,2020,netzero,low,high,high,low,yes,low,54.48749623
15190,on,2020,netzero,high,high,high,low,yes,low,54.39779122
