id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,sector
36533,on,2020,netzero,ref,high,high,low,yes,high,275.4075388,transport
36561,on,2020,netzero,low,high,high,low,yes,high,272.7386028,transport
36589,on,2020,netzero,high,high,high,low,yes,high,278.6828858,transport
36617,on,2020,netzero,high,ref,ref,ref,yes,high,278.6242049,transport
36645,on,2020,netzero,ref,ref,low,ref,yes,high,275.3694965,transport
36673,on,2020,netzero,low,ref,low,ref,yes,high,272.679399,transport
36701,on,2020,netzero,high,ref,low,ref,yes,high,278.6242049,transport
36729,on,2020,netzero,ref,ref,high,ref,yes,high,275.3694965,transport
36757,on,2020,netzero,low,ref,high,ref,yes,high,272.679399,transport
36785,on,2020,netzero,high,ref,high,ref,yes,high,278.6242049,transport
36813,on,2020,netzero,ref,low,ref,ref,no,high,275.3278313,transport
36841,on,2020,netzero,low,low,ref,ref,no,high,272.6058291,transport
36869,on,2020,netzero,high,ref,ref,ref,no,high,278.6210394,transport
36897,on,2020,netzero,high,low,ref,ref,no,high,278.5587926,transport
36925,on,2020,netzero,ref,low,low,ref,no,high,275.3278313,transport
36953,on,2020,netzero,low,low,low,ref,no,high,272.6058291,transport
36981,on,2020,netzero,high,low,low,ref,no,high,278.5587926,transport
37009,on,2020,netzero,ref,low,high,ref,no,high,275.3278313,transport
37037,on,2020,netzero,low,low,high,ref,no,high,272.6058291,transport
37065,on,2020,netzero,high,low,high,ref,no,high,278.5587926,transport
37093,on,2020,netzero,ref,low,ref,ref,yes,high,275.3278313,transport
37121,on,2020,netzero,low,low,ref,ref,yes,high,272.6058291,transport
37149,on,2020,netzero,high,low,ref,ref,yes,high,278.5587926,transport
37177,on,2020,netzero,ref,ref,low,ref,no,high,275.3694965,transport
37205,on,2020,netzero,ref,low,low,ref,yes,high,275.3278313,transport
37233,on,2020,netzero,low,low,low,ref,yes,high,272.6058291,transport
37261,on,2020,netzero,high,low,low,ref,yes,high,278.5587926,transport
37289,on,2020,netzero,ref,low,high,ref,yes,high,275.3278313,transport
37317,on,2020,netzero,low,low,high,ref,yes,high,272.6058291,transport
37345,on,2020,netzero,high,low,high,ref,yes,high,278.5587926,transport
37373,on,2020,netzero,ref,high,ref,ref,no,high,275.4075388,transport
37401,on,2020,netzero,low,high,ref,ref,no,high,272.7386028,transport
37429,on,2020,netzero,high,high,ref,ref,no,high,278.6828858,transport
37457,on,2020,netzero,ref,high,low,ref,no,high,275.4075388,transport
37485,on,2020,netzero,low,ref,low,ref,no,high,272.679399,transport
37513,on,2020,netzero,low,high,low,ref,no,high,272.7386028,transport
37541,on,2020,netzero,high,high,low,ref,no,high,278.6828858,transport
37569,on,2020,netzero,ref,high,high,ref,no,high,275.4075388,transport
37597,on,2020,netzero,low,high,high,ref,no,high,272.7386028,transport
37625,on,2020,netzero,high,high,high,ref,no,high,278.6828858,transport
37653,on,2020,netzero,ref,high,ref,ref,yes,high,275.4075388,transport
37681,on,2020,netzero,low,high,ref,ref,yes,high,272.7386028,transport
37709,on,2020,netzero,high,high,ref,ref,yes,high,278.6828858,transport
37737,on,2020,netzero,ref,high,low,ref,yes,high,275.4075388,transport
37765,on,2020,netzero,low,high,low,ref,yes,high,272.7386028,transport
37793,on,2020,netzero,high,ref,low,ref,no,high,278.6242049,transport
37821,on,2020,netzero,high,high,low,ref,yes,high,278.6828858,transport
37849,on,2020,netzero,ref,high,high,ref,yes,high,275.4075388,transport
37877,on,2020,netzero,low,high,high,ref,yes,high,272.7386028,transport
37905,on,2020,netzero,high,high,high,ref,yes,high,278.6828858,transport
37933,on,2020,netzero,ref,ref,ref,low,no,high,275.3694965,transport
37961,on,2020,netzero,low,ref,ref,low,no,high,272.679399,transport
37989,on,2020,netzero,high,ref,ref,low,no,high,278.6242049,transport
38017,on,2020,netzero,ref,ref,low,low,no,high,275.3694965,transport
38045,on,2020,netzero,low,ref,low,low,no,high,272.679399,transport
38073,on,2020,netzero,high,ref,low,low,no,high,278.6242049,transport
38101,on,2020,netzero,ref,ref,high,ref,no,high,275.3694965,transport
38129,on,2020,netzero,ref,ref,high,low,no,high,275.3694965,transport
38157,on,2020,netzero,low,ref,high,low,no,high,272.679399,transport
38185,on,2020,netzero,high,ref,high,low,no,high,278.6242049,transport
38213,on,2020,netzero,ref,ref,ref,low,yes,high,275.3694965,transport
38241,on,2020,netzero,low,ref,ref,low,yes,high,272.679399,transport
38269,on,2020,netzero,high,ref,ref,low,yes,high,278.6242049,transport
38297,on,2020,netzero,ref,ref,low,low,yes,high,275.3694965,transport
38325,on,2020,netzero,low,ref,low,low,yes,high,272.679399,transport
38353,on,2020,netzero,high,ref,low,low,yes,high,278.6242049,transport
38381,on,2020,netzero,ref,ref,high,low,yes,high,275.3694965,transport
38409,on,2020,netzero,low,ref,high,ref,no,high,272.679399,transport
38437,on,2020,netzero,low,ref,high,low,yes,high,272.679399,transport
38465,on,2020,netzero,high,ref,high,low,yes,high,278.6242049,transport
38493,on,2020,netzero,ref,low,ref,low,no,high,275.3278313,transport
38521,on,2020,netzero,low,low,ref,low,no,high,272.6058291,transport
38549,on,2020,netzero,high,low,ref,low,no,high,278.5587926,transport
38577,on,2020,netzero,ref,low,low,low,no,high,275.3278313,transport
38605,on,2020,netzero,low,low,low,low,no,high,272.6058291,transport
38633,on,2020,netzero,high,low,low,low,no,high,278.5587926,transport
38661,on,2020,netzero,ref,low,high,low,no,high,275.3278313,transport
38689,on,2020,netzero,low,low,high,low,no,high,272.6058291,transport
38717,on,2020,netzero,high,ref,high,ref,no,high,278.6242049,transport
38745,on,2020,netzero,high,low,high,low,no,high,278.5587926,transport
38773,on,2020,netzero,ref,low,ref,low,yes,high,275.3278313,transport
38801,on,2020,netzero,low,low,ref,low,yes,high,272.6058291,transport
38829,on,2020,netzero,high,low,ref,low,yes,high,278.5587926,transport
38857,on,2020,netzero,ref,low,low,low,yes,high,275.3278313,transport
38885,on,2020,netzero,low,low,low,low,yes,high,272.6058291,transport
38913,on,2020,netzero,high,low,low,low,yes,high,278.5587926,transport
38941,on,2020,netzero,ref,low,high,low,yes,high,275.3278313,transport
38969,on,2020,netzero,low,low,high,low,yes,high,272.6058291,transport
38997,on,2020,netzero,high,low,high,low,yes,high,278.5587926,transport
39025,on,2020,netzero,ref,ref,ref,ref,yes,high,275.3694965,transport
39053,on,2020,netzero,ref,high,ref,low,no,high,275.4075388,transport
39081,on,2020,netzero,low,high,ref,low,no,high,272.7386028,transport
39109,on,2020,netzero,high,high,ref,low,no,high,278.6828858,transport
39137,on,2020,netzero,ref,high,low,low,no,high,275.4075388,transport
39165,on,2020,netzero,low,high,low,low,no,high,272.7386028,transport
39193,on,2020,netzero,high,high,low,low,no,high,278.6828858,transport
39221,on,2020,netzero,ref,high,high,low,no,high,275.4075388,transport
39249,on,2020,netzero,low,high,high,low,no,high,272.7386028,transport
39277,on,2020,netzero,high,high,high,low,no,high,278.6828858,transport
39305,on,2020,netzero,ref,high,ref,low,yes,high,275.4075388,transport
60501,on,2020,netzero,ref,ref,ref,ref,no,low,275.3614225,transport
60529,on,2020,netzero,low,ref,ref,ref,no,low,272.679399,transport
60557,on,2020,netzero,low,ref,ref,ref,yes,low,272.679399,transport
60585,on,2020,netzero,low,high,ref,low,yes,low,272.7386028,transport
60613,on,2020,netzero,high,high,ref,low,yes,low,278.6828858,transport
60641,on,2020,netzero,ref,high,low,low,yes,low,275.4075388,transport
60669,on,2020,netzero,low,high,low,low,yes,low,272.7386028,transport
60697,on,2020,netzero,high,high,low,low,yes,low,278.6828858,transport
60725,on,2020,netzero,ref,high,high,low,yes,low,275.4075388,transport
60753,on,2020,netzero,low,high,high,low,yes,low,272.7386028,transport
60781,on,2020,netzero,high,high,high,low,yes,low,278.6828858,transport
60809,on,2020,netzero,high,ref,ref,ref,yes,low,278.6242049,transport
60837,on,2020,netzero,ref,ref,low,ref,yes,low,275.3694965,transport
60865,on,2020,netzero,low,ref,low,ref,yes,low,272.679399,transport
60893,on,2020,netzero,high,ref,low,ref,yes,low,278.6242049,transport
60921,on,2020,netzero,ref,ref,high,ref,yes,low,275.3694965,transport
60949,on,2020,netzero,low,ref,high,ref,yes,low,272.679399,transport
60977,on,2020,netzero,high,ref,high,ref,yes,low,278.6242049,transport
61005,on,2020,netzero,ref,low,ref,ref,no,low,275.3278313,transport
61033,on,2020,netzero,low,low,ref,ref,no,low,272.6058291,transport
61061,on,2020,netzero,high,ref,ref,ref,no,low,278.6242049,transport
61089,on,2020,netzero,high,low,ref,ref,no,low,278.5587926,transport
61117,on,2020,netzero,ref,low,low,ref,no,low,275.3278313,transport
61145,on,2020,netzero,low,low,low,ref,no,low,272.6058291,transport
61173,on,2020,netzero,high,low,low,ref,no,low,278.5587926,transport
61201,on,2020,netzero,ref,low,high,ref,no,low,275.3278313,transport
61229,on,2020,netzero,low,low,high,ref,no,low,272.6058291,transport
61257,on,2020,netzero,high,low,high,ref,no,low,278.5587926,transport
61285,on,2020,netzero,ref,low,ref,ref,yes,low,275.3278313,transport
61313,on,2020,netzero,low,low,ref,ref,yes,low,272.6058291,transport
61341,on,2020,netzero,high,low,ref,ref,yes,low,278.5587926,transport
