source_id,source_class,age,source_measure,survival_probability,source_unit,transformation,nrcan_ceud_class
nlr_atb_source_anchor,Midsize,19,survival_probability,0.2169192043447746,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,20,survival_probability,0.1850150085708845,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,21,survival_probability,0.1592435732305992,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,22,survival_probability,0.1385571540553264,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,23,survival_probability,0.1219577714523364,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,24,survival_probability,0.1086744236843994,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,25,survival_probability,0.0979554957833666,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,26,survival_probability,0.0892881878099131,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,27,survival_probability,0.0822980834508385,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,28,survival_probability,0.0765917483193743,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,29,survival_probability,0.0719510542887034,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,30,survival_probability,0.059065440266241,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,31,survival_probability,0.0484874928982468,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,32,survival_probability,0.0398039353801495,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,33,survival_probability,0.0326755040742559,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,34,survival_probability,0.0268236935948594,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,35,survival_probability,0.0220198756975806,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,36,survival_probability,0.0180763668516487,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,37,survival_probability,0.0148390955082134,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,38,survival_probability,0.0121815825773526,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Midsize,39,survival_probability,0.0099999999330638,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Car
nlr_atb_source_anchor,Small SUV,0,survival_probability,1.0,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,1,survival_probability,0.993343348797829,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,2,survival_probability,0.985184361232498,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,3,survival_probability,0.974815424638012,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,4,survival_probability,0.9617782001075188,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,5,survival_probability,0.9455522224915976,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,6,survival_probability,0.9252176915079052,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,7,survival_probability,0.9001577414143725,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,8,survival_probability,0.8697797812926183,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,9,survival_probability,0.8333261760585442,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,10,survival_probability,0.7904997078676597,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,11,survival_probability,0.7407196928587644,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,12,survival_probability,0.6848137651238166,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,13,survival_probability,0.6242805550722447,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,14,survival_probability,0.560346621521593,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,15,survival_probability,0.4958117968644341,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,16,survival_probability,0.4336310290495546,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,17,survival_probability,0.3758727737559403,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,18,survival_probability,0.3237983661794721,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,19,survival_probability,0.2782382668947893,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,20,survival_probability,0.23943215594301,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,21,survival_probability,0.2068211032411854,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,22,survival_probability,0.1797808270090977,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,23,survival_probability,0.1574325240967546,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,24,survival_probability,0.1390529223818073,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,25,survival_probability,0.1239375081813067,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,26,survival_probability,0.1114939344848871,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,27,survival_probability,0.1012822050254163,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,28,survival_probability,0.092825120649353,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,29,survival_probability,0.0858613800982386,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,30,survival_probability,0.0758948125706248,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,31,survival_probability,0.0670851384934638,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,32,survival_probability,0.0592980686591631,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,33,survival_probability,0.0524149018049565,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,34,survival_probability,0.0463307152044775,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,35,survival_probability,0.040952765290794,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,36,survival_probability,0.0361990739309974,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,37,survival_probability,0.0319971788023891,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,38,survival_probability,0.0282830288217777,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Small SUV,39,survival_probability,0.0250000077904925,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,0,survival_probability,1.0,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,1,survival_probability,0.993343348797829,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,2,survival_probability,0.985184361232498,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,3,survival_probability,0.974815424638012,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,4,survival_probability,0.9617782001075188,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,5,survival_probability,0.9455522224915976,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,6,survival_probability,0.9252176915079052,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,7,survival_probability,0.9001577414143725,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,8,survival_probability,0.8697797812926183,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,9,survival_probability,0.8333261760585442,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,10,survival_probability,0.7904997078676597,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,11,survival_probability,0.7407196928587644,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,12,survival_probability,0.6848137651238166,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,13,survival_probability,0.6242805550722447,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,14,survival_probability,0.560346621521593,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,15,survival_probability,0.4958117968644341,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,16,survival_probability,0.4336310290495546,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,17,survival_probability,0.3758727737559403,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,18,survival_probability,0.3237983661794721,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,19,survival_probability,0.2782382668947893,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,20,survival_probability,0.23943215594301,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,21,survival_probability,0.2068211032411854,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,22,survival_probability,0.1797808270090977,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,23,survival_probability,0.1574325240967546,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,24,survival_probability,0.1390529223818073,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,25,survival_probability,0.1239375081813067,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,26,survival_probability,0.1114939344848871,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,27,survival_probability,0.1012822050254163,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,28,survival_probability,0.092825120649353,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
nlr_atb_source_anchor,Midsize SUV,29,survival_probability,0.0858613800982386,dimensionless,NHTSA source class retained at NLR ATB LDV class grain for MTO calibration,Light Truck
