source_id,source_class,age,source_measure,source_value,source_unit
eia_nems_hd_truck_scrappage,Cls 7-8,16,annual_scrappage_rate,0.039150900798139,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,17,annual_scrappage_rate,0.0391606079232448,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,18,annual_scrappage_rate,0.0391649405934586,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,19,annual_scrappage_rate,0.0391668742419489,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,20,annual_scrappage_rate,0.039167737181122,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,21,annual_scrappage_rate,0.0391681222817743,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,22,annual_scrappage_rate,0.0391682941376926,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,23,annual_scrappage_rate,0.039168370830215,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,24,annual_scrappage_rate,0.0391684050550047,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,25,annual_scrappage_rate,0.0391684203281405,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,26,annual_scrappage_rate,0.0391684271439192,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,27,annual_scrappage_rate,0.0391684301855234,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,28,annual_scrappage_rate,0.0391684315428672,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,29,annual_scrappage_rate,0.0391684321485943,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,30,annual_scrappage_rate,0.0391684324189056,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,31,annual_scrappage_rate,0.0391684325395345,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,32,annual_scrappage_rate,0.0391684325933663,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,33,annual_scrappage_rate,0.0391684326173892,annual scrappage-rate fraction
eia_nems_hd_truck_scrappage,Cls 7-8,34,annual_scrappage_rate,0.0391684326281096,annual scrappage-rate fraction
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,0,survival_probability,1.0,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,1,survival_probability,0.992933663,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,2,survival_probability,0.986632767,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,3,survival_probability,0.980631007,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,4,survival_probability,0.973514523,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,5,survival_probability,0.965333294,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,6,survival_probability,0.953145802,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,7,survival_probability,0.938476818,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,8,survival_probability,0.917968036,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,9,survival_probability,0.893661691,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,10,survival_probability,0.859918934,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,11,survival_probability,0.825199748,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,12,survival_probability,0.785191272,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,13,survival_probability,0.742210777,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,14,survival_probability,0.694945584,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,15,survival_probability,0.658681192,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,16,survival_probability,0.606091059,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,17,survival_probability,0.552285652,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,18,survival_probability,0.494962916,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,19,survival_probability,0.442117238,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,20,survival_probability,0.394716566,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,21,survival_probability,0.346365934,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,22,survival_probability,0.302950731,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,23,survival_probability,0.264859431,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,24,survival_probability,0.231752514,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,25,survival_probability,0.201172614,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,26,survival_probability,0.174134416,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,27,survival_probability,0.152922345,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,28,survival_probability,0.1351206,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,29,survival_probability,0.119513433,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,30,survival_probability,0.105697656,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,31,survival_probability,0.093723597,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,32,survival_probability,0.083558148,dimensionless
nhtsa_cafe_2024_ldv_survival,2b/3 Trucks,33,survival_probability,0.075147123,dimensionless
