region,period,commodity,demand,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
PEI,2030,T_D_pkm_ldv_c,1.4897221181034432,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
PEI,2035,T_D_pkm_ldv_c,1.6129262850964743,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
PEI,2040,T_D_pkm_ldv_c,1.7251992325927343,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
PEI,2045,T_D_pkm_ldv_c,1.8598213181283256,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
QC,2025,T_D_pkm_ldv_c,61.12561065898793,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
QC,2030,T_D_pkm_ldv_c,66.86481965965551,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
QC,2035,T_D_pkm_ldv_c,72.39472641689349,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
QC,2040,T_D_pkm_ldv_c,77.43399534884213,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
QC,2045,T_D_pkm_ldv_c,83.47638497450181,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
SK,2025,T_D_pkm_ldv_c,5.978662127327295,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
SK,2030,T_D_pkm_ldv_c,6.540010981321308,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
SK,2035,T_D_pkm_ldv_c,7.080888098796595,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
SK,2040,T_D_pkm_ldv_c,7.573776202294475,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
SK,2045,T_D_pkm_ldv_c,8.164778985318206,bn passenger-km,CEUD 2023 cars; CER 2026 Current Measures GDP 2050,T01,5,5,5,5,5,demand-road-cars:composite:1:36b1ea96fdd72051
ON,2025,T_D_pkm_ldv_t,135.5185829981731,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2030,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
ON,2030,T_D_pkm_ldv_t,148.24270080928025,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2035,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
ON,2035,T_D_pkm_ldv_t,160.50278491762154,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2040,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
ON,2040,T_D_pkm_ldv_t,171.67510005103247,bn passenger-km,CEUD 2023 passenger_light_trucks; CER 2026 Current Measures GDP 2045,T01,5,5,5,5,5,demand-road-passenger-light-trucks:composite:1:286b02421ac0331d
