tech,vintage,fixed,invest,var,var_upstream,var_total,lifetime,emission_per_activity,upstream_emission_per_activity,cost_per_emission,emission_activity_cost,emission_upstream_cost,emission,capfac,lcoe
E_NG_CCS-NEW,2040.0,51.63117107027065,1966.2203173656283,1.1766166899991857,10.232586678028257,11.409203368027443,45.0,-95.19806664629596,138.02812261124438,0.44738999999999995,-32.44883220478985,37.69899333899847,5.250161134208612,1.0,10.606883489629915
E_NG_CCS-NEW,2045.0,48.54016969799281,1839.145816505317,1.1320960584857032,9.950384786419505,11.08248084490521,45.0,-95.19806664629596,138.02812261124438,0.481404,-34.83601892401237,40.4807854651732,5.6447665411608305,1.0,10.69460914462213
E_NG_CT-NEW,2025.0,28.620383076646696,1190.7224175208094,2.2069513050254996,11.039586974361953,13.246538279387453,45.0,0.0,198.99395658953435,0.35476500000000005,0.0,43.50161397808298,43.50161397808298,1.0,48.156060404148874
E_NG_CT-NEW,2030.0,27.70453081819401,1140.3505433059113,2.2069513050254996,14.537931277554835,16.744882582580335,45.0,0.0,198.99395658953435,0.38406900000000005,0.0,46.92069879984703,46.92069879984703,1.0,51.48095832837221
E_NG_CT-NEW,2035.0,26.903160092047898,1090.0931506233196,2.2069513050254996,13.864466614205135,16.071417919230633,45.0,0.0,198.99395658953435,0.41430199999999995,0.0,50.48623154437367,50.48623154437367,1.0,54.95608241869024
E_NG_CT-NEW,2040.0,26.10178936590179,1039.835757940728,2.2069513050254996,14.75223215881314,16.959183463838638,45.0,0.0,198.99395658953435,0.44738999999999995,0.0,54.35031428413175,54.35031428413175,1.0,58.72975650423969
E_NG_CT-NEW,2045.0,25.185937107449096,989.4638837258298,2.2069513050254996,14.345384120124379,16.552335425149877,45.0,0.0,198.99395658953435,0.481404,0.0,58.36080005416735,58.36080005416735,1.0,62.64605537673457
E_NUC_PWR-NEW,2025.0,200.3426815365269,6582.688107628741,0.890412630269654,3.717966346729602,4.608378976999256,60.0,0.0,0.0,0.35476500000000005,0.0,0.0,0.0,1.0,14.785474759737198
E_NUC_PWR-NEW,2030.0,200.3426815365269,6296.484276862274,0.8904126302696539,3.717966346729602,4.608378976999256,60.0,0.0,0.0,0.38406900000000005,0.0,0.0,0.0,1.0,14.457551395716559
E_NUC_PWR-NEW,2035.0,200.3426815365269,5437.872784562873,0.8904126302696539,3.717966346729602,4.608378976999256,60.0,0.0,0.0,0.41430199999999995,0.0,0.0,0.0,1.0,13.473781303654643
