HOUSEID,PERSONID,TRIPID,SEQ_TRIPID,VEHCASEID,FRSTHM,PARK,HHMEMDRV,TDWKND,TRAVDAY,LOOP_TRIP,DWELTIME,PUBTRANS,TRIPPURP,WHYFROM,WHYTRP1S,TRVLCMIN,STRTTIME,ENDTIME,TRPHHVEH,VEHID,TRPTRANS,NUMONTRP,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,NONHHCNT,HHACCCNT,WHODROVE,DRVR_FLG,PSGR_FLG,WHODROVE_IMP,PARK2_PAMOUNT,PARK2_PAYTYPE,PARK2,WHYTO,WALK,TRPMILES,WTTRDFIN,WTTRDFIN5D,WTTRDFIN2D,TDCASEID,VMT_MILE,GASPRICE,WHYTRP90,NUMADLT,HOMEOWN,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CDIVMSAR,HHFAMINC,HH_RACE,HHSIZE,HHVEHCNT,LIF_CYC,MSACAT,MSASIZE,URBAN,URBANSIZE,URBRUR,TDAYDATE,WRKCOUNT,STRATUMID,R_AGE,R_SEX,WORKER,DRIVER,R_RACE,R_HISP,PROXY,EDUC,PRMACT,R_SEX_IMP,VEHTYPE
9000013044,1,2,2,-1,1,2,-1,2,6,2,-9,2,4,14,1,15,1215,1230,2,-1,20,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,1,-9,0.389683033,2263200.143,2015913.198,0,9.00001E+13,-1,350.2,4,2,3,1,1,1,2,2,11,7,1,2,2,2,1,5,1,4,1,202202,2,1021,29,2,1,1,1,2,1,6,-1,2,-1
9000013044,2,1,1,-1,1,-1,-1,2,6,2,5,2,4,1,40,10,1200,1210,2,-1,20,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,14,-1,0.389683033,2258119.298,1949775.406,0,9.00001E+13,-1,350.2,4,2,3,1,1,1,2,2,11,7,1,2,2,2,1,5,1,4,1,202202,2,1021,30,1,1,1,1,2,2,6,-1,1,-1
9000013044,2,2,2,-1,1,-1,-1,2,6,2,-9,2,4,14,1,15,1215,1230,2,-1,20,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,1,-9,0.389683033,2258119.298,1949775.406,0,9.00001E+13,-1,350.2,4,2,3,1,1,1,2,2,11,7,1,2,2,2,1,5,1,4,1,202202,2,1021,30,1,1,1,1,2,2,6,-1,1,-1
9000013045,1,1,1,9.00001E+11,1,2,1,2,2,2,0,2,4,1,70,20,1330,1350,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,1,2,1,-1,-1,-1,10,8,6.073958981,1661018.532,1319412.89,0,9.00001E+13,6.073958981,355.1,4,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,35,1,1,1,1,2,1,8,-1,1,1
9000013045,1,2,2,9.00001E+11,1,2,1,2,2,2,110,2,4,10,1,20,1350,1410,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,2,1,4.322560597,1661018.532,1319412.89,0,9.00001E+13,4.322560597,355.1,4,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,35,1,1,1,1,2,1,8,-1,1,1
9000013045,1,3,3,9.00001E+11,1,2,1,2,2,2,0,2,4,2,70,20,1600,1620,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,1,-1,-1,-1,10,8,6.073958981,1661018.532,1319412.89,0,9.00001E+13,6.073958981,355.1,4,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,35,1,1,1,1,2,1,8,-1,1,1
9000013045,1,4,4,9.00001E+11,1,2,1,2,2,2,30,2,5,10,40,15,1620,1635,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,1,2,1,-1,-1,-1,13,6,2.137973897,1661018.532,1319412.89,0,9.00001E+13,2.137973897,355.1,3,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,35,1,1,1,1,2,1,8,-1,1,1
9000013045,1,5,5,9.00001E+11,1,2,1,2,2,2,-9,2,2,13,1,15,1705,1720,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,1,2,1,-1,-1,-1,1,1,3.706028589,1661018.532,1319412.89,0,9.00001E+13,3.706028589,355.1,3,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,35,1,1,1,1,2,1,8,-1,1,1
9000013045,2,1,1,9.00001E+11,1,-1,1,2,2,2,150,2,4,1,20,20,1330,1350,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,1,1,-1,-1,-1,6,8,6.073958981,1953518.686,1665765.806,0,9.00001E+13,-1,355.1,5,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,34,2,1,2,1,2,2,8,-1,2,1
9000013045,2,2,2,9.00001E+11,1,-1,1,2,2,2,30,2,5,6,40,15,1620,1635,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,1,1,-1,-1,-1,13,6,2.137973897,1953518.686,1665765.806,0,9.00001E+13,-1,355.1,3,2,3,1,1,1,2,1,11,6,1,2,1,2,1,5,1,4,1,202202,2,1021,34,2,1,2,1,2,2,8,-1,2,1
