region,road_class,tech,vintage,capacity,units
MB,freight_light_trucks,T_LDV_LTF_GSL_EX,2015,32.704974351146575,k vehicles
MB,freight_light_trucks,T_LDV_LTF_GSL_EX,2020,36.223683958416466,k vehicles
MB,freight_light_trucks,T_LDV_LTF_GSL_EX,2023,22.922403494528492,k vehicles
MB,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2015,0.038068533557420514,k vehicles
MB,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2020,0.2657675239336007,k vehicles
MB,freight_light_trucks,T_LDV_LTF_GSL_HEV_EX,2023,1.4240716655431573,k vehicles
MB,freight_light_trucks,T_LDV_LTF_GSL_PHEV35_EX,2020,0.03436436432231824,k vehicles
MB,freight_light_trucks,T_LDV_LTF_GSL_PHEV35_EX,2023,0.2636081363361015,k vehicles
MB,heavy_trucks,T_HDV_T_DSL_EX,2000,0.29806086087441624,k vehicles
MB,heavy_trucks,T_HDV_T_DSL_EX,2005,3.1360664179348356,k vehicles
MB,heavy_trucks,T_HDV_T_DSL_EX,2010,5.565427238644773,k vehicles
MB,heavy_trucks,T_HDV_T_DSL_EX,2015,9.302865581486042,k vehicles
MB,heavy_trucks,T_HDV_T_DSL_EX,2020,13.116985142642314,k vehicles
MB,heavy_trucks,T_HDV_T_DSL_EX,2023,8.909594758417619,k vehicles
MB,medium_trucks,T_MDV_T_BEV_EX,2023,0.16012483029336433,k vehicles
MB,medium_trucks,T_MDV_T_DSL_EX,2000,0.33801818828797725,k vehicles
MB,medium_trucks,T_MDV_T_DSL_EX,2005,3.5564799948280887,k vehicles
MB,medium_trucks,T_MDV_T_DSL_EX,2010,6.311515127267548,k vehicles
MB,medium_trucks,T_MDV_T_DSL_EX,2015,10.549985531530082,k vehicles
MB,medium_trucks,T_MDV_T_DSL_EX,2020,14.763565438757835,k vehicles
MB,medium_trucks,T_MDV_T_DSL_EX,2023,9.691250288518004,k vehicles
MB,medium_trucks,T_MDV_T_GSL_EX,2000,0.1083820695119866,k vehicles
MB,medium_trucks,T_MDV_T_GSL_EX,2005,1.140348878768184,k vehicles
MB,medium_trucks,T_MDV_T_GSL_EX,2010,2.023722672185558,k vehicles
MB,medium_trucks,T_MDV_T_GSL_EX,2015,3.3827447896223646,k vehicles
MB,medium_trucks,T_MDV_T_GSL_EX,2020,4.881501451460016,k vehicles
MB,medium_trucks,T_MDV_T_GSL_EX,2023,3.4923607389689924,k vehicles
MB,motorcycles,T_LDV_M_GSL_EX,2010,3.375232234753934,k vehicles
MB,motorcycles,T_LDV_M_GSL_EX,2015,9.794864711411051,k vehicles
MB,motorcycles,T_LDV_M_GSL_EX,2020,9.540159178453672,k vehicles
MB,motorcycles,T_LDV_M_GSL_EX,2023,5.766743875381342,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_BEV300_EX,2020,0.07037073902172418,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_BEV300_EX,2023,1.2350661716191165,k vehicles
MB,passenger_light_trucks,T_LDV_LTP_DSL_EX,2000,0.056193828009195514,k vehicles
