region,tech,vintage,capacity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
ON,T_LDV_C_GSL_EX,2010,604.9561138934238,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
PEI,T_LDV_C_DSL_EX,2010,0.15993296474766763,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
PEI,T_LDV_C_GSL_EX,2010,9.874930730350176,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
QC,T_LDV_C_DSL_EX,2010,9.446458578747992,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
QC,T_LDV_C_GSL_EX,2010,456.21332409090525,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
SK,T_LDV_C_DSL_EX,2010,1.655428596699108,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
SK,T_LDV_C_GSL_EX,2010,39.87604732929298,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2010:composite:1:31035457137e5edd
AB,T_LDV_C_BEV150_EX,2015,0.7758501557140153,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
AB,T_LDV_C_DSL_EX,2015,7.155125307849332,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
AB,T_LDV_C_GSL_EX,2015,272.707784104577,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
AB,T_LDV_C_GSL_HEV_EX,2015,6.42739457737504,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
AB,T_LDV_C_GSL_PHEV35_EX,2015,0.6956226969815802,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
BCT,T_LDV_C_DSL_EX,2015,1.6480822654291563,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
BCT,T_LDV_C_GSL_EX,2015,412.0144848729148,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
MB,T_LDV_C_BEV150_EX,2015,0.055022900838558236,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
MB,T_LDV_C_DSL_EX,2015,1.5487999487733137,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
MB,T_LDV_C_GSL_EX,2015,73.32506136858069,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
MB,T_LDV_C_GSL_HEV_EX,2015,1.3716554251817887,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
MB,T_LDV_C_GSL_PHEV35_EX,2015,0.05008343432130848,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NB,T_LDV_C_BEV150_EX,2015,0.010532199472713076,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
NB,T_LDV_C_DSL_EX,2015,1.1624214250186407,k vehicles,CEUD 2023 stock; MTO 2025 age; cars,T01,5,5,5,5,5,existing-capacity-road-cars-2015:composite:1:a747480d384d8d01
