VEHICLE_CLASS	DESCRIPTOR	VALUE	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	YEAR	1910	4	16	13	1	1	1	0	0	36
PASSENGER	YEAR	1909	5	8	10	1	3	0	0	0	27
PASSENGER	YEAR	1908	0	15	2	5	2	1	0	0	25
PASSENGER	YEAR	1907	1	6	8	0	2	0	0	0	17
PASSENGER	YEAR	1906	2	6	6	2	2	2	0	0	20
PASSENGER	YEAR	1905	1	5	3	0	0	0	0	0	9
PASSENGER	YEAR	1904	3	3	2	1	0	0	0	0	9
PASSENGER	YEAR	1903	1	10	4	0	0	0	0	0	15
PASSENGER	YEAR	1902	1	4	2	0	0	1	0	0	8
PASSENGER	YEAR	1901	0	5	4	0	0	0	0	0	9
PASSENGER	YEAR	1900	1	19	0	0	2	0	0	0	22
MOTORCYCLE	MOTIVE POWER	G	213924	378063	105307	3059	43037	9038	34	5939	758401
MOTORCYCLE	MOTIVE POWER	OTHER	17	56	23	1	7	4	0	1	109
MOTORCYCLE	BODY TYPE	MB	8	302	126	2	7	8	0	1	454
MOTORCYCLE	BODY TYPE	MD	12114	12884	3755	24	1330	244	0	257	30608
MOTORCYCLE	BODY TYPE	MS	197064	355267	98853	2991	40490	8598	31	5507	708801
MOTORCYCLE	BODY TYPE	MT	2747	8828	2358	42	991	181	3	162	15312
MOTORCYCLE	BODY TYPE	MW	2008	737	181	1	226	11	0	13	3177
MOTORCYCLE	BODY TYPE	OTHER	0	101	57	0	0	0	0	0	158
MOTORCYCLE	YEAR	2022	607	104	5	0	1	0	0	1	718
MOTORCYCLE	YEAR	2021	6758	477	85	0	23	1	0	6	7350
MOTORCYCLE	YEAR	2020	6964	1249	151	0	104	5	0	21	8494
MOTORCYCLE	YEAR	2019	8442	2070	288	1	233	16	0	53	11103
MOTORCYCLE	YEAR	2018	8807	2499	455	1	318	25	0	66	12171
MOTORCYCLE	YEAR	2017	8278	2781	526	2	420	23	0	86	12116
MOTORCYCLE	YEAR	2016	8041	2713	603	7	493	25	0	91	11973
MOTORCYCLE	YEAR	2015	8226	3330	862	6	553	42	0	99	13118
MOTORCYCLE	YEAR	2014	8307	3474	771	17	668	42	0	106	13385
MOTORCYCLE	YEAR	2013	8190	3910	947	9	742	44	0	132	13974
MOTORCYCLE	YEAR	2012	7536	3743	962	6	733	42	1	110	13133
MOTORCYCLE	YEAR	2011	6679	3766	1053	9	708	48	2	116	12381
MOTORCYCLE	YEAR	2010	6270	4000	878	4	706	50	0	129	12037
MOTORCYCLE	YEAR	2009	11711	8419	2062	20	1282	127	1	270	23892
MOTORCYCLE	YEAR	2008	12072	9302	2397	31	1307	155	4	320	25588
MOTORCYCLE	YEAR	2007	11655	9381	2262	24	1286	108	0	274	24990
MOTORCYCLE	YEAR	2006	10820	9132	2162	43	1252	127	0	306	23842
MOTORCYCLE	YEAR	2005	9068	8123	1833	44	1128	107	1	248	20552
MOTORCYCLE	YEAR	2004	7962	7197	1684	28	987	99	4	237	18198
MOTORCYCLE	YEAR	2003	8924	9495	2171	35	1224	132	2	273	22256
MOTORCYCLE	YEAR	2002	6649	8078	1787	34	1016	113	2	247	17926
MOTORCYCLE	YEAR	2001	5946	7845	1888	40	1189	127	2	243	17280
MOTORCYCLE	YEAR	2000	5325	7437	1923	32	1261	141	2	241	16362
MOTORCYCLE	YEAR	1999	3609	5612	1304	16	1007	92	0	166	11806
MOTORCYCLE	YEAR	1998	2526	4179	1024	16	1054	76	0	126	9001
MOTORCYCLE	YEAR	1997	1931	3722	849	9	855	57	1	87	7511
MOTORCYCLE	YEAR	1996	1432	3621	805	20	547	91	1	86	6603
MOTORCYCLE	YEAR	1995	1145	3081	650	9	499	41	0	57	5482
MOTORCYCLE	YEAR	1994	1000	3085	752	14	500	72	0	63	5486
MOTORCYCLE	YEAR	1993	1015	3254	763	13	531	51	0	55	5682
MOTORCYCLE	YEAR	1992	782	2664	696	11	481	74	2	51	4761
MOTORCYCLE	YEAR	1991	744	2549	646	6	424	48	0	48	4465
MOTORCYCLE	YEAR	1990	718	3163	785	11	494	83	1	48	5303
MOTORCYCLE	YEAR	1989	707	3601	958	11	537	89	1	58	5962
MOTORCYCLE	YEAR	1988	722	4361	1175	19	603	95	0	60	7035
MOTORCYCLE	YEAR	1987	657	4762	1249	21	637	125	0	68	7519
MOTORCYCLE	YEAR	1986	1167	9088	2275	63	1111	197	0	112	14013
MOTORCYCLE	YEAR	1985	1522	13745	3126	95	1599	333	0	167	20587
MOTORCYCLE	YEAR	1984	1518	17512	4099	196	2078	432	0	216	26051
MOTORCYCLE	YEAR	1983	1271	18995	4791	252	1990	451	2	179	27931
MOTORCYCLE	YEAR	1982	1410	23957	6200	367	2186	705	0	165	34990
MOTORCYCLE	YEAR	1981	963	17141	4498	240	1483	467	2	108	24902
MOTORCYCLE	YEAR	1980	639	12833	3329	167	1051	389	0	76	18484
MOTORCYCLE	YEAR	1979	639	13586	3779	163	924	455	0	53	19599
MOTORCYCLE	YEAR	1978	622	15717	4511	220	1024	527	0	46	22667
MOTORCYCLE	YEAR	1977	463	11070	3444	151	681	377	2	28	16216
MOTORCYCLE	YEAR	1976	424	8276	2619	97	475	303	0	21	12215
MOTORCYCLE	YEAR	1975	421	10957	3702	117	576	421	1	19	16214
MOTORCYCLE	YEAR	1974	404	9051	3229	117	388	338	0	17	13544
MOTORCYCLE	YEAR	1973	388	7430	2777	81	343	259	0	12	11290
MOTORCYCLE	YEAR	1972	339	7459	2862	65	341	281	0	21	11368
MOTORCYCLE	YEAR	1971	225	3887	1634	44	178	168	0	7	6143
MOTORCYCLE	YEAR	1970	176	2260	1142	17	130	73	0	10	3808
MOTORCYCLE	YEAR	1969	173	1772	1113	10	103	49	0	3	3223
MOTORCYCLE	YEAR	1968	137	1413	921	8	89	50	0	4	2622
MOTORCYCLE	YEAR	1967	120	1126	864	8	83	35	0	2	2238
MOTORCYCLE	YEAR	1966	86	959	756	6	57	19	0	0	1883
MOTORCYCLE	YEAR	1965	67	567	567	1	36	18	0	7	1263
MOTORCYCLE	YEAR	1964	45	294	267	0	18	6	0	4	634
MOTORCYCLE	YEAR	1963	34	202	181	0	19	2	0	2	440
MOTORCYCLE	YEAR	1962	29	162	148	0	12	5	0	0	356
MOTORCYCLE	YEAR	1961	18	143	124	1	13	4	0	1	304
MOTORCYCLE	YEAR	1960	31	151	169	1	7	6	0	3	368
MOTORCYCLE	YEAR	1959	14	153	160	0	20	4	0	1	352
MOTORCYCLE	YEAR	1958	33	138	162	0	16	4	0	0	353
MOTORCYCLE	YEAR	1957	22	174	188	1	15	5	0	4	409
MOTORCYCLE	YEAR	1956	31	179	251	0	17	6	0	1	485
MOTORCYCLE	YEAR	1955	11	114	137	0	11	3	0	1	277
MOTORCYCLE	YEAR	1954	13	96	120	0	8	2	0	0	239
MOTORCYCLE	YEAR	1953	19	105	129	0	12	1	0	0	266
MOTORCYCLE	YEAR	1952	13	118	125	2	12	4	0	0	274
MOTORCYCLE	YEAR	1951	16	94	110	1	10	4	0	0	235
MOTORCYCLE	YEAR	1950	26	108	115	0	14	3	0	0	266
MOTORCYCLE	YEAR	1949	14	79	121	0	9	4	0	0	227
MOTORCYCLE	YEAR	1948	26	130	149	0	12	5	0	0	322
MOTORCYCLE	YEAR	1947	23	120	128	0	14	2	0	0	287
MOTORCYCLE	YEAR	1946	12	80	107	0	5	8	0	0	212
MOTORCYCLE	YEAR	1945	2	8	25	0	2	0	0	0	37
MOTORCYCLE	YEAR	1944	3	8	15	0	0	0	0	0	26
MOTORCYCLE	YEAR	1943	11	47	58	0	4	1	0	0	121
MOTORCYCLE	YEAR	1942	24	140	159	0	30	6	0	1	360
MOTORCYCLE	YEAR	1941	7	28	39	0	1	4	0	0	79
MOTORCYCLE	YEAR	1940	15	69	76	0	10	3	0	0	173
MOTORCYCLE	YEAR	1939	9	41	54	0	4	2	0	0	110
MOTORCYCLE	YEAR	1938	14	26	55	0	2	1	0	0	98
MOTORCYCLE	YEAR	1937	6	29	50	0	2	1	0	0	88
MOTORCYCLE	YEAR	1936	1	12	30	0	3	3	0	0	49
MOTORCYCLE	YEAR	1935	3	12	22	0	2	0	0	0	39
MOTORCYCLE	YEAR	1934	1	4	27	0	1	0	0	0	33
MOTORCYCLE	YEAR	1933	3	3	10	0	0	1	0	0	17
MOTORCYCLE	YEAR	1932	2	1	18	0	1	0	0	0	22
MOTORCYCLE	YEAR	1931	4	8	20	0	1	0	0	0	33
