COUNTY	VEHICLE_CLASS	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
OTTAWA-CARLETON	BUS	1310	3098	204	203	347	232	0	20	5414
OTTAWA-CARLETON	TRAILER	136883	16429	225	55	14074	1058	1	0	168725
OTTAWA-CARLETON	SNOW VEHICLE	8580	10870	0	41	2472	463	0	0	22426
OTTAWA-CARLETON	OFF ROAD	18738	3495	63	4	2947	136	0	0	25383
DISTRICT OF COCHRANE	PASSENGER	29573	70449	4983	12312	7072	7607	1	1151	133148
DISTRICT OF COCHRANE	MOTORCYCLE	1954	3656	744	11	430	256	1	28	7080
DISTRICT OF COCHRANE	MOPED	2	147	8	1	5	14	0	0	177
DISTRICT OF COCHRANE	COMMERCIAL	22073	38743	2933	4066	3463	2771	0	737	74786
DISTRICT OF COCHRANE	BUS	140	806	121	34	23	23	0	16	1163
DISTRICT OF COCHRANE	TRAILER	61922	6288	77	91	1327	1015	0	0	70720
DISTRICT OF COCHRANE	SNOW VEHICLE	11310	18573	0	600	547	2289	0	0	33319
DISTRICT OF COCHRANE	OFF ROAD	24785	3130	29	17	483	474	0	0	28918
DUFFERIN	PASSENGER	37620	63282	5925	14428	2911	2134	2	1262	127564
DUFFERIN	MOTORCYCLE	1911	2782	652	6	139	44	1	43	5578
DUFFERIN	MOPED	4	79	7	1	1	1	0	0	93
DUFFERIN	COMMERCIAL	11272	16823	1693	2703	786	407	0	426	34110
DUFFERIN	BUS	123	98	44	20	2	1	0	1	289
DUFFERIN	TRAILER	22575	2742	55	10	260	187	0	0	25829
DUFFERIN	SNOW VEHICLE	2432	3898	0	27	30	133	0	0	6520
DUFFERIN	OFF ROAD	4159	821	10	0	70	15	0	0	5075
STORMONT,DUNDAS & GLENGARRY	PASSENGER	62562	148152	13403	39161	29873	7155	1	3382	303689
STORMONT,DUNDAS & GLENGARRY	MOTORCYCLE	3356	5578	1475	20	1443	184	0	91	12147
STORMONT,DUNDAS & GLENGARRY	MOPED	5	364	13	0	29	17	0	0	428
STORMONT,DUNDAS & GLENGARRY	COMMERCIAL	19559	40081	3879	4466	10816	1326	0	1042	81169
STORMONT,DUNDAS & GLENGARRY	BUS	587	580	75	116	62	247	0	6	1673
STORMONT,DUNDAS & GLENGARRY	TRAILER	53438	8078	106	40	5439	766	0	0	67867
STORMONT,DUNDAS & GLENGARRY	SNOW VEHICLE	4024	6999	0	121	787	494	0	0	12425
STORMONT,DUNDAS & GLENGARRY	OFF ROAD	11279	2350	15	4	1066	140	2	0	14856
DURHAM	PASSENGER	364706	503021	113440	439540	53870	28496	26	10633	1513732
DURHAM	MOTORCYCLE	10705	16929	5549	167	1332	381	0	415	35478
DURHAM	MOPED	19	666	26	2	14	19	0	1	747
DURHAM	COMMERCIAL	63177	91760	14255	38539	12187	3615	3	2307	225843
DURHAM	BUS	1016	1990	260	4115	113	30	0	41	7565
DURHAM	TRAILER	125799	19457	545	107	2081	968	1	0	148958
DURHAM	SNOW VEHICLE	9947	15238	0	33	236	603	0	0	26057
DURHAM	OFF ROAD	23614	4790	108	3	367	165	1	0	29048
ELGIN	PASSENGER	53145	96365	10203	36216	6530	3665	1	2110	208235
ELGIN	MOTORCYCLE	2597	4636	1357	253	376	136	0	45	9400
ELGIN	MOPED	1	233	19	1	3	9	0	0	266
ELGIN	COMMERCIAL	20860	33714	3248	4023	2011	902	4	962	65724
ELGIN	BUS	238	492	55	9	50	14	0	11	869
ELGIN	TRAILER	43408	6341	70	39	640	433	0	0	50931
ELGIN	SNOW VEHICLE	1919	3121	0	11	59	221	0	0	5331
ELGIN	OFF ROAD	7037	1516	31	0	92	42	0	0	8718
ESSEX	PASSENGER	209788	421550	38336	120874	49879	16289	19	7117	863852
ESSEX	MOTORCYCLE	6435	11121	2881	53	752	275	1	183	21701
ESSEX	MOPED	14	582	22	3	5	20	0	0	646
ESSEX	COMMERCIAL	54851	84474	7855	12368	5542	2396	1	1972	169459
ESSEX	BUS	494	1542	132	72	42	79	0	9	2370
ESSEX	TRAILER	94026	13705	197	113	2106	669	1	0	110817
ESSEX	SNOW VEHICLE	3799	7004	0	64	137	374	1	0	11379
ESSEX	OFF ROAD	10137	2398	20	2	75	56	0	0	12688
FRONTENAC	PASSENGER	80954	159604	9433	92414	21697	5214	41	2749	372106
FRONTENAC	MOTORCYCLE	3128	5933	1277	28	952	176	1	100	11595
FRONTENAC	MOPED	2	321	17	2	8	11	0	1	362
FRONTENAC	COMMERCIAL	19584	39503	3797	8550	5163	922	1	1007	78527
FRONTENAC	BUS	364	548	52	32	50	15	0	5	1066
FRONTENAC	TRAILER	53114	6744	90	20	2711	438	1	0	63118
FRONTENAC	SNOW VEHICLE	3914	5230	0	18	132	251	0	0	9545
FRONTENAC	OFF ROAD	11217	1528	26	2	159	68	0	0	13000
LEEDS & GRENVILLE	PASSENGER	59367	141144	9637	25282	11959	3871	0	2893	254153
LEEDS & GRENVILLE	MOTORCYCLE	2854	5151	1290	10	710	144	1	93	10253
LEEDS & GRENVILLE	MOPED	2	265	13	0	13	6	0	1	300
LEEDS & GRENVILLE	COMMERCIAL	20183	39698	3085	3399	3112	769	0	1054	71300
LEEDS & GRENVILLE	BUS	209	1078	46	36	220	20	0	0	1609
LEEDS & GRENVILLE	TRAILER	57811	7641	65	29	1722	335	0	0	67603
LEEDS & GRENVILLE	SNOW VEHICLE	4499	6588	0	18	281	208	0	0	11594
LEEDS & GRENVILLE	OFF ROAD	12015	1827	13	4	350	77	0	0	14286
GREY	PASSENGER	50296	108709	14144	38159	3684	3290	6	1554	219842
GREY	MOTORCYCLE	2610	5024	1256	10	226	123	0	58	9307
GREY	MOPED	6	300	12	1	2	6	0	0	327
GREY	COMMERCIAL	20021	37204	4381	5869	1114	869	1	697	70156
GREY	BUS	209	625	79	33	14	81	0	3	1044
GREY	TRAILER	46600	6266	87	35	426	333	1	0	53748
GREY	SNOW VEHICLE	4228	7805	0	49	33	317	0	0	12432
GREY	OFF ROAD	8178	1637	14	2	33	37	0	0	9901
HALDIMAND-NORFOLK	PASSENGER	65072	147862	18160	45224	3263	5327	4	2987	287899
HALDIMAND-NORFOLK	MOTORCYCLE	3691	6177	1702	15	211	161	1	92	12050
HALDIMAND-NORFOLK	MOPED	1	263	7	1	3	7	0	0	282
HALDIMAND-NORFOLK	COMMERCIAL	28501	50400	5659	7357	1291	1510	0	1397	96115
HALDIMAND-NORFOLK	BUS	99	434	116	75	16	8	0	16	764
HALDIMAND-NORFOLK	TRAILER	59090	8844	128	33	510	593	0	0	69198
HALDIMAND-NORFOLK	SNOW VEHICLE	3326	5314	0	32	34	311	1	0	9018
HALDIMAND-NORFOLK	OFF ROAD	11686	3181	53	2	64	74	0	0	15060
HALIBURTON	PASSENGER	10657	27529	2434	3533	879	889	0	569	46490
HALIBURTON	MOTORCYCLE	725	1482	334	2	73	35	0	18	2669
HALIBURTON	MOPED	1	65	1	0	1	1	0	0	69
HALIBURTON	COMMERCIAL	5903	10338	959	643	278	229	0	292	18642
HALIBURTON	BUS	3	24	22	2	0	2	0	5	58
HALIBURTON	TRAILER	18909	2274	23	6	141	122	0	0	21475
HALIBURTON	SNOW VEHICLE	3152	5154	0	59	56	246	0	0	8667
HALIBURTON	OFF ROAD	5812	639	6	1	27	35	0	0	6520
HALTON	PASSENGER	327599	340698	26657	147003	57283	26862	14	3755	929871
HALTON	MOTORCYCLE	7900	11714	2346	35	1527	213	2	193	23930
HALTON	MOPED	6	509	18	2	11	7	0	0	553
HALTON	COMMERCIAL	45842	68841	6779	9026	16289	5878	17	832	153504
HALTON	BUS	3063	3153	178	236	1022	1881	0	44	9577
HALTON	TRAILER	80574	13866	1280	75	4004	919	33	0	100751
HALTON	SNOW VEHICLE	3684	5336	0	11	82	179	0	0	9292
HALTON	OFF ROAD	7860	1517	47	0	95	38	0	0	9557
HASTINGS	PASSENGER	77385	192235	14794	43810	14540	8282	4	5142	356192
HASTINGS	MOTORCYCLE	3720	7250	1763	21	850	176	0	182	13962
HASTINGS	MOPED	6	366	11	2	8	13	0	1	407
HASTINGS	COMMERCIAL	26995	55127	4631	5653	3579	1616	3	1804	99408
HASTINGS	BUS	337	846	83	37	33	27	0	5	1368
HASTINGS	TRAILER	77405	11547	78	47	1643	735	0	0	91455
HASTINGS	SNOW VEHICLE	6130	9959	0	65	186	680	0	0	17020
HASTINGS	OFF ROAD	23267	3018	32	2	286	179	0	0	26784
HURON	PASSENGER	30346	66710	7913	33437	4225	1640	1	703	144975
HURON	MOTORCYCLE	1527	3027	676	12	229	63	0	29	5563
HURON	MOPED	6	156	10	0	1	6	0	0	179
HURON	COMMERCIAL	15524	27319	3057	6452	2774	526	1	386	56039
HURON	BUS	304	165	77	56	18	19	0	3	642
HURON	TRAILER	32093	5391	88	28	348	231	0	0	38179
HURON	SNOW VEHICLE	3256	5385	0	57	53	280	0	0	9031
HURON	OFF ROAD	6054	1732	11	0	30	42	0	0	7869
DISTRICT OF KENORA	PASSENGER	20185	81133	3146	1129	3800	5301	0	979	115673
DISTRICT OF KENORA	MOTORCYCLE	1172	3322	348	3	164	116	0	21	5146
DISTRICT OF KENORA	MOPED	4	78	2	1	2	1	0	0	88
DISTRICT OF KENORA	COMMERCIAL	16584	47249	2388	379	1676	2482	0	776	71534
DISTRICT OF KENORA	BUS	153	584	27	3	14	33	0	10	824
DISTRICT OF KENORA	TRAILER	45691	3922	48	18	462	388	0	0	50529
DISTRICT OF KENORA	SNOW VEHICLE	7300	16133	0	61	102	1189	0	0	24785
DISTRICT OF KENORA	OFF ROAD	11690	1147	5	1	53	130	0	0	13026
KENT	PASSENGER	54894	122158	12154	56071	6742	4104	3	2179	258305
KENT	MOTORCYCLE	2309	5028	1259	43	201	175	0	38	9053
KENT	MOPED	3	347	14	6	4	17	0	0	391
KENT	COMMERCIAL	23272	54188	4995	8756	2136	1156	0	1018	95521
KENT	BUS	199	342	91	59	3	12	0	12	718
KENT	TRAILER	52508	9864	129	125	1340	716	0	0	64682
KENT	SNOW VEHICLE	2575	4122	0	17	36	310	0	0	7060
KENT	OFF ROAD	7607	1614	48	2	32	42	0	0	9345
LAMBTON	PASSENGER	65491	134662	8556	54311	11593	2518	1	2018	279150
LAMBTON	MOTORCYCLE	3001	5233	1489	13	262	80	0	68	10146
LAMBTON	MOPED	6	330	12	0	6	5	0	0	359
LAMBTON	COMMERCIAL	23542	63322	3802	7190	3198	601	0	725	102380
LAMBTON	BUS	203	652	92	74	11	8	0	4	1044
LAMBTON	TRAILER	46134	7346	72	55	662	295	0	0	54564
LAMBTON	SNOW VEHICLE	2591	3970	0	30	45	193	0	0	6829
LAMBTON	OFF ROAD	6492	1856	31	2	37	30	0	0	8448
LANARK	PASSENGER	40830	103064	6140	13927	13234	2230	1	2207	181633
LANARK	MOTORCYCLE	1877	3566	945	7	556	64	0	55	7070
LANARK	MOPED	1	120	11	2	7	7	0	0	148
LANARK	COMMERCIAL	13942	28445	1836	1776	3376	384	0	721	50480
LANARK	BUS	236	440	31	327	25	2	0	1	1062
LANARK	TRAILER	36837	5344	56	39	1288	179	1	0	43744
LANARK	SNOW VEHICLE	3918	6356	0	14	370	187	0	0	10845
LANARK	OFF ROAD	10101	1784	17	0	508	39	0	0	12449
LENNOX & ADDINGTON	PASSENGER	20581	49987	3932	8203	2729	2998	1	1124	89555
LENNOX & ADDINGTON	MOTORCYCLE	1121	2010	448	2	139	65	0	28	3813
LENNOX & ADDINGTON	MOPED	1	85	4	1	1	6	0	0	98
LENNOX & ADDINGTON	COMMERCIAL	8575	17760	1281	1304	1107	723	1	523	31274
LENNOX & ADDINGTON	BUS	221	162	41	4	4	4	0	1	437
LENNOX & ADDINGTON	TRAILER	23376	2979	24	7	283	260	0	0	26929
LENNOX & ADDINGTON	SNOW VEHICLE	1937	2862	0	7	43	148	0	0	4997
LENNOX & ADDINGTON	OFF ROAD	7167	899	6	0	76	59	0	0	8207
DISTRICT OF MANITOULIN	PASSENGER	6542	18901	1213	1423	459	1086	0	274	29898
DISTRICT OF MANITOULIN	MOTORCYCLE	305	673	133	6	14	31	0	12	1174
DISTRICT OF MANITOULIN	MOPED	1	43	0	0	0	3	0	0	47
DISTRICT OF MANITOULIN	COMMERCIAL	4839	9399	609	349	241	393	0	231	16061
DISTRICT OF MANITOULIN	BUS	35	104	19	3	2	2	0	3	168
DISTRICT OF MANITOULIN	TRAILER	13423	1512	12	6	137	108	0	0	15198
DISTRICT OF MANITOULIN	SNOW VEHICLE	2001	3016	0	33	14	214	0	0	5278
DISTRICT OF MANITOULIN	OFF ROAD	3864	465	8	2	9	22	0	0	4370
MIDDLESEX	PASSENGER	251006	415565	42060	389820	58884	16905	27	5396	1179663
MIDDLESEX	MOTORCYCLE	6740	12938	3388	203	916	361	2	156	24704
MIDDLESEX	MOPED	9	627	30	6	4	16	0	1	693
MIDDLESEX	COMMERCIAL	50866	139371	8476	39149	19841	2652	129	1382	261866
MIDDLESEX	BUS	1998	1747	210	512	90	64	4	5	4630
MIDDLESEX	TRAILER	89321	15653	378	114	2064	810	3	0	108343
MIDDLESEX	SNOW VEHICLE	3900	7065	0	50	52	275	1	0	11343
MIDDLESEX	OFF ROAD	9199	2908	116	5	75	95	0	0	12398
MUSKOKA	PASSENGER	35548	82302	7625	25593	6820	2783	1	1087	161759
MUSKOKA	MOTORCYCLE	2134	3854	919	17	212	81	0	41	7258
MUSKOKA	MOPED	4	215	8	0	2	5	0	0	234
MUSKOKA	COMMERCIAL	16688	28269	2365	4563	2458	736	0	598	55677
MUSKOKA	BUS	230	336	67	31	62	1	0	1	728
MUSKOKA	TRAILER	47275	5851	45	33	436	386	0	0	54026
MUSKOKA	SNOW VEHICLE	8037	12555	0	82	120	608	0	0	21402
MUSKOKA	OFF ROAD	10700	1488	8	10	68	83	0	0	12357
NIAGARA	PASSENGER	265666	408195	63381	392555	23010	14455	59	6892	1174213
NIAGARA	MOTORCYCLE	9894	16111	3997	172	796	371	3	275	31619
NIAGARA	MOPED	17	1022	28	5	6	47	0	1	1126
NIAGARA	COMMERCIAL	62565	90653	11194	36263	4080	2290	14	2005	209064
NIAGARA	BUS	549	1364	364	183	67	74	0	17	2618
NIAGARA	TRAILER	115639	18308	427	123	1453	1005	0	0	136955
NIAGARA	SNOW VEHICLE	4989	8707	0	45	89	512	0	0	14342
NIAGARA	OFF ROAD	14980	3617	68	3	150	121	0	0	18939
DISTRICT OF NIPISSING	PASSENGER	42216	84528	7300	53727	8576	7589	1	1386	205323
DISTRICT OF NIPISSING	MOTORCYCLE	2193	4008	995	28	498	247	0	51	8020
DISTRICT OF NIPISSING	MOPED	3	175	13	1	6	8	0	0	206
DISTRICT OF NIPISSING	COMMERCIAL	19061	30477	2940	10119	3409	2799	0	684	69489
DISTRICT OF NIPISSING	BUS	1523	1121	68	144	61	8	0	11	2936
DISTRICT OF NIPISSING	TRAILER	55160	7244	213	59	1282	1009	0	0	64967
DISTRICT OF NIPISSING	SNOW VEHICLE	9204	12557	0	200	503	1461	0	0	23925
DISTRICT OF NIPISSING	OFF ROAD	16831	2248	115	6	450	242	0	0	19892
NORTHUMBERLAND	PASSENGER	52030	117331	9480	37093	5542	3860	3	2483	227822
NORTHUMBERLAND	MOTORCYCLE	2731	4636	1305	54	287	125	0	106	9244
NORTHUMBERLAND	MOPED	6	273	19	1	1	11	0	0	311
NORTHUMBERLAND	COMMERCIAL	17423	33664	2576	5098	1717	834	1	898	62211
NORTHUMBERLAND	BUS	133	285	42	42	9	10	0	2	523
NORTHUMBERLAND	TRAILER	44796	6967	52	43	581	411	0	0	52850
NORTHUMBERLAND	SNOW VEHICLE	3214	5170	0	71	47	253	0	0	8755
NORTHUMBERLAND	OFF ROAD	10771	1876	21	4	96	85	0	0	12853
OXFORD	PASSENGER	65249	124947	10104	49674	11353	2943	1	2134	266405
OXFORD	MOTORCYCLE	3404	5482	1405	13	249	120	0	62	10735
OXFORD	MOPED	1	321	11	3	0	9	0	0	345
OXFORD	COMMERCIAL	25130	44755	3834	5712	3583	717	1	837	84569
OXFORD	BUS	57	370	117	26	90	5	0	8	673
OXFORD	TRAILER	47641	8405	157	33	1209	424	0	0	57869
OXFORD	SNOW VEHICLE	3115	5170	0	20	41	200	0	0	8546
OXFORD	OFF ROAD	7577	2223	37	3	44	44	0	0	9928
DISTRICT OF PARRY SOUND	PASSENGER	25258	68509	6042	8267	2181	3480	1	999	114737
DISTRICT OF PARRY SOUND	MOTORCYCLE	1688	3327	893	13	146	147	0	42	6256
DISTRICT OF PARRY SOUND	MOPED	1	142	7	0	0	6	0	0	156
DISTRICT OF PARRY SOUND	COMMERCIAL	13711	27148	2540	1740	848	1134	2	553	47676
DISTRICT OF PARRY SOUND	BUS	75	320	52	12	0	5	0	13	477
DISTRICT OF PARRY SOUND	TRAILER	44661	5103	56	37	364	493	0	0	50714
DISTRICT OF PARRY SOUND	SNOW VEHICLE	9076	12824	0	211	115	916	0	0	23142
DISTRICT OF PARRY SOUND	OFF ROAD	14550	1703	18	1	82	117	0	0	16471
PEEL	PASSENGER	701040	871515	161754	386709	153871	40083	63	13108	2328143
PEEL	MOTORCYCLE	11398	16786	6768	86	1456	271	1	457	37223
PEEL	MOPED	17	686	39	2	13	7	0	0	764
PEEL	COMMERCIAL	118758	169013	26391	33106	32619	6203	14	2211	388315
PEEL	BUS	1985	2635	325	285	346	64	0	26	5666
PEEL	TRAILER	242434	47669	1956	122	22457	5474	1	0	320113
PEEL	SNOW VEHICLE	4357	7200	0	31	182	215	0	0	11985
PEEL	OFF ROAD	9610	2883	446	0	208	64	0	0	13211
PERTH	PASSENGER	40706	86695	6911	42329	3006	1755	0	1077	182479
PERTH	MOTORCYCLE	1916	3041	779	8	134	70	1	35	5984
PERTH	MOPED	4	198	4	1	2	5	0	0	214
PERTH	COMMERCIAL	15297	63062	3026	7059	1260	537	2	543	90786
PERTH	BUS	156	238	54	77	15	13	0	2	555
PERTH	TRAILER	27556	4833	69	24	324	185	0	0	32991
PERTH	SNOW VEHICLE	2967	4635	0	43	44	233	0	0	7922
PERTH	OFF ROAD	4784	1287	26	1	33	25	0	0	6156
PETERBOROUGH	PASSENGER	75261	152305	15519	82610	7831	7698	2	3143	344369
PETERBOROUGH	MOTORCYCLE	2952	6208	1491	292	327	164	0	83	11517
PETERBOROUGH	MOPED	0	326	11	2	5	15	0	0	359
PETERBOROUGH	COMMERCIAL	23197	39825	4146	9427	2050	1600	1	1137	81383
PETERBOROUGH	BUS	502	1609	122	195	126	39	0	8	2601
PETERBOROUGH	TRAILER	66066	10038	92	33	697	480	0	0	77406
PETERBOROUGH	SNOW VEHICLE	6544	10232	0	45	94	571	0	0	17486
PETERBOROUGH	OFF ROAD	15336	2612	21	19	65	105	0	0	18158
PRESCOTT & RUSSELL	PASSENGER	62607	132454	28932	38637	75251	6076	0	2874	346831
PRESCOTT & RUSSELL	MOTORCYCLE	4118	5197	1474	72	3739	120	0	84	14804
PRESCOTT & RUSSELL	MOPED	4	308	16	6	30	4	0	0	368
PRESCOTT & RUSSELL	COMMERCIAL	19247	30031	3801	3893	18529	1480	1	827	77809
PRESCOTT & RUSSELL	BUS	497	620	77	36	251	14	0	5	1500
PRESCOTT & RUSSELL	TRAILER	52304	6465	139	109	7122	449	0	0	66588
PRESCOTT & RUSSELL	SNOW VEHICLE	4760	6987	0	21	2476	256	0	0	14500
PRESCOTT & RUSSELL	OFF ROAD	11408	2863	40	1	3570	102	0	0	17984
PRINCE EDWARD	PASSENGER	14669	34337	3081	24489	1497	890	0	822	79785
PRINCE EDWARD	MOTORCYCLE	775	1504	405	5	97	23	0	21	2830
PRINCE EDWARD	MOPED	0	120	6	0	2	7	0	0	135
PRINCE EDWARD	COMMERCIAL	5260	10296	879	3550	319	213	2	341	20860
PRINCE EDWARD	BUS	55	72	21	24	1	1	0	1	175
PRINCE EDWARD	TRAILER	15566	2083	22	9	180	128	0	0	17988
PRINCE EDWARD	SNOW VEHICLE	1119	1666	0	7	11	89	0	0	2892
PRINCE EDWARD	OFF ROAD	3611	532	6	0	38	23	0	0	4210
DISTRICT OF RAINY RIVER	PASSENGER	8069	31198	1478	419	1109	877	0	192	43342
DISTRICT OF RAINY RIVER	MOTORCYCLE	497	1348	166	3	54	24	0	3	2095
DISTRICT OF RAINY RIVER	MOPED	0	34	0	0	0	1	0	0	35
DISTRICT OF RAINY RIVER	COMMERCIAL	7068	18579	1067	227	553	471	0	162	28127
DISTRICT OF RAINY RIVER	BUS	41	218	21	0	1	11	0	1	293
DISTRICT OF RAINY RIVER	TRAILER	20184	1697	18	13	172	60	0	0	22144
DISTRICT OF RAINY RIVER	SNOW VEHICLE	3379	6003	0	59	21	220	0	0	9682
DISTRICT OF RAINY RIVER	OFF ROAD	4448	558	1	0	14	25	0	0	5046
RENFREW	PASSENGER	56038	137550	8683	69687	22266	6244	0	2092	302560
RENFREW	MOTORCYCLE	2745	5223	1221	50	1204	126	0	59	10628
RENFREW	MOPED	4	212	10	1	11	9	0	0	247
RENFREW	COMMERCIAL	23916	43963	2999	10656	6904	1477	0	926	90841
RENFREW	BUS	237	1145	118	361	103	39	0	6	2009
RENFREW	TRAILER	63602	7769	70	36	2665	536	0	0	74678
RENFREW	SNOW VEHICLE	7606	13019	0	66	1152	809	0	0	22652
RENFREW	OFF ROAD	20009	2513	15	4	1186	109	0	1	23837
SIMCOE	PASSENGER	292269	480761	40780	346902	30534	14319	10	9843	1215418
SIMCOE	MOTORCYCLE	13669	21579	4680	130	1758	410	1	414	42641
SIMCOE	MOPED	7	1076	31	2	20	32	1	1	1170
SIMCOE	COMMERCIAL	77935	116577	10345	39095	7732	2909	3	3021	257617
SIMCOE	BUS	2077	1576	291	3013	62	549	0	37	7605
SIMCOE	TRAILER	186689	26963	352	102	3026	1384	0	0	218516
SIMCOE	SNOW VEHICLE	20955	33448	0	120	410	1314	2	0	56249
SIMCOE	OFF ROAD	34461	5910	81	18	376	205	0	0	41051
DISTRICT OF SUDBURY	PASSENGER	89457	177412	17577	80364	10791	9285	2	2618	387506
DISTRICT OF SUDBURY	MOTORCYCLE	4770	7105	1804	113	553	280	0	102	14727
DISTRICT OF SUDBURY	MOPED	2	220	26	0	4	10	0	0	262
DISTRICT OF SUDBURY	COMMERCIAL	44071	64257	6369	15042	4251	2669	1	1290	137950
DISTRICT OF SUDBURY	BUS	250	938	216	155	52	34	0	5	1650
DISTRICT OF SUDBURY	TRAILER	112075	13726	180	178	1428	1218	0	0	128805
DISTRICT OF SUDBURY	SNOW VEHICLE	20860	25056	1	492	412	2187	0	0	49008
DISTRICT OF SUDBURY	OFF ROAD	35270	4250	49	31	380	377	1	0	40358
DISTRICT OF TIMISKAMING	PASSENGER	13850	39852	2931	4347	5644	5127	1	639	72391
DISTRICT OF TIMISKAMING	MOTORCYCLE	803	2027	458	9	257	149	0	16	3719
DISTRICT OF TIMISKAMING	MOPED	0	58	4	0	2	9	0	0	73
DISTRICT OF TIMISKAMING	COMMERCIAL	9463	19276	1568	1042	2557	1637	0	450	35993
DISTRICT OF TIMISKAMING	BUS	235	342	88	89	14	58	0	9	835
DISTRICT OF TIMISKAMING	TRAILER	28583	3182	30	15	1577	608	0	0	33995
DISTRICT OF TIMISKAMING	SNOW VEHICLE	5967	7886	0	70	686	891	0	0	15500
DISTRICT OF TIMISKAMING	OFF ROAD	9349	1182	10	2	546	177	0	0	11266
DISTRICT OF THUNDER BAY	PASSENGER	68929	178291	13339	49552	9391	6393	0	1931	327826
DISTRICT OF THUNDER BAY	MOTORCYCLE	3173	7011	1277	25	460	208	2	46	12202
DISTRICT OF THUNDER BAY	MOPED	6	275	14	1	4	8	0	0	308
DISTRICT OF THUNDER BAY	COMMERCIAL	39570	80651	6437	11152	3436	2694	0	1487	145427
DISTRICT OF THUNDER BAY	BUS	444	1046	160	54	23	39	0	11	1777
DISTRICT OF THUNDER BAY	TRAILER	90242	7407	143	47	927	612	4	0	99382
DISTRICT OF THUNDER BAY	SNOW VEHICLE	12361	20184	0	120	117	1491	0	0	34273
DISTRICT OF THUNDER BAY	OFF ROAD	20330	1845	28	6	128	142	0	1	22480
VICTORIA	PASSENGER	41190	102012	8772	31631	2991	2585	0	2374	191555
VICTORIA	MOTORCYCLE	2061	4081	1122	18	162	86	1	72	7603
VICTORIA	MOPED	0	187	12	1	1	4	0	0	205
VICTORIA	COMMERCIAL	16982	31962	3235	4586	874	548	0	1010	59197
VICTORIA	BUS	193	180	68	37	17	0	0	7	502
VICTORIA	TRAILER	48464	7177	115	25	389	268	0	0	56438
VICTORIA	SNOW VEHICLE	5748	9602	0	25	67	275	0	0	15717
VICTORIA	OFF ROAD	11278	2430	77	0	64	56	0	0	13905
WATERLOO	PASSENGER	305060	319997	38003	306662	25172	9732	10	5250	1009886
WATERLOO	MOTORCYCLE	9500	15357	3401	38	801	297	1	201	29596
WATERLOO	MOPED	8	798	24	3	5	20	0	1	859
WATERLOO	COMMERCIAL	56991	65064	7378	31380	5711	1762	0	1209	169495
WATERLOO	BUS	505	999	113	103	87	26	0	20	1853
WATERLOO	TRAILER	105055	22190	341	83	2825	1067	0	0	131561
WATERLOO	SNOW VEHICLE	5481	8121	0	28	128	320	0	0	14078
WATERLOO	OFF ROAD	10219	2367	106	2	169	63	0	0	12926
WELLINGTON	PASSENGER	125760	186630	39942	134789	17428	6714	3	2470	513736
