,Charging Profile
521,569.2599166
522,642.9513982
523,677.9881246
524,422.2859382
525,299.6294355
526,295.4846204
527,316.1628145
528,173.2327156
529,161.9191625
530,220.6469283
531,205.5551673
532,234.3967959
533,192.9450647
534,340.9618531
535,562.5645358
536,603.4991749
537,554.2139535
538,523.1657253
539,405.7465787
540,283.7764343
541,195.4771754
542,161.3260977
543,320.4371953
544,460.8043792
545,611.965543
546,626.0231683
547,584.8192319
548,455.5932041
549,363.0121459
550,312.0071325
551,300.6004942
552,173.2327156
553,161.9191625
554,220.6469283
555,205.5551673
556,234.3967959
557,192.9450647
558,340.9618531
559,562.5645358
560,603.4991749
561,554.2139535
562,523.1657253
563,405.7465787
564,283.7764343
565,195.4771754
566,161.3260977
567,320.4371953
568,460.8043792
569,611.965543
570,626.0231683
571,584.8192319
572,455.5932041
573,363.0121459
574,312.0071325
575,300.6004942
576,212.4721277
577,160.1661613
578,131.4187172
579,143.7833087
580,136.5912663
581,116.1501046
582,294.0742786
583,612.4520029
584,640.4663731
585,590.2064193
586,407.7357057
587,330.3593912
588,252.2656195
589,181.9528357
590,177.7920523
591,282.8644213
592,440.4919918
593,569.2599166
594,642.9513982
595,677.9881246
596,422.2859382
597,299.6294355
598,295.4846204
599,316.1628145
600,212.4721277
601,160.1661613
602,131.4187172
603,143.7833087
604,136.5912663
605,116.1501046
606,294.0742786
607,612.4520029
608,640.4663731
609,590.2064193
610,407.7357057
611,330.3593912
612,252.2656195
613,181.9528357
614,177.7920523
615,282.8644213
616,440.4919918
617,569.2599166
618,642.9513982
619,677.9881246
620,422.2859382
621,299.6294355
622,295.4846204
623,316.1628145
624,232.8489433
625,176.4554412
626,171.3741856
627,169.9013799
628,176.4917659
629,324.4246776
630,420.5376804
631,493.5960911
632,497.9558379
633,341.9675455
634,213.5431857
635,146.9096129
636,107.7918224
637,134.6595542
638,183.2111164
639,333.1766439
640,503.318689
641,514.926403
642,545.5480054
643,468.8319552
644,410.603155
645,334.1100094
646,244.569096
647,172.9475836
648,173.2327156
649,161.9191625
650,220.6469283
651,205.5551673
652,234.3967959
653,192.9450647
654,340.9618531
655,562.5645358
656,603.4991749
657,554.2139535
658,523.1657253
659,405.7465787
660,283.7764343
661,195.4771754
662,161.3260977
663,320.4371953
664,460.8043792
665,611.965543
666,626.0231683
667,584.8192319
668,455.5932041
669,363.0121459
670,312.0071325
671,300.6004942
672,173.2327156
673,161.9191625
674,220.6469283
675,205.5551673
676,234.3967959
677,192.9450647
678,340.9618531
679,562.5645358
680,603.4991749
681,554.2139535
682,523.1657253
683,405.7465787
684,283.7764343
685,195.4771754
686,161.3260977
687,320.4371953
688,460.8043792
689,611.965543
690,626.0231683
691,584.8192319
692,455.5932041
693,363.0121459
694,312.0071325
695,300.6004942
696,464.9647137
697,326.9068868
698,275.459111
699,281.2142626
700,222.8912273
701,215.5886702
702,170.8398272
703,159.4586494
704,167.236667
705,170.0354714
706,245.9500465
707,314.6042741
708,325.064644
709,387.1547273
710,341.5757614
711,324.073163
712,294.7179265
713,333.2303172
714,294.6064542
715,350.0131467
716,348.6583724
717,379.2685463
