weight_bin,midpoint_kg,pct_trucks
"(17100, 17200]",17150.0,0.0006807351940095302
"(17200, 17300]",17250.0,0.006126616746085773
"(17300, 17400]",17350.0,0.0015316541865214432
"(17400, 17500]",17450.0,0.003233492171545269
"(17500, 17600]",17550.0,0.0018720217835262083
"(17600, 17700]",17650.0,0.0068073519400953025
"(17700, 17800]",17750.0,0.0022123893805309734
"(17800, 17900]",17850.0,0.0030633083730428863
"(17900, 18000]",17950.0,0.0034036759700476512
"(18000, 18100]",18050.0,0.0028931245745405037
"(18100, 18200]",18150.0,0.016167460857726343
"(18200, 18300]",18250.0,0.0028931245745405037
"(18300, 18400]",18350.0,0.0025527569775357388
"(18400, 18500]",18450.0,0.0030633083730428863
"(18500, 18600]",18550.0,0.006977535738597686
"(18600, 18700]",18650.0,0.002722940776038121
"(18700, 18800]",18750.0,0.003233492171545269
"(18800, 18900]",18850.0,0.003233492171545269
"(18900, 19000]",18950.0,0.00527569775357386
"(19000, 19100]",19050.0,0.012933968686181076
"(19100, 19200]",19150.0,0.0034036759700476512
"(19200, 19300]",19250.0,0.004765146358066712
"(19300, 19400]",19350.0,0.003233492171545269
"(19400, 19500]",19450.0,0.0028931245745405037
"(19500, 19600]",19550.0,0.010891763104152484
"(19600, 19700]",19650.0,0.0051055139550714775
"(19700, 19800]",19750.0,0.003914227365554799
"(19800, 19900]",19850.0,0.0030633083730428863
"(19900, 20000]",19950.0,0.01531654186521443
"(20000, 20100]",20050.0,0.0020422055820285907
"(20100, 20200]",20150.0,0.0034036759700476512
"(20200, 20300]",20250.0,0.0020422055820285907
"(20300, 20400]",20350.0,0.0020422055820285907
"(20400, 20500]",20450.0,0.00867937372362151
"(20500, 20600]",20550.0,0.0022123893805309734
"(20600, 20700]",20650.0,0.0013614703880190605
"(20700, 20800]",20750.0,0.0006807351940095302
"(20800, 20900]",20850.0,0.0028931245745405037
"(20900, 21000]",20950.0,0.003233492171545269
"(21000, 21100]",21050.0,0.001191286589516678
"(21100, 21200]",21150.0,0.0010211027910142954
"(21200, 21300]",21250.0,0.0003403675970047651
"(21300, 21400]",21350.0,0.0010211027910142954
"(21400, 21500]",21450.0,0.0018720217835262083
"(21500, 21600]",21550.0,0.00017018379850238256
"(21600, 21700]",21650.0,0.0010211027910142954
"(21700, 21800]",21750.0,0.0010211027910142954
"(21800, 21900]",21850.0,0.0013614703880190605
"(21900, 22000]",21950.0,0.0020422055820285907
"(22000, 22100]",22050.0,0.0003403675970047651
"(22100, 22200]",22150.0,0.0006807351940095302
"(22200, 22300]",22250.0,0.0005105513955071477
"(22300, 22400]",22350.0,0.0008509189925119128
"(22400, 22500]",22450.0,0.00017018379850238256
"(22500, 22600]",22550.0,0.00017018379850238256
"(22600, 22700]",22650.0,0.0005105513955071477
"(22700, 22800]",22750.0,0.00017018379850238256
"(22800, 22900]",22850.0,0.00017018379850238256
"(22900, 23000]",22950.0,0.0006807351940095302
"(23000, 23100]",23050.0,0.00017018379850238256
"(23100, 23200]",23150.0,0.0
"(23200, 23300]",23250.0,0.00017018379850238256
"(23300, 23400]",23350.0,0.00017018379850238256
"(23400, 23500]",23450.0,0.00017018379850238256
"(23500, 23600]",23550.0,0.00017018379850238256
"(23600, 23700]",23650.0,0.00017018379850238256
"(23700, 23800]",23750.0,0.00017018379850238256
"(23800, 23900]",23850.0,0.0
"(23900, 24000]",23950.0,0.0003403675970047651
"(24000, 24100]",24050.0,0.0
"(24100, 24200]",24150.0,0.00017018379850238256
"(24200, 24300]",24250.0,0.0
"(24300, 24400]",24350.0,0.0
"(24400, 24500]",24450.0,0.00017018379850238256
"(24500, 24600]",24550.0,0.0
"(24600, 24700]",24650.0,0.0
"(24700, 24800]",24750.0,0.0
"(24800, 24900]",24850.0,0.0
"(24900, 25000]",24950.0,0.0003403675970047651
"(25000, 25100]",25050.0,0.0
"(25100, 25200]",25150.0,0.0
"(25200, 25300]",25250.0,0.0
"(25300, 25400]",25350.0,0.0
"(25400, 25500]",25450.0,0.0003403675970047651
"(25500, 25600]",25550.0,0.0
"(25600, 25700]",25650.0,0.0
"(25700, 25800]",25750.0,0.0
"(25800, 25900]",25850.0,0.0
"(25900, 26000]",25950.0,0.0
"(26000, 26100]",26050.0,0.0
"(26100, 26200]",26150.0,0.0
"(26200, 26300]",26250.0,0.0
"(26300, 26400]",26350.0,0.0
"(26400, 26500]",26450.0,0.0
"(26500, 26600]",26550.0,0.0
"(26600, 26700]",26650.0,0.0
"(26700, 26800]",26750.0,0.00017018379850238256
"(26800, 26900]",26850.0,0.0
"(26900, 27000]",26950.0,0.0
"(27000, 27100]",27050.0,0.0
"(27100, 27200]",27150.0,0.0
"(27200, 27300]",27250.0,0.0
"(27300, 27400]",27350.0,0.0
"(27400, 27500]",27450.0,0.0
"(27500, 27600]",27550.0,0.0
"(27600, 27700]",27650.0,0.0
"(27700, 27800]",27750.0,0.0
"(27800, 27900]",27850.0,0.0
"(27900, 28000]",27950.0,0.00017018379850238256
"(28000, 28100]",28050.0,0.0
"(28100, 28200]",28150.0,0.0
"(28200, 28300]",28250.0,0.0
"(28300, 28400]",28350.0,0.0
"(28400, 28500]",28450.0,0.0
"(28500, 28600]",28550.0,0.0
"(28600, 28700]",28650.0,0.0
"(28700, 28800]",28750.0,0.0
"(28800, 28900]",28850.0,0.0
"(28900, 29000]",28950.0,0.0
"(29000, 29100]",29050.0,0.0
"(29100, 29200]",29150.0,0.0
"(29200, 29300]",29250.0,0.0
"(29300, 29400]",29350.0,0.0
"(29400, 29500]",29450.0,0.0
"(29500, 29600]",29550.0,0.0
"(29600, 29700]",29650.0,0.0
"(29700, 29800]",29750.0,0.0
"(29800, 29900]",29850.0,0.0
"(29900, 30000]",29950.0,0.0
