tech,flag,category,sub_category,unlim_cap,annual,description,notes
T_HDV_T_FCHEV_N,p,heavy_trucks,fchev,,,"New heavy-duty freight truck (fuel cell hybrid, w/battery to assist during prolonged high-power use)","Vehicle class corresponds to “Heavy Trucks” from NRCan Comprehensive Energy Use Database; a truck with a gross weight of more than 33,000 lb (class 8). "
T_LDV_M_GSL_N,p,motorcycles,gasoline,,1,New light-duty motorbike (gasoline),Vehicle class corresponds to “Motorcycles” from NRCan Comprehensive Energy Use Database; excluding other 2-wheel vehicles like mopeds and scooters.
T_LDV_M_BEV_N,p,motorcycles,bev,,1,New light-duty motorbike (battery electric),Vehicle class corresponds to “Motorcycles” from NRCan Comprehensive Energy Use Database; excluding other 2-wheel vehicles like mopeds and scooters.
T_HDV_BS_GSL_N,p,school_buses,gasoline,,1,New school and employee bus (gasoline),Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BS_DSL_N,p,school_buses,diesel,,1,New school and employee bus (diesel),Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BS_CNG_N,p,school_buses,cng,,1,New school and employee bus (compressed natural gas),Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BS_DSL_HEV_N,p,school_buses,hev,,1,"New school and employee bus (diesel, hybrid electric)",Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BS_DSL_PHEV_N,p,school_buses,phev,,,"New school and employee bus (diesel, plug-in hybrid)",Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BS_BEV_N,p,school_buses,bev,,,New school and employee bus (battery electric),Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BS_FCEV_N,p,school_buses,fcev,,,"New school and employee bus (fuel cell electric, gaseous H2 @ 700 bar)",Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BS_FCHEV_N,p,school_buses,fchev,,,"New school and employee bus (fuel cell hybrid, w/battery to assist during prolonged high-power use)",Vehicle class corresponds to “School Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BT_GSL_N,p,urban_transit,gasoline,,1,New urban transit bus (gasoline),"Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BT_DSL_N,p,urban_transit,diesel,,1,New urban transit bus (diesel),"Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BT_CNG_N,p,urban_transit,cng,,1,New urban transit bus (compressed natural gas),"Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BT_DSL_HEV_N,p,urban_transit,hev,,1,"New urban transit bus (diesel, hybrid electric)","Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BT_DSL_PHEV_N,p,urban_transit,phev,,,"New urban transit bus (diesel, plug-in hybrid)","Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BT_BEV_N,p,urban_transit,bev,,,New urban transit bus (battery electric),"Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BT_FCEV_N,p,urban_transit,fcev,,,"New urban transit bus (fuel cell electric, gaseous H2 @ 700 bar)","Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BT_FCHEV_N,p,urban_transit,fchev,,,"New urban transit bus (fuel cell hybrid, w/battery to assist during prolonged high-power use)","Vehicle class corresponds to “Urban Transit” from NRCan Comprehensive Energy Use Database; excluding commuter rails, subways, streetcars."
T_HDV_BIC_GSL_N,p,inter_city_buses,gasoline,,1,New inter-city bus (gasoline),Vehicle class corresponds to “Inter-City Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BIC_DSL_N,p,inter_city_buses,diesel,,1,New inter-city bus (diesel),Vehicle class corresponds to “Inter-City Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BIC_DSL_HEV_N,p,inter_city_buses,hev,,1,"New inter-city bus (diesel, hybrid electric)",Vehicle class corresponds to “Inter-City Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BIC_BEV_N,p,inter_city_buses,bev,,,New inter-city bus (battery electric),Vehicle class corresponds to “Inter-City Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_BIC_FCEV_N,p,inter_city_buses,fcev,,,"New inter-city bus (fuel cell electric, gaseous H2 @ 700 bar)",Vehicle class corresponds to “Inter-City Bus” from NRCan Comprehensive Energy Use Database.
T_HDV_AJP_JFL_N,p,passenger_air,jet_fuel,,1,New jet passenger aircraft (jet fuel),Vehicle class corresponds to “Passenger Air Transportation” from NRCan Comprehensive Energy Use Database; excluding non-commercial aviation.
T_HDV_AJP_SPK_N,p,passenger_air,spk,,1,New jet passenger aircraft (synthetic paraffinic kerosene),Vehicle class corresponds to “Passenger Air Transportation” from NRCan Comprehensive Energy Use Database; excluding non-commercial aviation.
T_HDV_AJF_JFL_N,p,freight_air,jet_fuel,,1,New jet freight aircraft (jet fuel),Vehicle class corresponds to “Freight Air Transportation” from NRCan Comprehensive Energy Use Database.
T_HDV_AJF_SPK_N,p,freight_air,spk,,1,New jet freight aircraft (synthetic paraffinic kerosene),Vehicle class corresponds to “Freight Air Transportation” from NRCan Comprehensive Energy Use Database.
T_HDV_RICP_DSL_N,p,passenger_rail,diesel,,1,New inter-city passenger rail (diesel),Vehicle class corresponds to “Passenger Rail Transportation” from NRCan Comprehensive Energy Use Database; including intercity rail and urban rail transit.
T_HDV_RICP_H2_N,p,passenger_rail,h2,,,"New inter-city passenger rail (fuel cell electric, gaseous H2 @ 700 bar)",Vehicle class corresponds to “Passenger Rail Transportation” from NRCan Comprehensive Energy Use Database; including intercity rail and urban rail transit.
T_HDV_RF_DSL_N,p,freight_rail,diesel,,1,New freight rail (diesel),Vehicle class corresponds to “Freight Rail Transportation” from NRCan Comprehensive Energy Use Database.
T_HDV_RF_H2_N,p,freight_rail,h2,,,"New freight rail (fuel cell electric, gaseous H2 @ 700 bar)",Vehicle class corresponds to “Freight Rail Transportation” from NRCan Comprehensive Energy Use Database.
T_HDV_RF_LNG_N,p,freight_rail,lng,,1,New freight rail (liquified natural gas ICE),Vehicle class corresponds to “Freight Rail Transportation” from NRCan Comprehensive Energy Use Database.
T_HDV_WTF_MDO_N,p,freight_marine,mdo,,1,New marine freight ship (marine diesel oil) ,Vehicle class corresponds to “Marine Transportation” from NRCan Comprehensive Energy Use Database; excluding passenger transportation and recreative boating.
T_HDV_WTF_HFO_N,p,freight_marine,hfo,,1,New marine freight ship (heavy fuel oil) ,Vehicle class corresponds to “Marine Transportation” from NRCan Comprehensive Energy Use Database; excluding passenger transportation and recreative boating.
T_HDV_WTF_LNG_N,p,freight_marine,lng,,1,New marine freight ship (liquified natural gas ICE) ,Vehicle class corresponds to “Marine Transportation” from NRCan Comprehensive Energy Use Database; excluding passenger transportation and recreative boating.
T_OFF,p,off_road,diesel,1,1,"Off-road transportation (assumed to consume diesel only), passed directly as demand in PJ. ","Vehicle class corresponds to “Off Road” from NRCan Comprehensive Energy Use Database; including off-road vehicles - ATVs, snowmobiles, golf carts and some military vehicles."
T_LDV_BEV_CHRG,p,charger,bev_ldv,,1,Charging infrastructure for light-duty battery-electric vehicles and motorcycles,
T_LDV_PHEV_CHRG,p,charger,phev_ldv,,,Charging infrastructure for light-duty plug-in hybrid vehicles and motorcycles,
T_MDV_CHRG,p,charger,bev_mdv,,,Charging infrastructure for medium-duty vehicles,
T_HDV_CHRG,p,charger,bev_hdv,,,Charging infrastructure for on-road heavy-duty vehicles,
T_H2_LDV_REFUEL,p,h2_refuel,ldv,,,Hydrogen refuelling station for light-duty vehicles,
T_H2_MDV_REFUEL,p,h2_refuel,mdv,,,Hydrogen refuelling station for medium-duty vehicles,
T_H2_HDV_REFUEL,p,h2_refuel,hdv,,,Hydrogen refuelling station for on-road heavy-duty vehicles,
T_BLND_ETH_GSL,p,,,1,1,Blending technology for ethanol and gasoline blendstock,
T_BLND_RDSL_DSL,p,,,1,1,Blending technology for renewable diesel and diesel,
T_BLND_DSL_ELC_MDV,p,,,1,1,Blending technology for diesel and electricity (MD-PHEV),
T_BLND_DSL_ELC_HDV,p,,,1,1,Blending technology for diesel and electricity (HD-PHEV),
T_BLND_GSL_ELC_PHEV35,p,,,1,1,Blending technology for gasoline and electricity (LD-PHEV 35-mile CD range ratio),
T_BLND_GSL_ELC_PHEV50,p,,,1,1,Blending technology for gasoline and electricity (LD-PHEV 50-mile CD range ratio),
T_BLND_JTF,p,,,1,1,Blending technology for renewable jetfuel and jetfuel (jetfuel),
T_BLND_SPK,p,,,1,1,Blending technology for renewable jetfuel and jetfuel (SPK),
T_dummy_pkm_ldv_c,p,,,1,,Dummy tech used to release non-profiled vehicles from charging demand distribution,
T_dummy_pkm_ldv_t,p,,,1,,Dummy tech used to release non-profiled vehicles from charging demand distribution,
T_dummy_tkm_ldv_t,p,,,1,,Dummy tech used to release non-profiled vehicles from charging demand distribution,
T_dummy_pkm_ldv_m,p,,,1,,Dummy tech used to release non-profiled vehicles from charging demand distribution,
