region,nrcan_ceud_class,age,weighted_vmt_km,normalized_utilization,weight_source
AB,Medium Trucks,14,14396.434549480957,0.35235795586264795,national_wards
AB,Medium Trucks,15,13133.280612523431,0.32144180522573507,national_wards
AB,Medium Trucks,16,11981.81871285597,0.29325935770193645,national_wards
AB,Medium Trucks,17,10921.07223344698,0.26729720298311216,national_wards
AB,Medium Trucks,18,9955.328457291209,0.2436602738751623,national_wards
AB,Medium Trucks,19,9073.99196036117,0.22208924353302725,national_wards
AB,Medium Trucks,20,8272.054503657153,0.20246153349116094,national_wards
AB,Medium Trucks,21,7540.7480015546425,0.18456254167452435,national_wards
AB,Medium Trucks,22,6875.724521764627,0.16828585086374834,national_wards
AB,Medium Trucks,23,6268.816711330342,0.1534315621336676,national_wards
AB,Medium Trucks,24,5715.48526883039,0.13988857443600583,national_wards
AB,Medium Trucks,25,5211.441836018707,0.12755192864769713,national_wards
BCT,Car,0,25623.975168000004,1.0,ontario_mto
BCT,Car,1,24750.101376000002,0.9658962441904283,ontario_mto
BCT,Car,2,23921.289216000005,0.9335510614244442,ontario_mto
BCT,Car,3,23139.148032000005,0.9030272578821756,ontario_mto
BCT,Car,4,22397.240448000004,0.8740736088431101,ontario_mto
BCT,Car,5,21695.566464000003,0.8466901143072478,ontario_mto
BCT,Car,6,21030.907392,0.8207511619143323,ontario_mto
BCT,Car,7,20401.653888,0.7961939454842355,ontario_mto
BCT,Car,8,19802.977920000005,0.7728300464765734,ontario_mto
BCT,Car,9,19234.879488000002,0.7506594648913453,ontario_mto
BCT,Car,10,18692.530560000003,0.7294937821881673,ontario_mto
BCT,Car,11,18175.931136000003,0.7093329983670393,ontario_mto
BCT,Car,12,17680.253184,0.6899886948875769,ontario_mto
BCT,Car,13,17203.88736,0.671398065569652,ontario_mto
BCT,Car,14,16745.22432,0.6534983042331365,ontario_mto
BCT,Car,15,16301.045376000002,0.6361637985177742,ontario_mto
BCT,Car,16,15868.131840000002,0.6192689360633086,ontario_mto
BCT,Car,17,15444.874368000003,0.6027509106896118,ontario_mto
BCT,Car,18,15028.054272000001,0.5864841100364275,ontario_mto
BCT,Car,19,14614.452864000003,0.5703429217434995,ontario_mto
BCT,Car,20,14204.070144000001,0.5543273458108278,ontario_mto
BCT,Car,21,13792.078080000001,0.5382489636980279,ontario_mto
BCT,Car,22,13378.476672,0.5221077754050998,ontario_mto
BCT,Car,23,12956.828544,0.5056525562115312,ontario_mto
BCT,Car,24,12528.743040000001,0.48894611229745005,ontario_mto
BCT,Car,25,12087.782784,0.4717372189423439,ontario_mto
BCT,Heavy Trucks,0,172478.66073515013,0.9318969686500665,statcan_tonne_km
BCT,Heavy Trucks,1,185083.4014247309,1.0,statcan_tonne_km
BCT,Heavy Trucks,2,174990.21164690258,0.9454668019923279,statcan_tonne_km
BCT,Heavy Trucks,3,161967.25767166173,0.8751041769541394,statcan_tonne_km
BCT,Heavy Trucks,4,149165.50521747975,0.805936697020029,statcan_tonne_km
BCT,Heavy Trucks,5,137652.2975591738,0.7437311855064096,statcan_tonne_km
BCT,Heavy Trucks,6,127922.04627520173,0.6911589331646504,statcan_tonne_km
BCT,Heavy Trucks,7,118051.6280447383,0.6378293630655321,statcan_tonne_km
BCT,Heavy Trucks,8,108943.90799941018,0.5886206281102692,statcan_tonne_km
BCT,Heavy Trucks,9,100539.41371964832,0.543211400621116,statcan_tonne_km
BCT,Heavy Trucks,10,92784.68949877596,0.5013128610374569,statcan_tonne_km
BCT,Heavy Trucks,11,85628.65699190077,0.46264903461223644,statcan_tonne_km
BCT,Heavy Trucks,12,79024.71853145375,0.4269681555619738,statcan_tonne_km
BCT,Heavy Trucks,13,72930.68381875807,0.39404227098353434,statcan_tonne_km
BCT,Heavy Trucks,14,67307.16058002923,0.3636585456173469,statcan_tonne_km
BCT,Heavy Trucks,15,62118.39589259042,0.33562380750740917,statcan_tonne_km
BCT,Heavy Trucks,16,57328.636833764846,0.30974488469771866,statcan_tonne_km
BCT,Heavy Trucks,17,52909.33587466024,0.28586753575618307,statcan_tonne_km
BCT,Heavy Trucks,18,48831.17746859981,0.26383336967393217,statcan_tonne_km
BCT,Heavy Trucks,19,45068.06475690676,0.24350138591566187,statcan_tonne_km
BCT,Heavy Trucks,20,41594.66889868884,0.22473473352284604,statcan_tonne_km
BCT,Heavy Trucks,21,38390.14173037697,0.20742077050053215,statcan_tonne_km
BCT,Heavy Trucks,22,35431.952435971165,0.19143776353375758,statcan_tonne_km
BCT,Heavy Trucks,23,32702.471539902355,0.176690461101136,statcan_tonne_km
BCT,Heavy Trucks,24,30182.807577278287,0.16307679319127347,statcan_tonne_km
BCT,Heavy Trucks,25,27857.287771206687,0.15051208026634197,statcan_tonne_km
BCT,Light Truck,0,27179.094397315643,1.0,ontario_mto
BCT,Light Truck,1,26276.927893908207,0.9668066017866829,ontario_mto
BCT,Light Truck,2,25409.555457101604,0.9348933811279301,ontario_mto
