15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_SMELTING_GEN of vintage 2025 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_SMELTING_GEN of vintage 2030 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_SMELTING_GEN of vintage 2035 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_SMELTING_GEN of vintage 2040 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_SMELTING_GEN of vintage 2045 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_SMELTING_GEN of vintage 2050 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_STEEL_GEN of vintage 2025 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_STEEL_GEN of vintage 2030 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_STEEL_GEN of vintage 2035 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_STEEL_GEN of vintage 2040 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_STEEL_GEN of vintage 2045 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech I_STEEL_GEN of vintage 2050 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | Check 1a (detail): tech R_APP_OTH of vintage 2021 in region ON does not have a Fixed Cost or Investment Cost component
15-Nov-24 08:14:59 | pricing_check | WARNING | check 1b:
tech I_CEMENT_GEN has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

15-Nov-24 08:14:59 | pricing_check | WARNING | check 1b:
tech I_FORESTRY_GEN has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

15-Nov-24 08:14:59 | pricing_check | WARNING | check 1b:
tech I_REFINERY has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

15-Nov-24 08:14:59 | pricing_check | WARNING | check 1b:
tech I_MINING_GEN has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

15-Nov-24 08:14:59 | pricing_check | WARNING | check 1b:
tech I_MANUF-OTH_GEN has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

15-Nov-24 08:14:59 | pricing_check | WARNING | check 1b:
tech I_CHEMICAL_GEN has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

15-Nov-24 08:14:59 | pricing_check | WARNING | check 1b:
tech I_CONSTR_GEN has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

15-Nov-24 08:14:59 | pricing_check | WARNING | check 1b:
tech I_PULPPAPER_GEN has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

15-Nov-24 08:14:59 | pricing_check | WARNING | check 1b:
tech I_SMELTING_GEN has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

15-Nov-24 08:14:59 | pricing_check | WARNING | check 1b:
tech I_STEEL_GEN has Investment Cost in some vintage/regions but not all
    missing (r, v):
      (ON, 2025)
      (ON, 2030)
      (ON, 2035)
      (ON, 2040)
      (ON, 2045)
      (ON, 2050)
    available (r, v):
       (ON, 2021): 0.1

15-Nov-24 08:14:59 | pricing_check | INFO | Finished Price Checking Build Action
15-Nov-24 08:14:59 | run_actions | INFO | Starting the solve process using gurobi solver on model unknown
15-Nov-24 08:22:38 | run_actions | INFO | Solve process complete
15-Nov-24 08:22:38 | run_actions | INFO | The solver reported status as: optimal
15-Nov-24 08:23:20 | run_actions | INFO | TotalCost value: 1772870.07
